timestamps,TP9,AF7,AF8,TP10,Right AUX
1589184985.360,36.133,43.457,30.762,29.297,22.949
1589184985.364,25.879,42.969,30.762,26.367,38.574
1589184985.368,26.367,39.062,36.133,25.879,39.062
1589184985.371,30.762,36.621,37.109,29.785,62.012
1589184985.375,39.062,36.621,33.203,37.109,12.695
1589184985.379,34.668,34.668,32.227,37.109,18.555
1589184985.383,22.461,34.668,34.180,20.020,75.684
1589184985.387,25.391,39.551,36.621,16.602,34.180
1589184985.391,32.715,41.016,39.551,31.250,11.719
1589184985.395,34.180,40.039,41.016,39.551,15.137
1589184985.399,34.180,39.551,41.016,37.109,-10.254
1589184985.403,27.832,39.551,42.969,27.344,16.113
1589184985.407,24.414,40.039,45.410,28.320,19.043
1589184985.410,32.715,40.527,41.504,30.762,0.488
1589184985.414,44.922,42.480,39.062,36.133,-3.418
1589184985.418,44.922,44.434,43.457,40.527,31.738
1589184985.422,33.203,43.945,40.039,31.738,-0.977
1589184985.426,32.227,43.945,35.156,26.367,-55.664
1589184985.430,46.875,47.363,33.203,29.785,-19.531
1589184985.434,55.664,48.828,36.133,37.109,-45.410
1589184985.438,54.199,46.875,38.574,45.898,-35.645
1589184985.442,40.527,43.457,36.133,33.691,-11.230
1589184985.446,32.227,45.410,37.598,18.066,-35.156
1589184985.450,36.133,45.898,36.621,21.484,20.020
1589184985.453,34.668,41.992,38.086,28.320,29.297
1589184985.457,34.668,41.504,42.969,30.762,33.203
1589184985.461,32.227,41.504,45.410,23.438,29.297
1589184985.465,23.438,38.086,42.480,19.531,37.598
1589184985.469,29.297,38.086,42.480,27.344,10.742
1589184985.473,35.645,38.086,46.875,37.598,-25.879
1589184985.477,30.762,36.133,48.828,33.691,30.273
1589184985.481,25.879,37.598,48.828,25.879,53.711
1589184985.485,21.973,36.133,45.410,23.926,21.484
1589184985.489,30.762,37.109,49.316,27.344,23.438
1589184985.493,41.016,41.992,55.664,41.016,24.414
1589184985.496,43.457,44.434,57.129,45.898,37.109
1589184985.500,29.297,41.016,55.176,37.598,30.273
1589184985.504,15.137,38.574,53.711,27.832,14.160
1589184985.508,31.250,41.016,53.711,34.180,18.066
1589184985.512,44.922,41.504,54.688,43.945,21.973
1589184985.516,41.992,39.551,52.734,44.434,62.500
1589184985.520,41.504,42.969,49.316,38.086,14.648
1589184985.524,42.969,40.527,47.852,36.133,-39.062
1589184985.528,39.551,34.180,50.293,38.574,-9.766
1589184985.532,23.438,39.551,50.781,26.367,30.273
1589184985.535,17.090,43.945,49.805,6.836,38.086
1589184985.539,9.766,38.086,52.734,8.301,6.836
1589184985.543,-8.789,32.715,52.734,-2.930,2.930
1589184985.547,-1.465,32.715,50.781,-12.695,7.324
1589184985.551,14.160,34.180,49.805,7.812,25.391
1589184985.555,22.461,35.156,50.781,20.020,77.148
1589184985.559,27.832,36.621,48.828,16.602,81.055
1589184985.563,26.367,34.180,46.875,15.625,8.789
1589184985.567,25.391,34.668,47.852,16.602,1.465
1589184985.571,34.668,36.621,50.781,21.973,75.195
1589184985.575,40.527,36.133,51.270,30.762,76.172
1589184985.578,33.691,37.598,48.340,31.250,60.547
1589184985.582,23.926,38.574,48.340,27.344,77.148
1589184985.586,23.438,34.180,48.828,26.855,28.320
1589184985.590,33.691,31.738,47.363,29.785,10.742
1589184985.594,39.551,33.203,45.898,35.156,61.035
1589184985.598,35.645,34.668,46.387,35.156,34.180
1589184985.602,28.809,36.621,47.852,28.809,51.758
1589184985.606,28.320,40.527,44.434,20.996,115.234
1589184985.610,32.227,39.062,42.969,18.555,66.406
1589184985.614,34.668,38.574,42.480,28.809,47.852
1589184985.618,39.551,41.992,40.527,37.109,28.809
1589184985.621,32.227,42.969,38.086,20.020,-33.691
1589184985.625,23.926,45.898,39.062,9.277,-5.859
1589184985.629,33.691,45.898,41.016,17.578,10.742
1589184985.633,33.691,42.480,40.527,25.391,-9.766
1589184985.637,38.574,44.434,42.480,32.227,18.066
1589184985.641,37.109,44.922,45.898,30.273,61.523
1589184985.645,25.879,43.457,49.805,22.949,79.102
1589184985.649,33.691,44.922,49.805,27.832,-16.602
1589184985.653,42.969,42.969,50.781,37.598,-22.461
1589184985.657,42.480,41.992,45.410,43.457,37.598
1589184985.660,34.180,41.992,41.504,39.551,21.973
1589184985.664,29.785,41.504,46.387,29.297,43.457
1589184985.668,30.762,40.527,48.340,29.785,53.223
1589184985.672,33.691,39.551,47.363,40.039,-5.371
1589184985.676,39.551,44.434,45.898,44.922,15.137
1589184985.680,44.922,45.410,45.898,45.898,45.898
1589184985.684,41.992,45.898,46.875,35.645,10.254
1589184985.688,40.039,47.363,44.434,30.273,31.738
1589184985.692,46.387,47.363,43.457,41.016,40.527
1589184985.696,50.781,52.734,45.898,42.480,2.441
1589184985.700,46.387,51.270,41.504,37.109,-8.301
1589184985.703,37.109,47.852,37.598,36.621,35.156
1589184985.707,34.180,49.805,38.086,29.785,44.434
1589184985.711,39.551,48.340,37.598,29.785,45.410
