timestamps,TP9,AF7,AF8,TP10,Right AUX
1589184427.828,60.059,37.109,22.461,4.395,-8.301
1589184427.832,-2.441,30.762,35.156,-22.949,-12.207
1589184427.836,-37.109,15.625,47.363,-40.039,2.930
1589184427.840,-3.418,14.160,50.781,-40.527,17.578
1589184427.844,21.484,23.438,43.945,-39.062,-11.230
1589184427.848,22.949,22.949,40.527,-9.277,-21.973
1589184427.852,2.441,24.414,46.387,-4.395,-29.297
1589184427.856,-21.484,23.438,51.270,-23.926,-46.387
1589184427.860,2.441,26.367,38.574,-23.438,-3.418
1589184427.864,46.875,28.809,28.320,0.000,25.391
1589184427.868,30.762,23.926,35.156,33.203,4.883
1589184427.871,28.809,29.297,36.621,53.711,-32.715
1589184427.875,32.715,32.227,22.949,-8.789,-10.742
1589184427.879,8.789,26.855,26.367,-38.086,41.992
1589184427.883,20.996,22.461,31.738,22.461,37.109
1589184427.887,62.988,24.414,25.879,23.926,49.805
1589184427.891,48.340,27.344,25.879,14.648,47.852
1589184427.895,-16.113,25.391,29.785,20.996,19.043
1589184427.899,16.602,27.344,27.344,0.000,30.762
1589184427.903,68.359,32.715,24.414,17.090,-5.371
1589184427.907,52.246,32.715,22.949,16.113,-38.574
1589184427.910,8.301,34.668,26.367,18.555,6.348
1589184427.914,-9.277,35.645,31.250,-4.395,13.184
1589184427.918,-0.488,32.715,29.297,-13.672,54.199
1589184427.922,43.457,33.203,29.297,29.297,70.801
1589184427.926,52.246,37.109,34.180,28.320,23.926
1589184427.930,23.926,33.691,32.227,20.508,28.320
1589184427.934,-10.742,31.738,29.297,0.977,36.133
1589184427.938,-8.789,38.086,27.344,-22.949,49.805
1589184427.942,52.734,37.598,22.949,0.000,30.273
1589184427.946,65.430,34.180,27.832,31.250,0.977
1589184427.950,46.875,32.715,33.203,34.668,-18.555
1589184427.953,17.090,32.715,29.297,1.465,29.785
1589184427.957,-2.930,31.738,26.367,-26.855,53.711
1589184427.961,16.602,33.203,23.926,-13.184,15.137
1589184427.965,75.195,37.598,22.461,8.301,55.176
1589184427.969,80.078,34.668,23.926,13.672,44.922
1589184427.973,15.137,27.344,21.484,10.254,41.016
1589184427.977,-19.531,22.461,17.578,-20.020,-0.488
1589184427.981,10.254,25.879,14.648,-20.020,-7.812
1589184427.985,36.133,31.250,18.066,1.953,-3.906
1589184427.989,37.109,26.367,19.043,30.273,-8.789
1589184427.993,2.441,25.391,17.090,4.395,11.719
1589184427.996,-11.230,34.180,16.113,-43.945,24.902
1589184428.000,60.547,34.668,16.602,-19.043,43.457
1589184428.004,53.711,34.668,22.461,17.090,46.875
1589184428.008,14.160,35.156,23.438,34.668,53.711
1589184428.012,8.789,28.320,20.508,15.625,36.133
1589184428.016,-16.113,30.273,20.996,-4.883,46.387
1589184428.020,9.766,31.250,21.973,-14.648,34.668
1589184428.024,53.223,30.273,24.414,28.809,37.598
1589184428.028,38.086,34.180,20.996,61.523,19.531
1589184428.032,13.672,40.039,17.578,26.855,-46.875
1589184428.035,27.344,42.480,21.973,-1.953,-32.227
1589184428.039,15.137,36.621,23.926,2.930,18.066
1589184428.043,17.090,34.668,21.484,21.973,37.598
1589184428.047,36.133,35.156,20.508,32.715,51.758
1589184428.051,34.180,35.645,20.996,33.203,35.156
1589184428.055,42.969,34.180,22.949,13.184,22.949
1589184428.059,41.504,34.668,21.484,25.391,38.086
1589184428.063,37.109,37.109,23.438,35.156,12.207
1589184428.067,40.527,33.691,25.391,29.297,29.297
1589184428.071,30.273,32.715,18.555,37.598,73.730
1589184428.075,-4.395,33.203,18.066,28.809,75.195
1589184428.078,22.461,30.762,20.508,19.043,32.715
1589184428.082,68.359,29.297,16.602,31.738,27.344
1589184428.086,46.387,27.344,18.555,56.641,46.387
1589184428.090,25.879,24.414,21.973,59.082,47.363
1589184428.094,10.742,25.879,16.113,26.855,55.176
1589184428.098,18.066,27.344,17.578,37.598,15.137
1589184428.102,33.203,28.809,15.137,51.758,61.523
1589184428.106,57.129,32.715,13.184,52.734,118.652
1589184428.110,36.621,27.832,19.043,83.008,108.398
1589184428.114,-5.371,23.438,24.414,71.289,18.066
1589184428.118,-5.859,26.855,21.484,20.508,-39.551
1589184428.121,20.020,23.926,18.066,20.996,27.344
1589184428.125,47.363,21.484,13.184,91.309,31.738
1589184428.129,53.711,28.320,11.719,89.355,-37.109
1589184428.133,17.090,38.086,12.207,25.879,-15.625
1589184428.137,10.254,39.062,10.742,18.066,60.547
1589184428.141,23.926,33.691,8.301,18.555,33.691
1589184428.145,50.781,33.203,10.742,57.129,5.371
1589184428.149,59.570,34.180,8.301,69.824,46.387
1589184428.153,15.625,30.762,10.742,28.809,-16.113
1589184428.157,17.578,28.809,16.602,30.762,-9.277
1589184428.160,57.129,30.273,18.066,47.363,104.980
1589184428.164,76.172,39.551,12.207,37.598,84.473
1589184428.168,81.543,44.922,8.301,94.727,40.527
1589184428.172,40.039,36.621,24.902,64.453,44.434
1589184428.176,-17.090,23.438,38.574,-2.930,17.090
1589184428.180,2.441,16.113,42.480,13.184,15.137
1589184428.184,41.504,8.789,45.898,41.992,4.395
1589184428.188,47.363,3.906,53.223,50.293,43.457
1589184428.192,39.551,2.930,68.359,48.340,51.758
1589184428.196,-0.488,-5.371,77.148,20.508,35.156
1589184428.200,16.113,-9.766,76.172,29.785,41.016
1589184428.203,45.898,-16.113,87.891,90.820,17.578
1589184428.207,45.898,-10.254,91.797,112.793,45.410
1589184428.211,27.344,7.812,81.543,94.238,53.711
1589184428.215,10.742,8.301,83.008,46.387,91.797
1589184428.219,34.668,9.277,86.426,43.457,114.746
1589184428.223,42.969,13.672,86.914,78.125,55.664
1589184428.227,65.430,16.113,84.961,105.957,65.918
1589184428.231,60.547,14.648,86.426,106.934,65.430
1589184428.235,24.902,14.160,83.008,62.012,42.480
1589184428.239,33.203,13.184,76.172,80.078,18.066
1589184428.243,90.332,19.043,72.266,116.211,21.973
1589184428.246,96.191,29.297,64.453,111.816,38.086
1589184428.250,63.965,35.645,65.430,102.539,25.879
1589184428.254,36.621,41.504,68.359,76.172,44.434
1589184428.258,29.785,42.480,68.848,75.195,21.484
1589184428.262,83.984,42.480,69.336,85.938,-5.859
1589184428.266,96.680,41.504,62.988,92.285,11.230
1589184428.270,64.941,44.434,59.570,95.703,26.367
1589184428.274,45.898,52.734,56.152,66.406,15.137
1589184428.278,31.250,46.875,56.152,47.363,24.414
1589184428.282,59.570,42.969,55.176,61.035,35.645
1589184428.285,74.707,46.387,46.875,99.121,17.090
1589184428.289,87.402,41.992,45.410,102.051,51.758
1589184428.293,51.270,39.551,51.270,85.938,35.645
1589184428.297,-10.742,41.016,55.176,70.312,50.293
1589184428.301,15.625,38.574,49.805,52.246,39.551
1589184428.305,42.480,33.203,43.945,81.055,5.371
1589184428.309,47.363,33.203,41.992,109.863,43.457
1589184428.313,12.695,35.156,41.504,75.684,86.426
1589184428.317,21.484,42.480,38.574,60.059,76.172
1589184428.321,73.242,46.875,36.621,81.543,48.828
1589184428.325,77.148,43.457,32.715,76.660,24.414
1589184428.328,54.688,39.062,31.738,95.703,7.324
1589184428.332,18.066,41.016,35.645,87.402,-16.602
1589184428.336,5.371,44.922,31.250,41.992,-2.441
1589184428.340,32.715,42.969,27.832,56.152,45.410
1589184428.344,58.105,37.109,27.832,77.637,47.852
1589184428.348,51.758,36.133,28.809,72.754,35.156
1589184428.352,75.195,40.039,29.297,55.664,27.344
1589184428.356,33.691,41.504,27.344,34.668,29.297
1589184428.360,21.484,49.316,25.879,57.129,44.434
1589184428.364,107.422,51.270,26.855,119.141,80.566
1589184428.368,87.402,42.969,28.320,90.332,66.895
1589184428.371,0.977,41.016,29.297,23.438,30.273
