timestamps,TP9,AF7,AF8,TP10,Right AUX
1589184814.829,36.621,52.734,32.715,31.738,19.043
1589184814.832,62.988,47.852,29.785,58.105,41.504
1589184814.836,55.176,40.527,31.250,55.664,45.898
1589184814.840,20.996,44.434,29.785,18.555,82.520
1589184814.844,-3.906,51.270,30.273,-5.371,44.922
1589184814.848,17.578,47.363,30.273,10.254,44.922
1589184814.852,51.270,44.922,25.879,43.457,65.430
1589184814.856,57.617,46.875,27.832,55.176,21.484
1589184814.860,41.016,46.875,25.879,26.367,59.082
1589184814.864,9.766,46.875,24.902,-5.371,49.316
1589184814.868,15.625,39.551,23.438,11.719,-10.254
1589184814.871,48.828,40.039,20.996,45.898,35.156
1589184814.875,57.617,42.480,23.438,58.594,63.477
1589184814.879,34.668,38.574,25.879,37.109,-31.250
1589184814.883,0.977,42.969,26.367,2.930,-17.090
1589184814.887,16.113,43.457,23.438,10.742,24.414
1589184814.891,51.270,40.039,22.949,44.922,7.324
1589184814.895,62.988,39.551,26.367,62.500,33.203
1589184814.899,44.434,32.227,26.367,39.062,-39.551
1589184814.903,0.977,33.203,23.438,1.465,-62.012
1589184814.907,8.301,39.551,21.973,7.812,13.672
1589184814.911,47.363,40.527,24.414,45.898,28.320
1589184814.914,54.199,36.621,24.902,57.617,17.090
1589184814.918,41.992,35.156,21.484,43.945,20.996
1589184814.922,9.277,38.574,23.926,13.184,8.789
1589184814.926,5.859,44.922,26.855,7.812,14.160
1589184814.930,41.016,38.574,26.855,41.504,57.129
1589184814.934,56.641,33.691,24.902,62.500,7.324
1589184814.938,39.062,38.086,26.367,48.340,44.434
1589184814.942,3.906,38.574,30.273,8.789,118.652
1589184814.946,-1.953,37.109,31.738,5.371,51.270
1589184814.950,31.738,34.668,33.203,38.086,22.461
1589184814.954,49.316,32.715,29.785,52.246,11.230
1589184814.957,35.645,37.109,26.367,39.062,34.180
1589184814.961,-2.930,42.969,28.809,7.324,65.430
1589184814.965,-19.531,38.574,30.762,-5.371,87.891
1589184814.969,14.160,38.086,28.809,23.926,31.250
1589184814.973,39.551,41.504,28.809,55.664,-3.418
1589184814.977,41.504,38.086,27.832,50.781,42.480
1589184814.981,14.648,39.062,31.250,19.043,31.250
1589184814.985,-5.371,40.527,34.180,1.953,26.367
1589184814.989,28.320,39.551,32.715,27.832,21.973
1589184814.993,53.223,41.504,32.715,58.105,29.297
1589184814.996,47.852,43.457,33.203,55.176,96.680
1589184815.000,22.461,45.898,32.715,26.367,69.336
1589184815.004,1.465,44.922,32.227,0.488,16.113
1589184815.008,26.367,38.574,30.273,20.508,53.711
1589184815.012,54.199,41.504,32.227,54.688,88.379
1589184815.016,56.152,45.898,30.273,53.711,111.328
