timestamps,TP9,AF7,AF8,TP10,Right AUX
1589183956.060,41.016,38.574,4.883,37.598,21.973
1589183956.064,40.527,46.875,3.418,37.109,25.391
1589183956.068,27.832,49.316,-0.488,27.344,-0.488
1589183956.072,32.227,42.969,-4.395,36.621,11.230
1589183956.076,40.039,39.551,0.000,45.898,37.109
1589183956.080,31.250,37.598,1.465,38.574,22.949
1589183956.084,20.508,38.574,2.441,28.809,53.711
1589183956.087,18.066,40.527,4.883,25.879,47.852
1589183956.091,21.973,42.480,2.441,18.066,-17.578
1589183956.095,32.715,39.062,5.859,22.949,25.879
1589183956.099,34.668,38.574,6.348,27.832,77.148
1589183956.103,28.320,36.621,4.395,19.043,0.977
1589183956.107,10.742,39.062,10.254,16.602,-3.906
1589183956.111,14.648,41.504,12.207,21.973,28.320
1589183956.115,21.484,36.621,8.789,28.320,40.039
1589183956.119,17.090,36.621,7.812,35.645,108.887
1589183956.123,29.785,35.156,8.789,35.645,62.988
1589183956.127,30.273,40.527,7.812,30.762,34.180
1589183956.130,25.879,41.504,5.859,29.785,73.730
1589183956.134,24.414,40.039,3.418,34.180,8.789
1589183956.138,25.391,40.039,-5.859,35.156,7.812
1589183956.142,29.297,43.945,-13.184,29.297,12.695
1589183956.146,26.855,41.992,-14.160,16.602,-7.812
1589183956.150,34.668,35.645,-18.066,3.906,22.949
1589183956.154,44.922,35.645,-11.719,18.066,-10.742
1589183956.158,41.992,41.016,-8.301,35.156,-15.625
1589183956.162,30.762,37.598,-13.184,27.344,35.156
1589183956.166,21.484,30.762,-10.742,21.973,24.414
1589183956.170,21.484,31.250,-7.324,26.367,28.809
1589183956.173,25.391,32.227,-6.348,29.297,57.617
1589183956.177,22.461,34.668,-5.859,27.344,13.672
1589183956.181,13.184,33.203,-9.766,27.832,6.348
1589183956.185,11.719,30.762,-13.184,28.320,60.547
1589183956.189,20.508,34.180,-18.555,18.066,54.688
1589183956.193,41.016,42.480,-18.066,27.832,12.207
1589183956.197,25.879,36.133,-18.555,36.621,-7.324
1589183956.201,13.184,35.156,-24.414,29.297,-7.812
1589183956.205,19.531,34.668,-19.531,32.715,25.879
1589183956.209,32.227,26.367,-16.602,39.551,57.617
1589183956.212,29.297,36.133,-20.996,33.691,20.020
1589183956.216,29.297,41.992,-25.879,32.227,-0.488
1589183956.220,41.504,39.062,-24.414,35.645,-28.809
1589183956.224,27.344,37.109,-23.926,28.320,-8.789
1589183956.228,30.762,34.668,-23.926,26.855,30.762
1589183956.232,26.855,34.180,-23.438,28.320,37.598
1589183956.236,10.742,34.180,-26.855,25.391,24.414
1589183956.240,21.484,26.855,-26.367,31.250,56.641
1589183956.244,25.879,24.902,-24.902,30.273,50.293
1589183956.248,19.043,27.344,-21.973,20.020,52.246
1589183956.252,28.320,27.344,-8.789,18.066,24.414
1589183956.255,19.531,32.715,-0.977,20.508,24.902
1589183956.259,12.695,31.738,7.812,26.855,60.059
1589183956.263,23.926,25.879,19.043,27.344,40.039
1589183956.267,19.531,30.762,23.926,20.020,19.043
1589183956.271,29.785,33.203,20.996,21.484,18.555
1589183956.275,38.086,36.621,14.160,24.902,7.812
1589183956.279,38.574,41.504,8.789,28.809,26.855
1589183956.283,41.992,38.086,-1.953,27.344,79.590
1589183956.287,41.504,30.762,-9.277,18.066,32.715
1589183956.291,36.133,32.715,-9.277,15.625,18.555
1589183956.295,33.203,33.691,-20.996,25.391,41.992
1589183956.298,36.621,31.250,-37.598,31.250,16.113
1589183956.302,27.344,31.738,-50.293,30.273,17.578
1589183956.306,22.461,31.738,-60.547,33.203,-22.949
1589183956.310,22.949,35.156,-69.336,25.879,-41.504
1589183956.314,16.113,34.180,-75.684,21.973,49.316
1589183956.318,28.320,32.715,-85.449,28.320,57.617
1589183956.322,35.645,32.715,-96.680,33.691,46.387
1589183956.326,17.090,34.180,-100.586,28.809,84.473
1589183956.330,16.113,33.691,-99.121,20.508,71.289
1589183956.334,27.344,30.273,-99.609,21.973,53.711
1589183956.337,31.250,32.227,-98.633,25.879,41.992
1589183956.341,28.809,32.227,-97.656,29.297,35.156
1589183956.345,29.297,33.691,-98.633,26.855,52.246
1589183956.349,25.879,34.180,-98.145,28.320,26.855
1589183956.353,33.691,36.133,-100.586,28.809,48.340
1589183956.357,34.180,41.992,-103.516,29.297,68.359
1589183956.361,11.230,35.645,-101.562,37.598,-3.418
1589183956.365,7.812,32.715,-101.074,32.227,-30.762
1589183956.369,32.227,35.156,-100.098,21.484,31.738
1589183956.373,36.621,39.062,-101.074,23.438,109.375
1589183956.377,41.504,39.551,-100.586,32.715,59.082
1589183956.380,44.434,33.203,-98.145,40.039,27.832
1589183956.384,28.320,34.668,-96.191,40.039,69.824
1589183956.388,31.738,35.645,-94.727,30.762,22.949
1589183956.392,28.320,35.645,-96.680,15.137,44.434
1589183956.396,21.484,32.715,-95.703,22.949,102.539
1589183956.400,21.484,29.785,-99.609,27.344,104.980
1589183956.404,26.855,32.227,-119.629,17.578,106.445
1589183956.408,32.227,38.086,-148.438,19.531,29.297
1589183956.412,24.414,37.109,-174.316,20.996,11.719
1589183956.416,18.066,31.250,-193.359,22.461,66.406
1589183956.420,23.438,36.621,-213.379,18.066,-0.488
1589183956.423,16.113,41.504,-228.027,12.695,25.391
1589183956.427,10.742,37.109,-231.934,15.137,87.891
1589183956.431,18.555,33.691,-229.980,15.137,74.707
1589183956.435,33.203,34.668,-219.727,25.879,76.172
1589183956.439,33.691,33.691,-214.355,34.668,27.832
1589183956.443,16.113,35.645,-216.797,32.715,23.926
1589183956.447,14.160,38.574,-215.820,23.926,21.973
1589183956.451,19.043,36.133,-210.938,24.902,17.578
1589183956.455,26.367,36.621,-206.055,27.832,-0.488
1589183956.459,27.344,35.645,-197.754,21.484,-23.438
1589183956.462,19.043,35.156,-187.012,23.438,16.113
1589183956.466,33.691,41.016,-174.805,25.879,29.297
1589183956.470,39.062,41.992,-166.016,25.879,38.574
1589183956.474,39.551,36.133,-155.762,31.250,35.156
1589183956.478,30.762,41.992,-150.391,37.109,2.441
1589183956.482,27.832,40.039,-146.484,34.180,64.453
1589183956.486,25.391,33.691,-139.648,29.297,60.059
1589183956.490,20.020,37.598,-138.672,24.902,20.020
1589183956.494,26.367,37.109,-137.207,27.832,40.039
1589183956.498,34.180,28.809,-132.324,41.016,66.406
1589183956.502,33.203,26.855,-134.277,34.668,88.379
1589183956.505,29.785,29.297,-139.160,15.137,71.289
1589183956.509,7.812,32.227,-141.602,3.418,5.371
1589183956.513,9.277,32.715,-132.324,12.695,-16.113
1589183956.517,27.832,34.668,-125.488,25.391,46.875
1589183956.521,24.902,36.621,-129.395,22.461,16.113
1589183956.525,23.926,28.809,-122.070,23.926,-15.137
1589183956.529,16.602,31.250,-113.281,20.996,-6.836
1589183956.533,20.020,34.668,-112.305,22.461,-44.434
1589183956.537,24.902,31.738,-108.887,24.414,8.789
1589183956.541,25.391,32.715,-101.074,15.625,-24.902
1589183956.545,20.020,29.785,-92.773,10.742,-7.812
1589183956.548,12.207,35.645,-87.891,6.348,34.180
1589183956.552,20.508,37.598,-86.426,4.883,31.738
1589183956.556,24.902,33.203,-86.914,16.602,3.418
1589183956.560,14.648,37.109,-89.844,22.949,3.906
1589183956.564,18.555,35.156,-91.309,24.414,47.363
1589183956.568,33.691,34.180,-95.703,29.785,-15.625
1589183956.572,31.738,35.645,-100.098,26.367,-12.695
1589183956.576,21.973,39.551,-95.703,28.809,20.996
1589183956.580,13.184,41.016,-96.191,27.832,27.832
1589183956.584,18.555,33.691,-93.750,14.648,8.301
1589183956.587,16.113,36.621,-85.938,2.441,-43.457
1589183956.591,8.301,41.504,-82.520,5.371,18.555
1589183956.595,23.438,39.062,-73.730,17.090,61.035
1589183956.599,32.227,36.621,-63.965,32.715,60.547
1589183956.603,20.020,37.598,-59.570,33.203,59.570
1589183956.607,19.043,39.551,-60.547,21.484,33.691
1589183956.611,24.414,38.086,-64.941,19.531,50.293
1589183956.615,31.250,35.645,-67.871,24.414,20.996
1589183956.619,21.973,34.668,-69.336,30.273,0.488
1589183956.623,16.113,38.086,-69.336,32.715,46.387
1589183956.627,25.391,38.574,-65.430,26.855,35.645
1589183956.630,27.832,36.133,-65.918,25.391,33.691
1589183956.634,26.367,38.574,-69.824,30.273,66.406
1589183956.638,24.902,38.574,-66.895,30.762,28.320
1589183956.642,21.973,34.668,-67.871,24.414,58.594
1589183956.646,22.949,35.156,-72.266,18.555,80.566
1589183956.650,28.809,35.156,-72.754,23.438,22.949
1589183956.654,26.367,34.668,-76.660,21.973,30.273
1589183956.658,17.578,34.180,-76.660,19.531,35.156
1589183956.662,25.391,34.668,-72.754,21.973,22.949
1589183956.666,20.020,32.715,-64.453,22.461,28.809
1589183956.670,20.020,35.645,-56.152,19.043,-27.344
1589183956.673,24.414,41.016,-52.734,18.555,13.184
1589183956.677,26.367,41.504,-47.363,30.273,68.848
1589183956.681,35.645,41.504,-41.992,35.645,43.945
