timestamps,TP9,AF7,AF8,TP10,Right AUX
1589183752.154,32.715,39.551,36.133,34.180,41.016
1589183752.158,31.738,38.086,39.062,24.902,29.785
1589183752.162,19.531,44.922,36.133,11.719,38.574
1589183752.166,26.855,47.363,34.180,24.902,47.852
1589183752.170,37.598,39.062,36.133,40.527,49.316
1589183752.173,22.949,40.527,37.598,41.016,40.527
1589183752.177,13.672,40.527,37.598,23.926,32.715
1589183752.181,25.879,42.480,33.691,15.625,29.785
1589183752.185,28.809,41.504,30.762,27.344,16.602
1589183752.189,33.691,41.992,30.762,31.250,19.531
1589183752.193,39.062,44.434,34.668,32.227,52.734
1589183752.197,32.715,42.480,37.598,28.320,-12.207
1589183752.201,19.043,49.805,39.551,17.578,-56.641
1589183752.205,19.531,52.734,35.645,19.531,33.691
1589183752.209,35.645,48.828,32.227,31.738,41.992
1589183752.212,50.781,48.828,40.039,40.039,14.648
1589183752.216,31.738,50.781,40.527,32.227,51.758
1589183752.220,21.484,52.246,40.039,18.555,84.473
1589183752.224,21.484,46.387,36.133,24.902,39.551
1589183752.228,26.855,42.480,34.180,38.574,37.598
1589183752.232,42.969,35.156,30.273,32.715,41.504
1589183752.236,31.738,41.016,31.250,25.879,-1.465
1589183752.240,19.043,52.246,37.598,18.555,13.672
1589183752.244,22.949,46.387,35.156,15.625,39.062
1589183752.248,27.832,44.922,35.645,32.715,47.852
1589183752.252,20.020,50.781,35.645,34.668,40.039
1589183752.255,27.344,44.434,34.668,32.715,14.160
1589183752.259,23.438,45.410,34.180,23.926,10.742
1589183752.263,22.949,45.898,38.574,19.531,18.555
1589183752.267,41.992,40.039,34.668,38.086,55.664
1589183752.271,41.992,47.852,31.738,50.781,48.828
1589183752.275,28.809,45.898,37.109,48.340,53.711
1589183752.279,13.184,40.527,37.598,36.621,33.203
1589183752.283,22.949,42.480,35.645,38.574,-21.484
1589183752.287,38.574,42.480,36.133,42.480,28.320
1589183752.291,40.527,44.922,40.039,47.852,63.965
1589183752.295,32.715,49.316,39.062,48.340,94.727
1589183752.298,33.691,45.898,35.645,34.668,35.645
1589183752.302,38.086,42.480,35.645,28.320,4.883
1589183752.306,38.574,47.852,32.227,37.109,52.246
1589183752.310,36.133,46.387,28.809,48.828,-5.371
1589183752.314,33.203,40.039,36.621,49.316,6.836
1589183752.318,31.738,41.016,40.527,39.062,53.223
1589183752.322,22.949,46.387,39.551,26.367,72.266
1589183752.326,26.855,47.363,34.180,33.203,52.246
1589183752.330,33.203,48.828,32.227,44.922,11.230
1589183752.334,33.691,47.363,37.109,41.504,22.949
1589183752.337,32.227,40.527,40.527,40.527,34.668
1589183752.341,22.949,48.340,38.574,33.691,36.621
1589183752.345,28.809,45.898,33.691,36.621,20.020
1589183752.349,39.062,40.527,36.133,50.293,-13.672
1589183752.353,36.621,44.434,36.133,42.969,34.668
1589183752.357,28.320,45.898,34.180,35.156,66.406
1589183752.361,18.066,46.875,37.109,28.809,21.484
1589183752.365,26.367,40.039,41.016,24.414,48.340
1589183752.369,32.715,41.016,41.016,38.574,91.309
1589183752.373,27.344,46.875,40.039,45.410,69.336
1589183752.377,25.879,45.410,37.598,33.691,37.109
1589183752.380,26.855,41.016,36.621,23.438,26.855
