timestamps,TP9,AF7,AF8,TP10,Right AUX
1585155660.012,3.906,21.973,73.730,-9.766,-18.555
1585155660.016,81.055,25.391,100.098,175.293,-0.488
1585155660.020,82.520,29.297,100.098,163.574,73.242
1585155660.024,10.254,34.180,74.219,-30.273,7.324
1585155660.028,-45.898,39.551,53.711,-148.926,-12.207
1585155660.031,0.488,37.109,68.359,-23.926,38.086
1585155660.035,86.914,31.250,94.238,165.039,120.117
1585155660.039,89.355,28.809,91.797,174.316,143.555
1585155660.043,21.484,40.039,66.895,-0.488,59.082
1585155660.047,-29.785,45.898,48.340,-135.254,17.578
1585155660.051,-1.465,33.203,53.711,-46.875,-14.160
1585155660.055,72.754,20.020,83.496,150.391,0.488
1585155660.059,96.191,22.461,93.262,194.336,53.711
1585155660.063,40.039,35.645,73.242,28.809,69.336
1585155660.067,-25.879,42.969,43.457,-131.348,29.785
1585155660.070,-10.254,29.785,44.922,-72.266,-22.949
1585155660.074,72.266,32.715,87.891,137.207,97.168
1585155660.078,107.422,38.086,104.004,209.961,108.398
1585155660.082,44.434,32.715,80.078,52.246,32.227
1585155660.086,-24.902,38.574,50.293,-126.953,77.148
1585155660.090,-15.625,38.086,43.945,-96.680,17.090
1585155660.094,61.523,32.227,74.219,108.398,-52.246
1585155660.098,111.328,32.227,99.121,209.961,54.199
1585155660.102,72.266,40.039,77.637,81.055,82.520
1585155660.106,-4.883,47.852,47.852,-106.445,17.090
1585155660.110,-16.113,45.898,40.527,-106.934,17.090
1585155660.113,54.199,36.133,57.617,83.496,76.172
1585155660.117,106.934,27.832,83.496,213.867,40.039
1585155660.121,74.707,36.621,88.379,107.422,47.363
1585155660.125,-4.883,43.457,56.152,-94.727,81.543
1585155660.129,-27.832,37.598,35.156,-128.418,34.180
1585155660.133,36.621,28.809,62.012,51.758,14.648
1585155660.137,101.074,27.344,89.844,204.102,13.672
1585155660.141,77.148,33.691,79.102,120.605,-12.695
1585155660.145,-1.953,36.133,50.781,-89.355,26.855
1585155660.149,-30.762,32.715,34.668,-144.043,25.391
1585155660.153,28.320,31.738,51.270,25.391,-7.812
1585155660.156,97.168,22.461,78.125,192.383,7.812
1585155660.160,82.520,19.531,78.613,139.160,82.520
1585155660.164,8.789,47.363,57.129,-58.594,41.016
1585155660.168,-32.227,56.152,35.645,-143.066,-67.871
1585155660.172,8.789,33.691,41.992,-1.465,-29.297
1585155660.176,77.637,27.344,74.707,176.758,47.852
1585155660.180,76.660,35.156,78.125,153.809,76.660
1585155660.184,13.184,42.480,44.922,-40.039,78.125
1585155660.188,-19.531,47.852,36.133,-142.090,73.242
1585155660.192,29.785,42.969,63.965,-5.371,32.227
1585155660.195,102.539,32.715,83.496,187.012,-4.395
1585155660.199,115.234,44.922,80.078,188.965,-13.672
1585155660.203,46.387,59.082,62.012,-0.977,1.953
1585155660.207,-26.855,53.223,38.086,-145.508,11.230
1585155660.211,8.301,47.363,49.805,-39.062,51.758
1585155660.215,92.773,42.480,80.566,166.992,65.430
1585155660.219,106.934,41.992,86.914,196.777,14.648
1585155660.223,43.945,41.016,64.453,14.648,41.504
1585155660.227,-19.531,46.387,39.062,-141.113,-2.930
1585155660.231,-5.859,52.734,47.852,-59.570,21.973
1585155660.235,63.965,43.457,76.660,138.184,107.422
1585155660.238,94.727,38.574,84.961,196.289,87.402
1585155660.242,41.016,48.340,65.430,37.598,31.738
1585155660.246,-28.320,52.246,41.992,-133.301,15.137
1585155660.250,-19.531,43.945,41.504,-85.449,22.461
1585155660.254,52.734,36.621,71.289,121.094,-12.695
1585155660.258,95.215,35.645,90.820,209.961,4.395
1585155660.262,51.758,40.039,74.707,62.500,45.898
1585155660.266,-17.578,51.270,46.875,-119.629,42.480
1585155660.270,-20.020,52.734,45.898,-97.168,15.625
1585155660.274,44.922,33.203,60.547,96.680,54.199
1585155660.278,89.844,24.902,70.801,208.008,126.953
1585155660.281,54.688,41.504,62.988,83.496,74.707
