timestamps,TP9,AF7,AF8,TP10,Right AUX
1585155165.153,97.656,27.344,45.898,84.961,2.930
1585155165.156,31.738,32.715,16.602,29.785,9.277
1585155165.160,-36.621,36.621,5.859,-21.484,68.359
1585155165.164,-13.672,31.738,20.020,0.000,36.621
1585155165.168,69.336,27.832,35.156,64.453,2.441
1585155165.172,106.445,34.180,14.648,92.773,22.461
1585155165.176,43.945,39.062,-6.836,42.969,10.742
1585155165.180,-35.645,40.527,-8.789,-20.020,18.555
1585155165.184,-21.973,39.062,-0.977,-10.254,62.500
1585155165.188,63.965,36.133,28.809,56.641,28.320
1585155165.192,109.863,35.645,39.062,91.797,10.742
1585155165.195,54.199,39.551,5.371,50.781,19.531
1585155165.199,-27.832,44.434,-4.395,-7.324,-15.137
1585155165.203,-29.785,39.551,25.391,-11.719,1.465
1585155165.207,51.270,32.715,48.828,49.316,15.137
1585155165.211,107.422,33.203,50.293,95.215,35.645
1585155165.215,60.547,37.598,31.250,52.246,20.996
1585155165.219,-26.855,41.992,8.789,-15.625,-3.418
1585155165.223,-42.969,40.039,9.277,-23.926,21.484
1585155165.227,34.180,34.668,38.574,32.715,35.156
1585155165.231,100.098,34.668,55.176,78.613,-15.137
1585155165.235,62.988,38.574,32.227,48.340,-45.898
1585155165.238,-24.902,43.457,-5.371,-17.578,-5.371
1585155165.242,-49.805,42.480,1.953,-31.738,18.555
1585155165.246,22.461,40.039,37.109,27.832,20.508
1585155165.250,95.703,38.086,49.316,85.938,5.371
1585155165.254,80.078,39.062,20.508,67.871,-18.555
1585155165.258,-6.348,44.922,-11.719,-1.953,22.949
1585155165.262,-50.781,45.410,-5.371,-30.273,32.227
1585155165.266,12.207,42.969,20.508,19.043,15.625
1585155165.270,91.309,41.992,31.738,79.590,48.340
1585155165.274,87.891,42.480,3.418,73.242,36.621
1585155165.278,11.230,45.410,-33.691,9.277,-17.090
1585155165.281,-43.945,46.387,-30.762,-28.320,13.672
1585155165.285,5.371,40.527,7.812,14.648,96.191
1585155165.289,89.844,35.645,39.062,81.055,97.168
1585155165.293,88.379,37.109,30.762,75.195,93.750
1585155165.297,8.301,41.016,0.000,4.395,85.938
1585155165.301,-51.270,45.410,-11.230,-40.039,1.465
1585155165.305,-16.113,43.945,8.301,-8.301,14.160
1585155165.309,68.359,37.109,29.785,52.734,49.316
1585155165.313,89.844,36.133,37.598,67.383,8.301
1585155165.317,16.602,41.016,22.949,5.859,4.883
1585155165.320,-48.828,43.457,18.555,-48.828,4.883
1585155165.324,-18.066,40.527,52.734,-21.973,18.066
1585155165.328,70.312,36.133,95.215,52.734,-6.836
1585155165.332,107.910,39.551,75.195,81.543,42.480
1585155165.336,41.016,43.457,0.488,30.273,77.637
1585155165.340,-38.086,43.945,-40.039,-28.809,-18.555
1585155165.344,-20.020,39.062,0.488,-15.137,-13.184
1585155165.348,64.941,32.715,53.223,53.711,54.688
1585155165.352,103.516,36.621,60.547,82.520,12.695
1585155165.356,48.828,43.945,29.297,35.645,58.594
1585155165.360,-34.180,46.387,-14.160,-28.809,85.938
1585155165.363,-35.645,42.969,12.207,-26.855,35.645
1585155165.367,48.828,37.598,79.590,46.875,28.809
1585155165.371,106.445,38.086,83.008,94.238,-12.695
1585155165.375,63.477,40.527,45.410,51.758,-28.809
1585155165.379,-19.531,46.387,12.207,-19.043,20.508
1585155165.383,-33.203,44.922,2.441,-22.461,7.812
1585155165.387,42.480,38.574,31.250,44.434,-23.926
1585155165.391,107.422,39.062,46.875,94.727,52.246
1585155165.395,72.266,41.504,4.883,63.477,46.387
1585155165.399,-16.113,47.363,-38.086,-6.836,-19.043
