timestamps,TP9,AF7,AF8,TP10,Right AUX
1589182869.418,21.484,26.367,25.391,15.137,37.109
1589182869.422,43.457,42.969,28.809,31.738,49.805
1589182869.426,66.406,55.176,48.828,56.152,43.457
1589182869.430,60.547,53.711,51.270,56.641,23.438
1589182869.434,38.086,46.387,41.504,33.203,9.277
1589182869.438,26.855,38.086,25.391,15.137,27.832
1589182869.442,41.504,33.691,26.367,30.273,32.227
1589182869.446,56.641,26.855,57.617,57.617,88.867
1589182869.450,56.152,28.320,63.477,63.965,38.086
1589182869.454,37.109,34.668,51.270,36.133,-9.766
1589182869.458,21.973,27.832,34.180,11.719,49.805
1589182869.461,36.133,30.273,36.621,29.785,-13.672
1589182869.465,56.641,42.969,64.941,56.641,-14.648
1589182869.469,57.617,40.039,72.754,62.988,-2.930
1589182869.473,34.180,36.133,61.035,43.945,4.395
1589182869.477,16.602,40.527,39.551,14.160,28.809
1589182869.481,22.949,36.133,31.738,15.137,3.906
1589182869.485,43.945,35.645,46.387,47.852,20.020
1589182869.489,56.641,19.531,57.129,60.059,41.504
1589182869.493,48.340,8.789,56.152,46.387,9.277
1589182869.497,28.320,37.598,35.156,21.484,-42.480
1589182869.501,22.461,53.223,31.738,12.207,-20.996
1589182869.504,44.434,47.852,55.176,37.598,42.969
1589182869.508,57.129,47.852,62.500,58.105,6.348
1589182869.512,41.016,41.504,56.641,45.410,5.371
1589182869.516,17.090,21.973,39.062,15.137,18.066
1589182869.520,23.438,24.414,39.062,13.184,33.203
1589182869.524,47.363,35.156,56.641,38.574,72.754
1589182869.528,58.594,40.039,66.406,55.664,54.688
1589182869.532,49.316,46.875,46.387,44.434,19.043
1589182869.536,23.926,49.805,23.926,11.230,11.230
1589182869.540,15.137,46.387,28.809,4.395,-0.977
1589182869.543,38.086,33.203,45.410,32.227,30.762
1589182869.547,50.781,21.973,62.500,56.641,73.242
1589182869.551,35.156,27.832,60.547,43.945,54.199
1589182869.555,14.648,36.133,46.875,8.789,53.223
1589182869.559,9.766,33.203,40.039,-0.977,29.297
1589182869.563,27.832,31.738,44.922,24.414,1.953
1589182869.567,48.828,26.367,53.711,47.852,-27.344
1589182869.571,48.828,24.414,56.641,44.922,9.766
1589182869.575,29.297,33.203,47.852,20.020,54.199
1589182869.579,24.414,40.527,27.832,6.836,0.000
1589182869.583,35.645,41.992,32.227,19.531,1.465
1589182869.586,41.504,36.133,58.105,40.527,6.836
1589182869.590,34.180,31.738,53.711,40.527,-1.953
1589182869.594,25.391,25.879,43.457,20.508,-26.367
1589182869.598,25.879,15.625,50.781,17.578,-5.371
1589182869.602,40.527,27.344,59.082,32.227,30.762
1589182869.606,61.035,41.504,64.453,55.664,17.578
1589182869.610,64.453,33.691,65.430,61.523,57.617
1589182869.614,40.527,26.855,57.617,33.691,20.996
1589182869.618,27.832,33.203,45.410,17.578,-28.320
1589182869.622,42.969,42.969,48.828,32.715,0.488
1589182869.626,49.316,40.527,46.875,51.270,22.949
1589182869.629,44.434,33.691,43.945,53.711,43.945
1589182869.633,31.250,28.809,46.875,32.715,43.457
1589182869.637,19.043,36.133,38.086,13.184,29.785
1589182869.641,30.273,35.156,38.086,24.902,40.039
1589182869.645,52.734,26.855,42.480,53.223,18.066
1589182869.649,66.406,17.578,52.734,70.312,36.621
1589182869.653,56.641,27.344,59.082,62.012,62.988
1589182869.657,29.785,39.551,38.574,28.809,24.902
1589182869.661,35.645,25.391,32.715,22.949,11.230
1589182869.665,57.617,36.621,36.621,48.340,4.395
1589182869.668,59.570,58.105,41.016,60.547,-7.812
1589182869.672,43.945,55.176,37.109,42.480,-9.277
1589182869.676,26.855,44.434,26.855,16.602,60.547
1589182869.680,30.273,37.109,31.250,14.648,83.984
1589182869.684,55.176,35.645,30.273,40.527,81.055
1589182869.688,66.895,41.504,41.016,60.547,81.543
1589182869.692,42.969,47.363,45.898,42.969,-10.742
1589182869.696,18.066,50.293,31.250,11.230,30.273
1589182869.700,22.949,52.734,25.391,11.719,86.914
1589182869.704,39.062,41.016,28.320,39.062,32.227
1589182869.708,46.387,34.668,44.922,50.293,52.734
1589182869.711,31.250,34.180,42.969,36.621,32.715
1589182869.715,10.742,31.250,32.715,12.207,11.719
1589182869.719,12.695,37.598,22.461,7.812,44.922
1589182869.723,32.715,41.504,23.926,23.926,21.973
1589182869.727,47.363,36.133,41.992,39.551,24.902
1589182869.731,36.133,27.344,42.969,39.062,36.133
1589182869.735,6.348,22.949,31.738,10.254,11.230
1589182869.739,2.441,34.180,19.531,-1.465,31.250
1589182869.743,24.902,46.875,25.879,23.926,83.984
1589182869.747,37.109,41.504,36.621,48.340,57.617
1589182869.751,35.156,35.645,39.551,49.805,26.367
1589182869.754,19.531,24.902,30.762,23.926,-26.367
1589182869.758,15.137,8.301,15.625,9.766,-9.766
1589182869.762,33.691,24.902,20.996,29.785,60.059
1589182869.766,50.293,50.781,30.762,57.129,21.484
1589182869.770,47.852,42.480,34.180,64.941,5.859
1589182869.774,26.855,24.414,32.715,39.062,31.738
1589182869.778,19.043,19.531,7.812,5.859,82.520
1589182869.782,32.227,36.621,4.395,12.695,27.344
