timestamps,TP9,AF7,AF8,TP10,Right AUX
1589182199.293,-47.852,13.672,11.719,-76.172,33.203
1589182199.297,-83.496,20.996,3.906,-137.207,-4.395
1589182199.301,20.508,8.789,15.137,-46.387,-14.160
1589182199.305,117.188,17.578,40.039,81.055,23.926
1589182199.309,102.051,30.762,42.969,88.867,51.758
1589182199.313,-16.602,27.344,19.531,-33.203,9.766
1589182199.317,-74.707,22.461,5.859,-120.605,6.836
1589182199.321,-3.418,17.578,4.883,-65.918,-4.883
1589182199.325,87.891,22.461,9.766,58.105,-10.742
1589182199.329,110.352,19.531,20.020,98.633,88.379
1589182199.333,27.832,16.602,25.879,-7.324,73.242
1589182199.336,-39.551,23.438,23.438,-96.680,29.785
1589182199.340,28.320,32.227,24.902,-33.203,67.383
1589182199.344,119.141,20.020,26.855,86.426,11.719
1589182199.348,141.602,21.973,25.391,125.000,10.742
1589182199.352,62.012,41.504,29.785,35.156,41.504
1589182199.356,-13.672,38.086,36.621,-59.570,-3.906
1589182199.360,10.254,23.926,26.855,-43.945,15.625
1589182199.364,88.379,22.461,18.555,51.270,-6.348
1589182199.368,124.023,25.879,26.855,109.375,43.457
1589182199.372,46.387,30.273,27.832,28.809,64.941
1589182199.376,-48.340,28.320,20.996,-96.680,56.152
1589182199.379,-7.324,17.578,23.438,-67.383,51.758
1589182199.383,100.098,12.695,27.344,53.223,40.527
1589182199.387,146.484,14.648,24.902,109.863,73.730
1589182199.391,82.031,18.555,26.367,45.898,64.453
1589182199.395,-10.742,20.996,21.484,-74.707,10.254
1589182199.399,12.207,34.180,15.137,-74.707,17.578
1589182199.403,82.031,27.832,18.066,31.738,37.109
1589182199.407,121.094,20.996,23.926,95.215,39.551
1589182199.411,83.496,28.320,24.414,45.898,39.062
1589182199.415,-15.137,24.902,25.391,-68.359,32.227
1589182199.418,1.465,6.836,37.598,-67.871,40.039
1589182199.422,104.492,-0.977,46.387,46.875,8.301
1589182199.426,131.836,17.578,28.320,105.957,-2.930
1589182199.430,84.961,38.574,13.672,62.012,23.438
1589182199.434,-6.836,40.527,11.230,-46.875,50.781
1589182199.438,-19.043,38.574,18.555,-79.102,4.395
1589182199.442,66.406,28.320,23.926,10.254,-32.715
1589182199.446,127.930,20.508,25.879,109.375,-7.812
1589182199.450,109.375,26.367,27.344,98.145,22.461
1589182199.454,9.277,26.367,31.738,-11.230,-16.113
1589182199.458,-29.785,30.762,33.691,-65.918,-23.926
1589182199.461,38.086,15.625,21.973,3.418,-22.949
1589182199.465,132.324,6.348,26.855,120.605,10.254
1589182199.469,145.996,23.438,30.762,132.324,-9.766
1589182199.473,33.691,14.648,19.043,4.883,-21.484
1589182199.477,-45.898,16.113,12.207,-99.121,21.973
1589182199.481,4.883,33.691,12.695,-41.992,19.043
1589182199.485,94.238,38.574,13.184,78.613,27.344
1589182199.489,105.957,29.297,6.836,87.402,16.602
1589182199.493,5.371,21.973,14.648,-21.973,-4.395
1589182199.497,-51.758,14.160,20.508,-99.121,33.691
1589182199.501,16.602,26.367,20.996,-34.668,46.875
1589182199.504,96.680,41.016,23.926,70.312,58.594
1589182199.508,120.117,26.367,28.320,114.746,87.402
1589182199.512,51.270,15.137,30.762,45.410,23.438
1589182199.516,-28.320,39.551,25.391,-58.105,-25.391
1589182199.520,-2.930,42.969,18.555,-27.344,64.941
1589182199.524,70.801,27.832,20.508,62.500,74.219
1589182199.528,104.492,22.461,24.902,99.609,95.703
1589182199.532,35.645,13.184,23.438,44.434,85.449
1589182199.536,-67.383,22.949,20.508,-95.215,25.879
1589182199.540,-26.855,34.668,23.438,-80.078,78.125
1589182199.543,85.449,34.668,23.438,54.688,43.945
1589182199.547,130.859,33.691,20.020,115.234,13.672
1589182199.551,79.590,28.320,29.297,62.988,39.551
1589182199.555,-18.066,15.625,34.180,-56.152,81.055
1589182199.559,-9.277,19.043,22.949,-64.453,61.035
1589182199.563,85.449,31.250,11.230,45.898,29.297
1589182199.567,128.418,31.738,11.230,125.488,45.410
1589182199.571,84.961,18.066,19.043,71.289,9.277
1589182199.575,-0.977,21.484,14.160,-61.035,-14.160
1589182199.579,7.812,38.086,18.555,-60.547,29.297
1589182199.583,87.402,14.648,35.156,51.270,28.320
1589182199.586,142.090,1.953,33.691,123.047,47.852
1589182199.590,112.793,39.062,36.621,93.750,60.547
1589182199.594,-8.301,37.598,34.180,-39.062,20.020
1589182199.598,-18.555,17.090,17.578,-94.727,-18.555
1589182199.602,71.777,36.133,19.531,18.066,18.066
1589182199.606,113.770,41.016,16.113,102.539,64.453
1589182199.610,96.191,38.086,17.090,72.266,76.172
1589182199.614,0.488,29.297,25.391,-37.109,81.055
1589182199.618,-20.508,28.320,23.926,-69.824,30.762
1589182199.622,90.820,33.691,22.461,29.785,-16.113
1589182199.626,149.902,25.879,15.625,114.746,33.203
1589182199.629,94.238,21.973,14.160,80.078,52.246
1589182199.633,-9.766,26.855,22.949,-34.668,62.988
1589182199.637,-42.480,30.762,27.344,-92.285,51.270
1589182199.641,42.480,11.230,16.113,-25.879,40.527
1589182199.645,122.559,10.254,12.695,81.543,48.828
1589182199.649,133.301,32.227,27.832,120.117,59.082
1589182199.653,42.480,26.855,31.250,20.020,38.574
1589182199.657,-28.809,28.809,25.391,-82.520,28.809
1589182199.661,36.133,20.508,25.391,-36.133,6.836
1589182199.665,119.141,16.113,25.879,75.195,-41.016
1589182199.668,132.324,51.270,23.438,113.770,-12.207
1589182199.672,46.387,53.223,22.461,10.742,18.066
1589182199.676,-41.016,31.250,25.391,-91.309,66.895
1589182199.680,-0.488,27.344,21.484,-58.594,63.477
1589182199.684,90.820,26.367,13.672,51.758,26.855
1589182199.688,120.605,25.879,14.648,121.094,-11.719
1589182199.692,56.641,26.367,14.160,54.199,-5.859
1589182199.696,-16.113,36.621,21.484,-63.477,-13.672
1589182199.700,8.301,30.273,27.344,-61.523,-30.762
1589182199.704,93.750,7.812,20.020,50.293,-8.789
1589182199.708,146.484,-0.977,25.879,132.812,39.062
1589182199.711,87.402,5.859,29.297,67.383,58.105
1589182199.715,-26.855,28.320,19.531,-69.824,17.578
1589182199.719,-4.883,42.969,26.367,-65.918,8.301
1589182199.723,106.934,47.852,38.086,55.664,38.086
1589182199.727,128.906,34.668,20.508,122.070,70.801
1589182199.731,66.406,26.855,21.484,61.035,31.250
1589182199.735,0.000,42.480,41.992,-41.016,-12.695
1589182199.739,-5.371,40.039,30.762,-62.012,36.621
1589182199.743,52.246,22.461,25.391,22.949,33.203
1589182199.747,113.281,20.020,39.551,105.469,20.996
1589182199.751,81.055,11.230,36.621,76.172,63.477
1589182199.754,-16.113,1.953,40.039,-32.227,51.758
1589182199.758,-13.184,25.879,46.387,-67.383,-9.277
1589182199.762,64.941,28.320,31.738,12.207,-31.250
1589182199.766,116.211,26.367,28.320,116.699,18.066
1589182199.770,81.543,33.203,23.926,88.867,43.457
1589182199.774,-20.996,33.203,23.926,-47.363,4.395
1589182199.778,-41.992,35.156,33.203,-70.312,19.043
1589182199.782,38.574,28.320,25.391,24.902,38.086
1589182199.786,110.840,29.297,30.762,117.676,11.230
1589182199.790,118.652,11.719,52.246,131.836,76.660
1589182199.793,20.020,-3.906,36.621,8.789,114.258
1589182199.797,-46.387,30.273,18.555,-94.238,15.137
1589182199.801,40.039,50.293,16.113,-13.672,16.602
1589182199.805,129.395,50.293,16.602,107.422,82.031
1589182199.809,105.469,36.133,29.297,100.586,71.777
1589182199.813,5.859,25.879,34.180,-10.254,6.348
1589182199.817,-44.922,36.133,34.668,-82.520,-11.230
1589182199.821,34.668,41.016,32.227,-13.672,39.551
1589182199.825,125.977,35.645,28.809,96.191,28.809
1589182199.829,136.230,34.180,28.320,117.188,-24.414
1589182199.833,36.621,35.645,32.227,15.625,-1.465
1589182199.836,-50.781,24.414,29.297,-95.703,31.738
1589182199.840,34.668,27.344,30.762,-16.113,16.113
1589182199.844,137.207,16.602,37.109,129.883,7.324
1589182199.848,133.301,-1.465,21.484,147.461,54.199
1589182199.852,35.645,26.855,15.137,26.855,57.617
1589182199.856,-54.199,50.293,20.020,-99.121,23.438
1589182199.860,-15.625,30.273,13.672,-60.059,8.301
1589182199.864,90.820,31.250,25.391,82.520,27.832
1589182199.868,130.859,53.711,39.062,141.602,30.762
1589182199.872,54.688,43.457,34.668,53.711,33.691
1589182199.876,-33.203,35.156,26.855,-70.801,13.672
1589182199.879,-16.113,33.203,16.602,-69.824,23.438
1589182199.883,82.520,22.949,28.320,53.223,64.941
1589182199.887,133.789,12.207,35.645,122.070,30.762
1589182199.891,58.105,0.977,29.297,50.293,29.297
1589182199.895,-41.992,5.859,26.855,-75.195,53.711
1589182199.899,-10.742,29.297,29.785,-54.199,77.637
1589182199.903,89.844,39.551,23.926,70.801,19.531
1589182199.907,132.812,27.344,16.113,143.555,-13.184
1589182199.911,81.543,32.227,25.879,89.355,33.203
1589182199.915,-28.809,42.480,24.902,-56.641,90.332
1589182199.918,-47.852,40.527,19.043,-93.262,42.969
1589182199.922,47.363,20.996,26.367,16.113,-10.254
1589182199.926,119.629,2.930,26.855,119.629,18.555
1589182199.930,77.148,18.555,20.020,87.891,16.113
1589182199.934,-28.320,31.738,26.367,-47.363,50.781
1589182199.938,-42.480,32.715,35.156,-91.309,24.414
1589182199.942,41.992,32.715,34.668,2.441,-27.344
1589182199.946,104.492,27.344,32.715,104.492,-60.547
1589182199.950,88.379,26.855,35.645,109.863,-2.930
1589182199.954,-8.301,28.809,39.062,-25.391,28.320
1589182199.958,-43.945,29.297,37.109,-105.469,-7.812
1589182199.961,20.020,26.367,28.809,-16.602,8.301
1589182199.965,83.008,25.391,27.832,89.844,38.574
1589182199.969,68.848,30.762,29.297,83.496,42.969
1589182199.973,-24.902,35.156,23.438,-41.016,2.441
1589182199.977,-65.918,40.527,24.902,-123.047,-0.977
1589182199.981,-13.184,42.480,26.367,-75.684,22.949
1589182199.985,50.781,42.969,19.531,20.508,47.852
1589182199.989,49.805,49.316,21.484,43.945,24.902
1589182199.993,-50.781,56.641,28.320,-70.801,-4.883
1589182199.997,-137.695,51.270,19.043,-186.523,35.645
1589182200.001,-89.844,48.340,2.930,-149.414,72.266
1589182200.004,-8.301,52.246,8.301,-33.203,49.316
1589182200.008,-18.555,49.316,14.648,-15.137,3.418
1589182200.012,-122.070,44.922,14.160,-142.090,38.086
1589182200.016,-196.289,45.410,14.648,-252.441,5.859
1589182200.020,-151.367,45.410,12.695,-211.914,-3.418
1589182200.024,-72.266,45.898,19.043,-91.309,41.016
1589182200.028,-50.293,39.062,24.414,-38.574,35.156
1589182200.032,-123.535,32.227,22.461,-127.930,58.594
1589182200.036,-207.031,34.180,23.438,-235.352,47.363
1589182200.040,-150.879,38.086,25.879,-195.312,44.434
1589182200.043,-41.992,31.250,29.785,-62.500,83.984
1589182200.047,-21.973,24.902,32.227,0.000,26.367
1589182200.051,-69.824,34.180,37.109,-64.941,38.574
1589182200.055,-140.137,25.879,35.645,-161.621,49.316
1589182200.059,-111.328,8.301,27.344,-150.391,2.441
1589182200.063,11.719,18.555,39.551,-20.508,10.742
1589182200.067,57.129,29.785,37.109,65.430,24.902
1589182200.071,5.371,23.926,26.855,10.742,45.898
1589182200.075,-85.938,-8.301,30.273,-109.375,23.438
1589182200.079,-66.895,-4.883,34.668,-96.191,16.113
1589182200.083,44.922,23.926,29.785,28.320,48.340
1589182200.086,113.281,21.484,24.902,112.793,81.055
1589182200.090,77.148,21.484,20.996,74.707,73.242
1589182200.094,-4.395,32.715,18.066,-37.109,83.496
1589182200.098,0.488,34.180,17.090,-49.316,80.566
1589182200.102,87.402,7.324,16.113,59.082,15.625
1589182200.106,148.926,-11.719,14.160,159.668,11.719
1589182200.110,121.582,8.301,11.719,143.555,13.184
1589182200.114,28.809,30.762,18.066,16.113,19.043
1589182200.118,-1.465,38.086,10.742,-32.715,13.184
1589182200.122,81.055,36.133,0.977,69.336,30.273
1589182200.126,158.691,35.645,10.742,171.387,52.734
1589182200.129,136.719,32.715,13.184,151.855,35.156
1589182200.133,28.809,23.438,14.160,30.762,24.414
1589182200.137,2.441,5.859,17.578,-30.273,30.273
1589182200.141,98.633,2.930,17.578,54.199,19.043
1589182200.145,187.012,21.973,27.344,181.152,38.574
1589182200.149,185.547,26.367,39.062,192.383,52.734
1589182200.153,75.684,20.020,34.668,60.547,11.719
1589182200.157,-1.465,10.742,17.090,-44.434,13.184
1589182200.161,69.824,-4.395,5.859,13.184,18.066
1589182200.165,158.691,6.836,17.578,140.137,-8.789
1589182200.168,171.387,38.574,31.738,172.363,6.348
1589182200.172,80.566,41.504,25.879,68.359,37.598
1589182200.176,-20.996,20.996,11.230,-50.781,45.898
1589182200.180,47.363,13.672,16.113,5.371,16.113
1589182200.184,155.762,13.672,22.461,132.324,15.137
1589182200.188,166.504,19.531,12.695,164.062,77.637
1589182200.192,96.191,23.438,11.230,90.332,-1.953
1589182200.196,23.926,15.625,24.414,-4.395,-63.477
1589182200.200,59.570,16.113,32.227,14.648,-39.551
1589182200.204,132.324,29.297,32.227,120.605,-51.758
1589182200.208,157.715,16.113,30.273,172.852,7.324
1589182200.211,104.004,7.812,33.203,101.074,24.414
1589182200.215,16.602,20.020,34.180,-15.625,1.465
1589182200.219,41.016,13.672,33.691,-8.789,24.414
1589182200.223,123.535,26.367,38.574,108.398,64.941
1589182200.227,151.855,36.621,39.062,171.387,73.242
1589182200.231,89.355,17.578,26.367,104.492,63.477
1589182200.235,-4.883,17.578,18.066,-23.926,43.945
1589182200.239,14.648,26.367,12.207,-32.227,17.578
1589182200.243,96.191,16.113,11.719,72.266,44.922
1589182200.247,152.344,24.414,12.695,146.973,45.410
1589182200.251,118.652,29.785,12.695,106.934,3.906
1589182200.254,-6.836,9.766,27.832,-16.113,48.828
1589182200.258,-19.531,7.812,25.391,-44.434,62.988
1589182200.262,82.520,15.625,20.996,48.340,-9.766
1589182200.266,134.766,26.855,23.438,122.070,9.766
1589182200.270,95.215,30.762,20.508,98.145,97.168
1589182200.274,-4.883,30.273,22.461,-9.766,102.051
1589182200.278,-31.738,20.996,15.137,-71.777,1.953
1589182200.282,63.965,20.996,11.719,25.879,-19.043
1589182200.286,142.578,42.969,26.367,142.578,48.828
1589182200.290,116.211,43.945,32.715,126.953,71.777
1589182200.293,-0.488,24.902,23.926,-9.766,40.039
1589182200.297,-50.293,17.090,16.113,-84.961,48.828
1589182200.301,38.086,37.598,18.555,5.859,71.777
1589182200.305,113.770,27.344,25.391,114.746,30.273
1589182200.309,118.652,22.461,36.133,136.719,32.227
1589182200.313,31.250,44.434,38.086,23.438,3.418
1589182200.317,-35.645,41.504,31.738,-63.965,31.250
1589182200.321,10.254,30.762,15.625,-12.695,57.129
1589182200.325,79.102,19.531,0.000,70.801,9.766
1589182200.329,102.539,5.859,5.371,112.305,-0.977
1589182200.333,18.555,11.719,12.695,17.090,-20.996
1589182200.336,-50.781,32.227,19.043,-79.102,-17.090
1589182200.340,18.555,31.250,21.484,-11.230,-4.395
1589182200.344,104.004,32.227,17.090,95.215,47.852
1589182200.348,110.352,30.762,9.277,116.699,35.645
1589182200.352,26.367,36.621,13.184,29.785,41.992
1589182200.356,-59.570,32.227,14.160,-93.262,60.059
1589182200.360,-2.930,22.949,15.137,-58.105,33.691
1589182200.364,86.426,27.344,20.020,66.895,35.645
1589182200.368,105.469,34.668,16.602,122.070,-52.734
1589182200.372,41.504,35.645,12.695,48.828,-76.172
1589182200.376,-37.598,26.855,5.371,-64.453,-43.457
1589182200.379,-2.930,18.066,13.184,-33.203,27.344
1589182200.383,64.453,21.973,31.738,60.547,99.609
1589182200.387,78.125,20.996,43.457,97.168,55.176
1589182200.391,9.277,12.207,33.203,33.203,25.391
1589182200.395,-66.895,21.484,37.598,-74.219,37.109
1589182200.399,-32.715,24.414,62.988,-54.688,25.879
1589182200.403,35.156,15.137,40.527,41.016,29.785
1589182200.407,62.012,2.441,10.254,93.750,10.742
1589182200.411,-7.812,-29.785,10.254,23.438,22.461
1589182200.415,-104.492,-16.113,38.086,-109.375,-0.977
1589182200.418,-92.285,32.227,54.199,-117.676,-12.695
1589182200.422,-24.414,44.922,28.809,-33.203,5.371
1589182200.426,29.297,25.391,16.602,40.527,-6.836
1589182200.430,8.789,15.137,25.391,31.250,80.566
