timestamps,TP9,AF7,AF8,TP10,Right AUX
1589182524.840,63.477,44.434,41.992,78.613,65.430
1589182524.844,41.992,36.133,28.809,51.758,81.055
1589182524.848,-16.113,11.719,36.621,-10.254,73.242
1589182524.852,-25.391,7.324,38.574,-35.645,5.859
1589182524.856,19.043,29.297,42.969,13.184,-11.230
1589182524.860,55.176,39.551,59.082,76.660,31.250
1589182524.864,49.805,41.016,71.289,73.242,32.715
1589182524.868,16.602,53.711,59.570,14.160,19.043
1589182524.872,9.766,53.711,41.016,-10.742,35.645
1589182524.876,31.738,31.738,42.480,22.949,19.531
1589182524.879,59.570,28.809,61.035,77.148,21.973
1589182524.883,47.363,36.133,41.504,71.289,36.621
1589182524.887,3.906,37.109,13.184,-2.441,30.273
1589182524.891,-21.484,41.504,23.926,-54.199,10.254
1589182524.895,12.207,41.992,45.410,-8.789,9.277
1589182524.899,63.965,47.363,63.965,74.219,46.875
1589182524.903,48.828,35.645,67.383,71.777,52.734
1589182524.907,9.277,14.160,48.340,6.348,23.926
1589182524.911,9.766,12.695,42.480,-18.555,2.930
1589182524.915,41.992,54.688,58.105,25.879,23.438
1589182524.918,63.965,59.570,57.129,73.730,49.805
1589182524.922,80.566,46.387,49.805,96.680,30.762
1589182524.926,33.691,72.754,37.109,38.086,35.645
1589182524.930,2.930,32.715,41.016,-20.020,54.199
1589182524.934,23.438,-2.441,57.129,0.488,-4.883
1589182524.938,21.484,25.391,40.039,27.832,-24.414
1589182524.942,33.203,52.734,16.602,55.176,31.738
1589182524.946,24.414,64.941,36.621,33.203,43.945
1589182524.950,-8.301,47.852,62.012,-32.715,3.906
1589182524.954,18.555,41.504,61.035,-15.137,8.301
1589182524.958,68.359,50.293,51.758,67.383,78.125
1589182524.961,80.078,41.992,55.664,96.191,62.988
1589182524.965,58.105,39.062,63.477,56.641,57.129
1589182524.969,3.906,14.160,42.480,-21.973,47.363
1589182524.973,-7.812,-8.301,31.250,-39.062,-43.457
1589182524.977,26.367,22.461,50.293,24.414,-53.223
1589182524.981,42.969,42.969,63.477,70.312,0.488
1589182524.985,31.738,43.945,58.105,46.387,54.688
1589182524.989,1.953,40.039,44.434,-12.695,62.500
1589182524.993,9.277,36.133,44.922,-8.789,14.160
1589182524.997,55.664,41.016,62.012,53.223,23.438
1589182525.001,67.871,33.691,67.383,84.961,87.402
1589182525.004,42.480,24.414,53.711,54.688,67.383
1589182525.008,-1.953,41.016,45.898,-13.184,-3.418
1589182525.012,-20.020,28.809,31.250,-36.621,-2.441
1589182525.016,13.672,10.742,21.484,17.578,42.969
1589182525.020,48.340,16.113,38.574,74.707,19.531
1589182525.024,43.457,24.902,41.504,67.871,36.133
1589182525.028,-12.207,31.738,25.879,-12.207,107.422
1589182525.032,-12.207,26.855,50.293,-33.203,73.242
1589182525.036,38.086,2.930,63.477,35.645,34.668
1589182525.040,72.754,22.949,66.895,103.027,83.984
1589182525.043,52.246,60.547,56.152,75.195,35.645
1589182525.047,-16.602,50.781,24.902,-25.391,-7.324
1589182525.051,-33.203,31.250,34.180,-58.105,33.203
1589182525.055,-5.859,18.555,39.062,-12.207,30.762
1589182525.059,42.480,11.230,35.645,62.012,0.977
1589182525.063,76.172,15.137,58.594,87.891,50.781
1589182525.067,18.066,30.273,54.199,7.812,7.812
1589182525.071,-28.320,43.457,41.504,-56.152,-28.320
1589182525.075,9.766,54.199,50.781,-3.418,24.414
1589182525.079,55.176,45.898,41.504,64.453,42.480
1589182525.083,63.965,41.016,55.176,82.520,59.082
1589182525.086,13.184,32.715,61.523,21.484,-2.441
1589182525.090,-28.809,9.766,52.246,-48.340,-4.395
1589182525.094,12.207,7.324,44.434,-1.465,67.383
1589182525.098,47.852,14.648,32.715,62.988,24.902
1589182525.102,50.293,29.297,40.527,74.707,38.086
1589182525.106,31.738,23.438,48.340,36.621,72.266
1589182525.110,8.789,41.016,48.828,-19.043,41.992
1589182525.114,32.227,73.730,61.523,-4.883,9.277
1589182525.118,64.941,66.895,71.777,61.523,-19.531
1589182525.122,75.684,43.457,56.152,97.168,-47.363
1589182525.126,36.133,6.348,36.621,31.738,7.324
1589182525.129,-30.762,0.000,43.945,-58.105,28.320
1589182525.133,-16.113,21.484,59.570,-32.227,-20.020
1589182525.137,42.480,22.461,51.758,49.316,15.625
1589182525.141,58.594,13.672,45.898,77.148,54.199
1589182525.145,43.945,34.180,52.734,51.270,50.781
1589182525.149,11.719,50.781,36.133,-2.441,5.371
1589182525.153,7.324,38.574,48.828,-7.812,-3.418
1589182525.157,34.180,39.062,52.246,42.969,31.738
1589182525.161,46.875,23.926,33.203,71.777,42.480
1589182525.165,41.992,17.578,54.688,53.223,8.301
1589182525.168,2.441,25.879,42.480,-17.090,-11.719
1589182525.172,-10.254,35.645,33.203,-37.109,20.508
1589182525.176,34.180,43.945,59.082,37.109,-3.418
1589182525.180,59.082,32.227,64.941,84.961,7.812
1589182525.184,48.828,34.668,62.012,64.453,57.617
1589182525.188,26.855,55.176,80.566,13.184,22.461
1589182525.192,16.602,44.434,74.219,-3.906,19.531
1589182525.196,26.367,25.879,36.621,30.762,74.707
1589182525.200,52.246,26.855,30.762,71.777,45.410
1589182525.204,65.430,19.043,50.293,69.824,-13.672
1589182525.208,11.719,23.438,39.551,-4.883,20.508
1589182525.211,-0.977,50.293,37.109,-28.320,15.625
1589182525.215,43.945,35.156,36.621,28.320,-6.836
1589182525.219,60.059,19.531,23.438,77.148,13.184
1589182525.223,81.055,43.457,45.410,93.262,12.207
1589182525.227,33.203,39.551,52.734,26.855,30.762
