timestamps,TP9,AF7,AF8,TP10,Right AUX
1581426305.622,9.277,32.715,34.180,31.250,74.219
1581426305.626,5.371,35.156,30.762,21.484,73.242
1581426305.629,25.879,34.180,35.645,12.207,24.414
1581426305.633,38.574,28.320,32.715,38.086,15.137
1581426305.637,26.855,27.832,36.621,24.902,55.176
1581426305.641,19.531,32.715,34.668,1.465,10.742
1581426305.645,25.879,30.273,29.785,25.391,23.438
1581426305.649,9.766,27.832,31.738,35.156,40.039
1581426305.653,36.133,31.738,28.320,23.926,15.625
1581426305.657,45.410,34.668,25.879,23.438,55.664
1581426305.661,8.789,33.203,32.715,40.527,55.664
1581426305.665,15.625,31.250,35.645,27.344,2.441
1581426305.669,33.203,32.715,30.273,24.414,9.766
1581426305.672,27.344,36.133,31.250,34.180,23.438
1581426305.676,38.574,34.668,29.297,34.180,-19.043
1581426305.680,40.527,30.273,29.785,28.809,-36.133
1581426305.684,32.227,32.715,34.180,31.250,-61.035
1581426305.688,33.691,35.645,34.180,41.504,-28.320
1581426305.692,34.668,32.715,41.504,44.434,25.391
1581426305.696,26.855,35.156,42.969,29.785,41.504
1581426305.700,17.578,37.109,33.203,13.184,65.430
1581426305.704,34.668,39.551,33.691,32.227,28.809
1581426305.708,34.668,39.062,35.645,46.387,16.113
1581426305.711,39.551,35.645,34.180,21.973,14.648
1581426305.715,44.434,37.598,30.762,12.695,21.484
1581426305.719,32.227,36.133,31.738,27.344,-38.086
1581426305.723,36.133,34.668,36.133,50.293,8.301
1581426305.727,23.926,32.715,40.527,38.574,34.180
1581426305.731,20.996,28.809,40.527,35.645,2.930
1581426305.735,34.668,29.297,37.109,32.715,30.273
1581426305.739,24.414,32.227,31.738,24.902,77.148
1581426305.743,30.273,34.668,28.809,28.320,108.398
1581426305.747,43.945,38.574,25.879,7.812,29.785
1581426305.751,37.109,40.039,29.785,17.578,-0.488
1581426305.754,31.250,36.133,36.133,43.945,67.871
1581426305.758,30.273,35.645,34.668,44.922,34.180
1581426305.762,31.250,35.645,38.574,43.457,33.691
1581426305.766,23.438,34.668,43.945,15.625,41.992
1581426305.770,21.484,36.621,41.016,3.418,10.254
1581426305.774,30.762,35.645,34.668,25.391,12.695
1581426305.778,41.504,35.645,29.785,36.621,5.859
1581426305.782,31.738,37.109,33.203,38.086,17.578
1581426305.786,32.715,36.133,32.227,33.203,50.293
1581426305.790,41.992,37.109,29.297,47.852,59.570
1581426305.794,18.555,35.156,31.250,32.227,29.785
1581426305.797,21.484,32.715,30.762,21.484,0.000
1581426305.801,23.926,33.203,29.785,30.273,-13.184
1581426305.805,10.742,31.738,30.273,39.062,-20.996
1581426305.809,18.066,28.320,34.668,28.320,16.113
1581426305.813,29.785,32.715,32.715,13.184,33.203
