timestamps,TP9,AF7,AF8,TP10,Right AUX
1581425913.700,33.203,40.527,36.621,32.227,-9.277
1581425913.704,-10.742,39.551,39.062,22.949,-0.488
1581425913.708,14.648,40.039,36.133,28.320,51.758
1581425913.711,40.039,41.992,35.645,77.637,113.281
1581425913.715,29.785,36.133,39.062,83.984,62.012
1581425913.719,57.617,33.203,39.062,9.766,-27.344
1581425913.723,28.320,31.738,36.621,13.184,10.742
1581425913.727,-1.953,27.832,34.180,33.691,67.871
1581425913.731,0.000,32.227,26.855,10.254,55.664
1581425913.735,22.949,34.668,22.461,-2.930,94.727
1581425913.739,24.902,32.227,28.320,16.602,44.922
1581425913.743,-8.789,30.273,34.180,46.875,22.461
1581425913.747,13.672,34.668,36.621,19.043,86.914
1581425913.751,47.363,39.062,38.086,50.781,54.688
1581425913.754,43.457,38.086,39.551,69.824,34.668
1581425913.758,29.297,36.621,32.227,-36.621,28.809
1581425913.762,13.672,36.621,21.973,-22.949,4.395
1581425913.766,-6.348,34.668,26.367,47.363,11.719
1581425913.770,7.324,36.133,28.320,41.016,57.617
1581425913.774,17.090,39.551,28.809,39.062,105.469
1581425913.778,43.457,37.598,37.109,80.566,61.035
1581425913.782,60.059,35.645,38.574,13.672,20.020
1581425913.786,23.438,38.574,29.785,-62.012,12.207
1581425913.790,-10.742,38.086,27.344,-2.441,24.902
1581425913.793,12.207,36.133,27.832,45.898,50.781
1581425913.797,30.273,37.109,29.297,45.410,50.781
1581425913.801,45.410,36.621,30.762,20.996,3.418
1581425913.805,44.434,35.645,33.691,28.320,5.859
1581425913.809,29.785,35.156,37.109,21.484,23.926
1581425913.813,24.902,34.668,37.598,20.020,7.324
1581425913.817,32.227,35.156,38.574,43.945,30.762
1581425913.821,21.973,33.203,41.016,55.176,9.766
1581425913.825,22.461,36.133,37.598,18.066,40.527
1581425913.829,-9.766,36.621,39.551,20.508,46.387
1581425913.833,-31.738,32.227,42.969,74.219,20.996
1581425913.836,4.395,33.691,37.109,31.738,20.508
1581425913.840,36.133,33.691,30.762,-7.812,-31.250
1581425913.844,31.250,33.691,29.297,26.367,31.738
1581425913.848,32.227,39.062,33.203,33.691,70.801
1581425913.852,27.344,40.527,37.598,31.250,-3.906
1581425913.856,32.715,41.504,38.086,23.438,-31.250
1581425913.860,51.270,42.969,34.668,61.523,31.250
1581425913.864,14.160,39.062,37.109,38.086,29.297
1581425913.868,14.648,36.133,40.527,-21.484,4.883
1581425913.872,0.977,37.598,38.574,45.410,37.109
1581425913.876,-20.020,34.668,35.156,57.617,-12.207
1581425913.879,0.977,30.273,38.086,13.184,31.738
1581425913.883,14.648,33.691,33.203,54.199,24.414
1581425913.887,4.883,34.180,31.738,38.574,-32.227
1581425913.891,0.000,36.133,35.156,-43.457,-5.859
1581425913.895,25.879,39.062,33.691,-22.949,3.906
1581425913.899,49.316,37.109,32.227,19.043,18.066
1581425913.903,11.230,37.598,32.715,37.109,34.180
1581425913.907,16.602,36.133,36.621,37.598,11.230
1581425913.911,6.836,30.273,41.016,67.383,9.766
1581425913.915,13.672,29.785,41.504,90.820,48.828
1581425913.918,33.203,36.133,31.738,24.902,57.617
1581425913.922,41.504,41.504,23.926,-15.137,24.902
1581425913.926,54.688,42.969,24.414,-7.324,-0.488
1581425913.930,-12.207,39.551,22.949,6.348,32.227
1581425913.934,-20.020,34.668,20.996,19.531,6.836
1581425913.938,2.441,32.715,31.250,100.098,-3.418
1581425913.942,18.066,32.227,42.969,78.125,61.035
1581425913.946,41.504,32.227,37.109,-46.875,35.156
1581425913.950,19.531,36.133,26.367,-23.438,23.438
1581425913.954,-1.465,37.598,28.809,18.555,69.336
1581425913.958,19.043,30.762,34.668,42.480,16.113
1581425913.961,21.484,27.832,37.109,40.527,12.207
1581425913.965,18.555,30.273,38.086,32.715,30.762
1581425913.969,22.461,32.715,36.621,58.594,22.461
1581425913.973,44.922,36.621,38.574,71.289,33.691
1581425913.977,55.176,38.574,40.527,41.504,24.414
1581425913.981,15.137,37.109,35.645,21.973,10.254
1581425913.985,70.801,35.645,31.250,21.973,0.488
1581425913.989,92.773,39.551,34.180,46.387,-13.672
1581425913.993,18.066,40.527,38.574,73.242,29.297
1581425913.997,-9.766,37.598,35.645,19.531,117.676
1581425914.001,-7.812,38.086,30.762,-24.902,49.316
1581425914.004,7.812,37.109,35.645,-1.953,20.508
1581425914.008,12.207,39.062,34.180,27.344,52.246
1581425914.012,16.602,40.527,32.227,66.895,44.922
1581425914.016,11.230,38.574,32.715,44.434,86.914
1581425914.020,31.250,39.062,32.227,-4.883,72.754
1581425914.024,20.020,36.621,35.645,60.059,77.148
1581425914.028,-0.488,35.645,38.574,47.363,110.840
1581425914.032,33.691,40.527,33.691,-27.832,65.918
1581425914.036,51.758,42.480,28.809,35.156,21.973
1581425914.040,54.199,40.527,28.809,47.363,0.977
1581425914.043,-2.441,37.598,30.762,23.438,17.090
1581425914.047,-2.930,34.668,35.156,58.594,28.809
1581425914.051,9.766,36.133,38.574,27.344,20.020
1581425914.055,-21.484,41.016,36.133,-21.973,90.332
1581425914.059,7.812,43.457,30.762,50.293,74.707
1581425914.063,14.648,40.527,30.762,90.332,20.020
1581425914.067,36.133,42.969,26.367,8.301,16.602
1581425914.071,29.297,43.457,24.414,-14.648,-19.043
1581425914.075,25.391,38.574,29.297,4.395,-13.184
1581425914.079,51.270,38.574,26.367,10.742,50.781
1581425914.083,31.738,38.086,28.320,17.578,74.219
1581425914.086,37.598,37.598,33.691,23.438,49.316
1581425914.090,22.461,37.109,37.598,60.059,65.430
1581425914.094,-18.555,29.785,41.016,44.434,15.625
1581425914.098,29.785,27.832,40.039,9.277,22.461
1581425914.102,86.426,35.156,34.180,41.504,57.617
1581425914.106,54.688,38.574,29.785,19.043,-0.488
1581425914.110,-24.902,35.156,30.762,-42.480,32.227
1581425914.114,-42.969,32.227,33.203,-20.996,88.867
1581425914.118,12.207,32.227,30.762,11.230,65.430
1581425914.122,39.551,32.227,28.320,15.137,47.363
1581425914.126,30.762,31.250,29.785,51.270,48.340
1581425914.129,3.906,29.785,34.180,62.500,44.434
1581425914.133,-6.348,31.250,38.086,27.344,47.363
1581425914.137,11.719,30.273,31.250,22.461,76.660
1581425914.141,6.836,31.250,29.785,29.297,69.336
1581425914.145,22.461,36.133,33.691,26.855,51.758
1581425914.149,13.672,36.621,34.668,-14.648,65.430
1581425914.153,-30.762,36.621,34.180,-15.137,2.930
1581425914.157,1.465,38.086,28.320,16.113,13.672
1581425914.161,38.086,37.598,28.809,46.387,34.180
1581425914.165,70.312,37.598,33.203,78.613,66.895
1581425914.168,29.785,36.621,32.227,20.020,51.270
1581425914.172,-8.301,36.133,26.367,-41.992,-16.113
1581425914.176,34.180,36.133,22.461,-21.484,77.148
1581425914.180,13.672,38.574,23.438,17.578,87.402
1581425914.184,-6.836,37.598,27.344,42.480,-14.648
1581425914.188,6.348,35.156,27.832,23.438,-16.602
1581425914.192,15.137,34.180,28.320,35.156,18.555
1581425914.196,41.016,31.250,30.273,58.594,7.812
1581425914.200,68.848,31.250,28.809,46.387,25.391
1581425914.204,20.996,32.715,30.762,63.965,33.203
1581425914.208,-21.973,33.691,35.645,17.578,42.969
1581425914.211,4.883,36.133,37.109,21.484,9.277
1581425914.215,13.672,36.621,35.645,59.570,-2.441
1581425914.219,11.719,36.621,33.691,-2.930,15.625
1581425914.223,26.367,37.109,28.809,8.301,31.250
1581425914.227,11.719,40.527,27.832,5.371,22.949
1581425914.231,31.738,41.992,27.344,-10.254,45.898
1581425914.235,82.031,40.039,32.715,40.039,56.152
1581425914.239,65.430,41.504,36.133,42.480,26.855
1581425914.243,-8.789,42.969,35.156,0.000,63.965
1581425914.247,-6.348,41.992,38.086,41.016,45.410
1581425914.251,-6.836,40.527,35.156,71.289,-3.906
1581425914.254,2.930,42.480,33.691,-2.930,-4.883
1581425914.258,36.621,40.527,29.785,-26.367,-13.672
1581425914.262,43.945,36.621,25.879,18.555,20.508
1581425914.266,32.715,36.133,26.367,20.020,15.625
1581425914.270,52.246,36.621,31.738,20.996,27.832
1581425914.274,12.695,34.180,38.086,75.195,64.941
1581425914.278,-39.062,31.738,41.504,57.617,-19.043
1581425914.282,-7.812,33.691,32.715,-12.695,-12.695
