timestamps,TP9,AF7,AF8,TP10,Right AUX
1589186254.414,41.992,17.090,33.691,47.852,-12.695
1589186254.418,77.637,18.555,30.762,39.551,-13.184
1589186254.422,51.270,19.531,31.738,42.969,-21.973
1589186254.426,18.066,18.555,34.180,24.902,15.137
1589186254.429,29.297,19.043,33.203,4.883,39.551
1589186254.433,41.016,23.926,27.832,24.414,29.297
1589186254.437,53.223,21.484,30.762,48.340,61.523
1589186254.441,66.406,20.020,38.574,67.871,19.531
1589186254.445,30.762,22.461,38.086,48.340,35.645
1589186254.449,16.113,24.902,36.133,21.484,63.477
1589186254.453,60.547,24.414,37.598,28.320,48.340
1589186254.457,64.453,25.879,38.086,46.387,28.809
1589186254.461,67.383,26.855,37.598,60.547,21.973
1589186254.465,48.828,21.484,31.250,35.645,43.945
1589186254.468,1.465,16.602,27.832,5.371,15.137
1589186254.472,14.160,17.578,25.879,21.484,61.035
1589186254.476,49.316,18.066,23.926,41.504,82.520
1589186254.480,74.219,19.531,25.879,41.992,62.500
1589186254.484,60.059,21.484,26.367,26.367,92.773
1589186254.488,17.578,20.020,25.391,9.766,96.191
1589186254.492,22.949,16.113,24.414,18.555,23.438
1589186254.496,41.992,21.484,23.926,34.668,23.926
1589186254.500,62.012,21.484,24.414,45.410,46.387
1589186254.504,61.523,20.020,26.367,34.668,34.180
1589186254.508,20.020,25.391,27.832,13.672,8.301
1589186254.511,33.691,23.926,27.832,19.531,47.852
1589186254.515,55.664,23.926,31.250,34.668,102.539
1589186254.519,66.406,26.367,29.785,51.758,54.199
1589186254.523,51.270,30.273,25.391,40.039,47.852
1589186254.527,22.461,26.855,31.738,23.926,41.016
1589186254.531,6.836,23.926,33.203,25.391,-21.484
1589186254.535,39.551,24.902,27.344,25.391,10.742
1589186254.539,82.520,23.438,26.855,32.227,83.496
1589186254.543,72.754,24.902,25.391,24.902,105.957
1589186254.547,25.879,27.832,23.926,10.254,58.105
1589186254.551,8.789,30.762,22.461,20.996,31.250
1589186254.554,26.367,31.250,26.367,41.016,49.805
1589186254.558,44.434,29.297,30.762,41.992,65.430
1589186254.562,63.965,29.785,30.273,56.152,85.449
1589186254.566,32.227,34.668,30.273,48.340,32.227
1589186254.570,26.855,26.367,29.785,15.625,-18.066
1589186254.574,46.387,23.926,28.809,15.137,23.438
1589186254.578,62.500,28.320,30.273,35.645,69.336
1589186254.582,63.965,26.855,29.785,39.551,23.926
1589186254.586,41.016,26.855,34.668,39.551,-16.602
1589186254.590,25.391,28.320,36.133,27.832,53.223
1589186254.593,23.926,27.344,33.691,32.227,39.062
1589186254.597,59.570,26.367,36.621,60.059,17.090
1589186254.601,66.406,25.879,36.621,64.453,55.176
1589186254.605,36.133,26.855,34.668,42.480,47.363
1589186254.609,19.531,26.855,35.156,31.738,60.059
1589186254.613,27.344,21.973,36.133,40.039,73.730
1589186254.617,58.594,22.949,36.133,59.082,52.246
1589186254.621,85.938,27.344,37.109,59.570,3.906
1589186254.625,54.688,25.879,37.109,41.504,-33.203
1589186254.629,0.488,25.879,35.156,31.250,4.395
1589186254.633,25.391,24.902,35.156,32.715,26.855
1589186254.636,55.176,23.926,36.621,55.176,40.527
1589186254.640,71.289,27.344,36.621,60.547,39.062
1589186254.644,52.246,26.367,34.668,40.527,-12.207
1589186254.648,5.859,21.973,35.156,36.621,42.969
1589186254.652,3.418,23.926,34.180,52.246,41.016
1589186254.656,52.734,21.973,32.715,53.223,-7.812
1589186254.660,55.664,23.926,33.203,45.410,56.641
1589186254.664,32.715,27.832,33.691,37.598,93.262
1589186254.668,20.996,24.414,35.645,24.902,35.645
1589186254.672,13.184,22.949,36.133,32.715,40.039
1589186254.676,34.180,28.320,30.762,35.645,50.781
1589186254.679,49.805,22.949,30.273,39.551,89.355
1589186254.683,55.176,13.672,32.715,50.293,111.816
1589186254.687,14.648,23.438,32.715,37.598,89.355
1589186254.691,13.672,24.902,35.156,19.043,65.918
1589186254.695,43.945,17.090,38.086,42.969,19.531
1589186254.699,55.664,19.043,34.668,72.266,49.805
1589186254.703,53.711,18.066,31.250,48.340,49.316
1589186254.707,2.441,18.555,34.668,11.230,0.977
1589186254.711,11.719,19.531,31.738,15.625,-1.953
1589186254.715,56.152,16.602,29.785,36.621,14.160
1589186254.718,50.781,17.090,34.668,44.922,24.414
1589186254.722,33.203,18.555,36.621,33.691,-5.859
1589186254.726,7.324,20.996,37.598,20.508,9.277
1589186254.730,8.789,25.879,35.156,21.973,58.594
1589186254.734,36.621,28.320,32.227,35.156,8.301
1589186254.738,61.523,20.996,35.156,53.223,-52.246
1589186254.742,45.898,26.367,32.227,41.504,24.414
1589186254.746,20.508,26.367,29.785,16.602,18.066
1589186254.750,7.812,17.090,34.668,24.414,-12.207
1589186254.754,21.973,19.043,33.203,36.621,48.340
1589186254.758,57.617,23.438,28.809,57.129,22.461
1589186254.761,54.199,22.949,26.855,47.363,-33.691
