timestamps,TP9,AF7,AF8,TP10,Right AUX
1589185793.679,29.297,39.551,29.297,25.879,48.340
1589185793.683,13.672,30.273,31.250,7.324,28.320
1589185793.687,42.480,34.668,29.297,43.457,33.691
1589185793.691,67.871,36.621,31.738,75.195,41.504
1589185793.695,60.547,37.109,29.297,66.895,63.477
1589185793.699,32.715,44.434,28.809,35.156,26.367
1589185793.703,14.160,33.691,32.227,6.348,39.062
1589185793.707,38.086,21.484,20.996,33.691,79.102
1589185793.711,51.758,23.926,15.625,58.594,58.105
1589185793.715,34.180,30.762,16.602,48.828,41.992
1589185793.718,20.508,30.762,17.090,29.297,20.996
1589185793.722,1.465,30.273,17.090,-6.836,55.176
1589185793.726,11.230,33.203,18.066,1.953,63.965
1589185793.730,42.969,21.484,23.438,52.246,22.949
1589185793.734,48.340,22.949,27.344,71.289,21.973
1589185793.738,28.809,37.109,29.785,41.504,20.508
1589185793.742,1.953,35.645,27.832,2.441,11.230
1589185793.746,15.137,22.949,30.273,19.531,2.441
1589185793.750,45.410,21.973,30.762,54.688,32.715
1589185793.754,45.898,27.344,32.227,51.758,40.527
1589185793.758,30.762,27.344,28.809,35.645,34.668
1589185793.761,5.371,27.344,27.344,9.277,78.613
1589185793.765,14.160,26.367,28.809,12.695,7.324
1589185793.769,43.457,21.484,26.367,52.734,-48.828
1589185793.773,48.340,25.879,25.391,69.336,-24.902
1589185793.777,36.133,27.344,25.879,41.016,24.902
1589185793.781,7.812,24.902,28.809,-1.465,50.781
1589185793.785,9.766,29.785,34.668,2.441,54.688
1589185793.789,43.457,31.738,26.855,41.016,28.809
1589185793.793,49.316,32.715,24.902,65.430,75.195
1589185793.797,47.363,34.668,28.809,59.082,79.590
1589185793.800,16.602,34.668,22.949,10.254,46.875
1589185793.804,10.742,35.645,22.949,8.789,30.273
1589185793.808,52.734,31.738,27.832,55.176,9.766
1589185793.812,64.453,20.508,32.715,70.801,42.969
1589185793.816,53.711,34.668,37.109,55.664,46.387
1589185793.820,21.484,47.363,34.668,14.648,41.992
1589185793.824,12.207,37.598,33.691,-0.977,67.871
1589185793.828,48.340,35.156,41.504,41.504,67.871
1589185793.832,58.105,39.062,34.668,65.918,46.875
1589185793.836,45.898,39.551,32.715,53.223,44.434
1589185793.840,20.020,36.133,33.203,15.137,11.719
1589185793.843,11.230,28.809,32.715,-3.906,5.859
1589185793.847,39.062,27.832,33.203,31.250,17.578
1589185793.851,52.734,32.227,27.344,68.848,48.828
1589185793.855,61.523,38.574,28.320,71.777,64.941
1589185793.859,38.086,40.527,30.762,23.438,-26.367
1589185793.863,18.066,36.133,26.855,0.488,-35.645
1589185793.867,46.875,42.969,28.320,34.180,-4.883
1589185793.871,64.941,51.270,29.785,66.895,-16.602
1589185793.875,58.105,45.898,26.855,69.824,-6.836
1589185793.879,25.391,41.016,33.691,31.738,25.391
1589185793.883,-0.488,32.715,40.039,-9.277,8.301
1589185793.886,24.902,34.668,29.297,12.695,1.465
1589185793.890,53.223,32.715,29.297,56.152,-6.836
1589185793.894,53.711,30.273,33.203,62.988,13.672
1589185793.898,27.832,37.109,29.297,31.738,-6.836
1589185793.902,-8.301,39.062,28.320,-8.789,-60.547
1589185793.906,6.348,37.598,30.762,8.301,-13.184
1589185793.910,47.852,32.715,31.738,59.082,13.672
1589185793.914,53.711,31.738,31.250,63.477,22.949
1589185793.918,21.973,38.574,35.645,25.391,19.531
1589185793.922,-10.742,32.715,32.227,-7.324,13.672
1589185793.925,10.742,20.508,20.508,8.789,48.340
1589185793.929,37.598,26.855,18.555,44.922,63.477
1589185793.933,45.898,29.297,22.461,61.035,63.477
1589185793.937,31.738,27.344,26.855,37.598,41.016
1589185793.941,-6.836,41.016,25.879,-12.695,46.875
1589185793.945,9.277,39.551,18.555,-1.953,61.035
1589185793.949,42.480,34.180,18.555,39.551,56.152
1589185793.953,45.410,32.227,22.949,60.059,50.293
1589185793.957,37.109,27.344,27.832,44.434,64.453
1589185793.961,4.883,27.832,20.020,-1.465,32.227
1589185793.965,9.277,31.738,23.438,5.371,-50.293
1589185793.968,43.457,31.250,26.855,50.781,-13.672
1589185793.972,54.199,29.785,22.949,63.965,52.734
1589185793.976,38.574,35.645,20.996,43.457,79.590
1589185793.980,3.418,38.574,16.602,3.906,47.363
1589185793.984,2.441,39.551,20.996,-7.812,-4.883
1589185793.988,25.879,39.062,29.785,31.738,25.879
