timestamps,TP9,AF7,AF8,TP10,Right AUX
1589186053.133,27.832,23.438,39.062,24.414,34.180
1589186053.136,16.113,25.391,37.598,16.602,23.926
1589186053.140,38.086,29.297,37.109,46.387,-5.859
1589186053.144,53.223,25.879,39.062,59.570,-40.527
1589186053.148,57.617,29.785,41.016,63.477,-20.508
1589186053.152,36.133,33.691,41.504,45.898,13.672
1589186053.156,1.465,36.621,45.410,20.020,36.621
1589186053.160,27.832,33.691,45.410,38.086,46.875
1589186053.164,55.176,26.367,40.527,58.594,44.922
1589186053.168,56.641,27.832,45.898,54.688,68.359
1589186053.172,41.504,30.762,49.316,36.621,76.660
1589186053.175,9.766,29.297,42.480,19.043,10.742
1589186053.179,35.156,28.809,40.527,33.203,-17.578
1589186053.183,67.383,26.855,37.598,51.758,5.371
1589186053.187,64.941,27.344,37.598,60.059,41.992
1589186053.191,36.133,30.273,39.062,46.387,58.594
1589186053.195,7.324,28.320,39.551,14.648,81.543
1589186053.199,28.809,30.273,38.086,25.879,54.199
1589186053.203,57.129,29.785,38.086,58.594,48.340
1589186053.207,55.664,31.250,38.086,60.059,55.176
1589186053.211,42.969,32.715,40.039,41.992,28.320
1589186053.215,10.742,26.855,38.574,25.879,42.480
1589186053.218,11.230,26.367,27.832,31.250,41.992
1589186053.222,49.805,27.832,24.414,40.039,48.340
1589186053.226,68.359,26.367,31.250,51.758,77.148
1589186053.230,62.500,28.320,33.691,49.316,41.016
1589186053.234,24.902,30.273,31.738,30.762,61.523
1589186053.238,35.156,30.762,34.668,38.574,40.527
1589186053.242,75.684,31.738,33.203,60.547,-3.906
1589186053.246,77.148,33.691,30.273,75.684,32.715
1589186053.250,70.801,38.086,36.621,65.430,28.320
1589186053.254,36.621,35.645,39.551,37.109,12.207
1589186053.258,23.438,32.715,31.250,21.484,11.719
1589186053.261,63.477,32.715,27.344,52.246,18.555
1589186053.265,79.590,25.879,29.297,81.055,2.441
1589186053.269,65.430,23.438,28.320,65.430,12.207
1589186053.273,34.668,30.273,32.227,27.344,46.387
1589186053.277,28.320,29.785,28.809,15.625,19.043
1589186053.281,54.688,32.227,24.414,40.527,15.137
1589186053.285,73.730,33.691,25.391,59.082,41.992
1589186053.289,69.824,29.297,22.949,47.363,26.855
1589186053.293,32.227,30.273,30.273,26.855,15.625
1589186053.297,13.184,35.645,26.367,7.812,30.762
1589186053.300,50.781,39.062,21.484,32.715,33.203
1589186053.304,73.242,37.109,24.414,70.801,43.457
1589186053.308,65.430,40.039,16.113,61.035,82.031
1589186053.312,36.621,37.109,18.066,21.973,40.039
1589186053.316,19.531,39.551,22.461,1.953,-5.859
1589186053.320,52.246,42.969,19.043,39.551,34.180
1589186053.324,75.684,41.016,23.926,69.336,97.656
1589186053.328,72.754,46.387,27.832,62.500,61.523
1589186053.332,52.734,53.223,30.273,44.434,-22.949
1589186053.336,25.391,48.828,26.367,18.555,13.672
1589186053.340,51.758,44.434,20.020,41.016,54.199
1589186053.343,80.566,45.410,20.508,75.195,1.953
1589186053.347,58.105,44.922,22.949,58.594,-22.949
1589186053.351,38.086,43.457,23.438,42.480,45.410
1589186053.355,27.344,47.363,24.414,16.602,39.551
1589186053.359,35.156,42.969,21.484,23.926,57.129
1589186053.363,49.805,36.621,16.602,53.711,59.570
1589186053.367,47.852,33.203,20.996,48.340,17.578
1589186053.371,32.227,30.762,26.855,36.621,26.367
1589186053.375,-1.465,29.785,22.949,7.812,-9.277
1589186053.379,22.949,30.273,17.578,27.832,-5.859
1589186053.383,61.523,31.738,15.625,65.918,44.434
