timestamps,TP9,AF7,AF8,TP10,Right AUX
1589195556.905,-19.043,41.016,40.039,24.414,69.824
1589195556.909,-49.316,41.992,38.574,28.320,78.613
1589195556.913,59.570,33.691,36.133,58.105,45.898
1589195556.917,112.793,22.949,41.992,79.102,47.363
1589195556.921,82.031,22.949,44.434,59.570,62.012
1589195556.925,-21.973,26.855,46.875,10.742,40.039
1589195556.929,-63.477,27.344,47.363,-5.859,32.715
1589195556.933,31.250,30.273,47.852,30.762,29.297
1589195556.937,84.961,34.668,49.316,60.547,22.461
1589195556.941,64.941,37.598,58.594,46.387,54.688
1589195556.944,-36.133,41.504,70.801,7.324,46.875
1589195556.948,-103.516,47.363,75.195,-29.785,71.289
1589195556.952,0.977,51.758,82.031,-8.301,72.754
1589195556.956,74.707,46.387,87.891,27.832,12.695
1589195556.960,41.992,47.852,94.238,7.324,48.340
1589195556.964,-69.824,53.223,96.680,-48.340,59.570
1589195556.968,-153.809,55.176,99.609,-68.359,0.000
1589195556.972,-70.312,55.664,101.074,-40.527,-15.137
1589195556.976,19.043,58.594,103.516,-16.602,-18.066
1589195556.980,15.625,62.988,109.375,-34.668,-17.578
1589195556.984,-77.637,62.500,109.375,-81.543,20.020
1589195556.987,-174.805,61.523,110.840,-117.676,72.266
1589195556.991,-102.539,66.895,109.375,-99.121,75.195
1589195556.995,4.883,65.430,114.746,-57.617,30.762
1589195556.999,1.953,60.547,119.141,-56.152,33.203
1589195557.003,-76.172,60.059,111.328,-96.191,48.340
1589195557.007,-156.738,55.664,107.422,-126.465,30.762
1589195557.011,-88.379,53.711,107.910,-95.703,41.504
1589195557.015,8.789,53.711,109.375,-53.223,83.984
1589195557.019,8.301,54.688,108.887,-42.969,35.645
1589195557.023,-58.105,54.199,109.863,-69.824,21.973
1589195557.027,-163.086,49.316,111.328,-121.094,4.883
1589195557.030,-134.766,43.457,116.699,-106.934,-41.504
1589195557.034,-29.297,43.457,119.141,-62.012,15.625
1589195557.038,-14.160,41.504,115.723,-64.941,61.035
1589195557.042,-69.824,43.457,113.770,-96.191,62.012
1589195557.046,-175.293,46.387,112.305,-132.812,59.082
1589195557.050,-159.180,46.387,109.863,-123.535,36.621
1589195557.054,-33.203,44.434,111.328,-75.684,13.672
1589195557.058,3.418,42.969,118.652,-53.711,49.805
1589195557.062,-35.156,43.945,120.117,-59.082,31.250
1589195557.066,-139.648,39.062,118.652,-97.656,-0.977
1589195557.069,-143.555,37.598,109.863,-105.957,68.359
1589195557.073,-24.902,36.133,98.145,-50.781,122.559
1589195557.077,12.695,35.156,98.145,-14.648,100.586
1589195557.081,-13.672,34.180,95.215,-34.668,63.965
1589195557.085,-105.469,34.668,86.914,-85.449,42.969
1589195557.089,-134.277,27.832,87.402,-81.543,-13.184
1589195557.093,-11.719,26.367,90.820,-31.738,64.453
1589195557.097,54.688,27.344,89.844,-1.465,82.031
1589195557.101,32.715,21.973,83.496,6.836,24.902
1589195557.105,-51.270,19.043,82.520,-20.508,54.688
