timestamps,TP9,AF7,AF8,TP10,Right AUX
1589195723.499,-60.547,39.062,-6.348,-31.250,-17.578
1589195723.503,-11.719,36.621,-1.465,-15.137,-23.438
1589195723.507,102.051,32.227,2.441,45.410,0.488
1589195723.511,135.254,27.344,8.789,62.500,16.113
1589195723.515,62.500,28.320,17.090,24.414,48.828
1589195723.519,-60.059,24.414,19.531,-21.973,97.656
1589195723.523,-27.832,20.996,19.043,-10.742,17.578
1589195723.526,92.285,23.926,19.043,47.363,-54.688
1589195723.530,129.395,22.949,21.484,70.801,-40.039
1589195723.534,65.918,22.949,22.461,47.852,14.648
1589195723.538,-58.105,25.879,22.949,-2.441,49.805
1589195723.542,-49.316,23.438,25.391,-8.789,18.066
1589195723.546,74.219,23.438,28.809,32.227,-26.855
1589195723.550,128.418,30.762,29.297,57.129,12.207
1589195723.554,80.566,34.180,25.391,36.621,20.996
1589195723.558,-36.133,28.809,24.414,-12.207,3.418
1589195723.562,-42.480,25.391,23.438,-38.086,1.465
1589195723.566,62.012,20.996,22.949,-7.324,17.578
1589195723.569,106.934,17.578,26.367,31.738,1.465
1589195723.573,80.566,17.090,31.738,17.578,1.465
1589195723.577,-26.367,19.531,38.086,-27.344,46.387
1589195723.581,-68.848,20.020,41.504,-35.645,30.762
1589195723.585,36.621,26.367,41.016,6.836,-31.250
1589195723.589,114.746,29.297,38.574,39.062,13.184
1589195723.593,93.262,31.738,35.156,32.227,56.152
1589195723.597,-23.926,38.574,37.109,-19.043,22.949
1589195723.601,-75.684,35.645,38.574,-40.527,12.695
1589195723.605,29.785,36.133,39.062,-3.906,17.578
1589195723.609,113.770,35.645,40.527,25.879,57.129
1589195723.612,97.656,26.367,38.574,17.578,69.336
1589195723.616,-10.742,26.855,35.156,-29.785,49.316
1589195723.620,-77.637,33.691,26.855,-65.918,25.391
1589195723.624,10.254,34.180,17.578,-43.945,71.289
1589195723.628,109.863,32.227,20.020,-7.324,41.504
1589195723.632,118.164,34.668,24.902,-15.137,26.367
1589195723.636,10.742,36.621,25.879,-73.730,41.992
1589195723.640,-83.008,31.738,23.926,-127.930,9.277
1589195723.644,-15.625,30.762,24.902,-104.004,-40.527
1589195723.648,82.031,29.785,31.250,-47.852,-36.133
1589195723.651,107.422,24.414,34.180,-30.762,-10.254
1589195723.655,24.902,28.809,34.180,-65.918,-35.645
1589195723.659,-87.402,35.156,35.156,-101.562,-19.531
1589195723.663,-35.645,31.738,34.668,-66.406,-11.719
1589195723.667,81.055,29.785,36.133,-11.719,12.207
1589195723.671,109.375,25.879,41.016,3.418,0.488
1589195723.675,36.133,24.902,45.898,-13.672,-19.043
1589195723.679,-68.359,26.855,47.363,-45.898,-29.785
1589195723.683,-28.809,30.762,43.457,-30.273,15.625
1589195723.687,90.332,28.809,41.504,22.461,42.969
1589195723.691,132.812,20.996,41.992,53.223,27.344
1589195723.694,66.406,22.949,43.945,29.785,20.996
1589195723.698,-45.898,29.297,42.969,-21.973,-0.488
1589195723.702,-25.391,28.809,41.992,-10.742,15.137
1589195723.706,83.008,29.297,47.852,46.875,17.090
1589195723.710,136.719,34.668,52.734,74.219,12.207
1589195723.714,90.820,33.203,50.781,54.688,48.828
1589195723.718,-31.738,25.391,50.781,15.625,27.832
1589195723.722,-38.086,27.832,51.270,9.277,-41.016
1589195723.726,75.684,31.250,52.246,62.012,38.574
1589195723.730,136.230,27.832,54.199,100.098,68.848
1589195723.734,100.098,30.273,51.758,90.820,57.129
1589195723.737,-6.836,35.645,51.270,49.316,96.191
1589195723.741,-31.738,32.715,52.734,33.203,92.285
1589195723.745,61.035,24.902,51.758,77.637,53.711
1589195723.749,131.348,27.832,45.898,115.234,28.809
1589195723.753,109.375,36.133,40.039,109.375,35.156
1589195723.757,-10.742,39.551,40.039,64.941,-43.457
1589195723.761,-55.176,40.527,38.574,41.016,-15.625
1589195723.765,40.039,29.785,34.668,73.730,80.078
1589195723.769,116.699,22.461,34.668,113.770,76.660
1589195723.773,118.164,29.785,37.598,118.652,83.984
1589195723.776,6.836,36.133,36.621,60.059,74.707
1589195723.780,-67.383,34.180,32.715,21.973,26.367
1589195723.784,29.297,36.133,32.227,60.547,41.016
1589195723.788,124.023,40.039,40.039,97.168,50.293
1589195723.792,127.441,39.062,43.945,104.980,67.871
1589195723.796,19.531,35.645,41.016,69.824,40.039
1589195723.800,-64.941,35.645,41.504,39.062,3.418
1589195723.804,12.695,35.156,40.527,48.828,14.160
1589195723.808,105.957,32.715,38.574,87.891,21.484
1589195723.812,131.836,34.668,33.691,108.398,14.160
1589195723.816,47.852,32.715,29.785,73.242,32.227
1589195723.819,-56.152,29.297,32.715,32.227,16.602
1589195723.823,-1.465,36.133,32.715,50.781,41.016
1589195723.827,106.934,41.016,30.273,98.633,91.309
1589195723.831,138.672,43.457,35.156,111.816,48.828
1589195723.835,64.453,48.828,37.109,75.195,59.082
1589195723.839,-50.293,48.340,34.180,20.996,87.402
1589195723.843,-10.254,44.922,34.180,32.227,17.578
1589195723.847,106.445,40.039,37.598,89.844,-12.207
1589195723.851,141.113,35.645,39.551,107.422,-3.418
1589195723.855,75.195,42.480,39.062,76.660,54.688
1589195723.859,-41.992,41.016,35.645,27.344,56.641
1589195723.862,-19.531,37.109,35.156,28.809,41.016
1589195723.866,95.703,39.551,33.691,76.660,63.965
1589195723.870,143.066,36.621,33.691,104.980,53.223
1589195723.874,98.633,35.156,37.109,90.332,96.191
1589195723.878,-27.832,34.668,34.180,36.621,43.457
1589195723.882,-36.133,35.156,29.785,24.414,-1.465
1589195723.886,72.754,37.598,27.832,67.383,-14.648
1589195723.890,124.512,32.227,23.926,89.355,-34.668
1589195723.894,88.379,24.902,25.879,75.195,-30.273
1589195723.898,-32.715,28.809,27.344,28.809,45.410
1589195723.901,-50.781,32.227,28.809,18.066,52.734
1589195723.905,71.777,28.320,34.668,60.059,0.977
1589195723.909,132.324,27.832,38.086,89.844,76.660
1589195723.913,98.145,28.320,38.086,79.590,84.961
1589195723.917,-14.648,28.320,33.203,29.785,10.254
1589195723.921,-57.617,29.297,28.320,5.859,-9.766
1589195723.925,43.945,30.762,30.762,48.828,16.113
1589195723.929,135.254,33.691,32.227,98.633,-4.883
1589195723.933,135.742,34.180,34.180,92.285,23.438
1589195723.937,13.672,39.551,39.551,39.062,44.922
1589195723.941,-68.359,39.551,34.180,4.395,5.371
1589195723.944,19.043,34.668,27.344,28.809,50.781
1589195723.948,110.840,32.715,23.926,73.730,62.500
1589195723.952,122.070,31.250,21.973,83.008,65.918
1589195723.956,23.438,31.250,21.973,38.574,90.820
1589195723.960,-60.547,35.156,20.996,1.953,41.504
1589195723.964,16.602,35.645,21.973,40.039,19.531
1589195723.968,111.328,29.297,24.902,85.449,68.359
1589195723.972,132.812,31.250,29.297,87.891,126.953
1589195723.976,38.574,35.645,31.250,43.457,95.215
1589195723.980,-65.918,35.156,28.809,0.977,-26.855
1589195723.984,7.324,42.480,27.832,28.809,-25.879
1589195723.987,115.234,42.480,27.832,81.543,35.645
