timestamps,TP9,AF7,AF8,TP10,Right AUX
1576934717.028,1.953,39.062,16.602,24.902,75.684
1576934717.032,41.016,37.598,17.578,9.277,52.246
1576934717.036,55.176,38.574,18.066,5.859,29.785
1576934717.040,31.250,37.598,20.508,19.531,8.301
1576934717.044,1.465,32.715,24.414,35.156,36.621
1576934717.047,3.418,30.762,23.438,33.691,1.953
1576934717.051,39.062,32.715,20.020,18.066,6.348
1576934717.055,60.059,34.180,17.090,10.254,6.836
1576934717.059,41.504,33.691,15.625,24.414,-54.199
1576934717.063,7.812,35.156,16.602,38.086,19.531
1576934717.067,6.836,39.551,19.043,34.180,90.820
1576934717.071,42.969,37.598,20.020,20.996,23.438
1576934717.075,69.336,33.691,20.508,14.160,-29.297
1576934717.079,55.664,31.738,23.438,29.297,-20.996
1576934717.083,20.020,32.715,23.926,49.805,0.977
1576934717.086,7.812,37.598,21.973,49.316,-18.555
1576934717.090,39.062,36.133,23.926,30.762,18.066
1576934717.094,71.289,32.227,24.902,22.461,41.992
1576934717.098,55.664,33.691,22.949,33.691,64.941
1576934717.102,19.043,33.691,23.926,43.945,82.031
1576934717.106,9.277,33.203,24.414,42.969,27.344
1576934717.110,36.133,35.156,28.809,29.297,50.781
1576934717.114,62.500,33.203,30.273,15.625,65.430
1576934717.118,56.641,32.715,27.344,23.926,41.016
1576934717.122,23.438,33.203,23.926,39.062,3.418
1576934717.126,4.883,34.668,22.461,41.016,-6.348
1576934717.129,32.227,35.645,25.391,27.832,-27.832
1576934717.133,66.895,33.691,28.809,20.020,27.344
1576934717.137,62.500,31.738,25.391,27.344,63.965
1576934717.141,29.297,34.668,20.508,41.992,22.461
1576934717.145,7.324,36.621,23.926,50.293,27.344
1576934717.149,24.902,36.621,24.414,39.062,57.129
1576934717.153,63.477,36.621,19.043,24.902,38.086
1576934717.157,71.289,35.645,20.508,30.273,14.160
1576934717.161,37.598,33.691,23.926,47.363,49.316
1576934717.165,9.277,34.180,21.973,52.246,56.641
1576934717.169,23.438,35.156,22.461,41.992,10.742
1576934717.172,62.988,35.645,23.926,29.785,-0.977
1576934717.176,73.242,32.715,24.414,31.738,41.016
1576934717.180,42.480,29.785,25.391,45.898,64.941
1576934717.184,13.184,29.785,21.973,53.711,22.949
1576934717.188,21.484,29.785,20.996,46.875,-38.086
1576934717.192,56.152,30.762,24.902,30.762,6.836
1576934717.196,64.453,28.320,24.414,28.320,39.551
1576934717.200,38.574,27.344,21.973,42.480,67.383
1576934717.204,10.254,29.297,24.414,50.781,114.746
1576934717.208,14.648,29.297,29.297,44.434,55.664
1576934717.211,50.293,32.227,25.391,26.855,24.902
1576934717.215,73.242,32.227,22.461,27.344,75.195
1576934717.219,50.293,29.785,21.973,44.434,71.289
1576934717.223,12.695,30.762,19.043,55.664,41.992
1576934717.227,9.766,33.203,23.438,53.223,32.227
1576934717.231,40.039,31.250,25.879,33.203,41.016
1576934717.235,64.941,28.320,26.367,24.902,11.230
1576934717.239,45.898,25.391,29.297,37.109,9.277
1576934717.243,10.742,25.879,31.738,49.316,39.551
1576934717.247,0.977,26.855,31.738,46.387,44.922
1576934717.251,28.809,26.367,29.297,27.344,20.996
1576934717.254,63.477,26.367,26.855,18.555,44.922
1576934717.258,55.176,28.809,26.367,30.273,91.797
1576934717.262,20.996,30.762,29.785,47.852,51.758
1576934717.266,7.812,30.273,31.250,48.340,30.273
1576934717.270,31.250,28.320,29.785,28.320,49.316
1576934717.274,59.570,27.344,30.273,13.184,-17.578
1576934717.278,55.664,28.320,31.250,20.508,20.020
1576934717.282,20.996,30.273,28.320,41.016,19.043
1576934717.286,1.953,27.344,28.320,43.457,20.020
1576934717.290,22.461,25.391,32.227,25.391,42.480
1576934717.294,59.082,28.320,30.273,13.672,11.719
1576934717.297,62.988,32.227,27.344,19.531,52.246
1576934717.301,27.832,32.715,27.832,37.109,54.688
1576934717.305,4.395,29.297,29.785,45.898,30.273
1576934717.309,23.926,28.809,33.203,30.762,-9.277
1576934717.313,62.012,29.785,31.738,18.066,-27.344
1576934717.317,70.801,31.250,29.297,25.391,2.441
1576934717.321,37.109,30.762,29.297,41.504,7.324
1576934717.325,6.348,29.297,29.785,48.340,-0.977
1576934717.329,25.391,30.273,31.250,41.992,-20.508
1576934717.333,64.453,32.227,28.809,27.832,-2.441
1576934717.336,73.242,33.691,28.809,27.832,36.133
1576934717.340,40.039,30.762,32.227,49.316,24.902
1576934717.344,9.277,27.344,32.227,58.594,41.016
1576934717.348,17.578,25.391,35.156,44.922,79.590
1576934717.352,53.711,25.879,33.203,29.297,82.520
1576934717.356,70.312,30.762,29.297,29.297,74.219
1576934717.360,41.504,30.762,30.273,43.945,77.637
1576934717.364,11.230,27.832,29.785,52.246,33.203
1576934717.368,18.066,27.344,27.344,43.457,28.809
1576934717.372,53.711,30.273,28.320,29.297,32.227
1576934717.376,76.172,29.785,30.762,27.344,52.734
1576934717.379,52.734,26.855,29.785,42.480,69.336
1576934717.383,19.531,28.320,27.832,54.199,2.441
1576934717.387,18.066,29.785,28.809,46.875,-15.625
1576934717.391,51.758,31.738,30.762,32.715,20.996
1576934717.395,76.660,33.203,31.250,26.855,60.059
1576934717.399,53.711,30.273,29.297,36.133,63.965
1576934717.403,15.625,29.297,28.320,51.270,57.129
1576934717.407,7.812,32.227,28.320,48.340,53.223
1576934717.411,36.621,32.227,30.273,29.297,54.688
1576934717.415,65.430,33.691,31.738,20.508,2.930
1576934717.419,54.199,35.156,29.297,29.785,-41.992
1576934717.422,17.578,32.227,27.832,43.457,38.086
1576934717.426,0.488,27.344,32.227,41.992,77.637
1576934717.430,28.320,26.367,30.273,26.367,53.711
1576934717.434,62.988,28.320,24.902,17.578,101.074
1576934717.438,55.176,29.297,24.414,26.367,57.617
1576934717.442,21.484,32.227,26.855,44.434,7.324
1576934717.446,9.766,33.203,33.203,48.828,33.203
1576934717.450,38.086,33.203,36.621,36.621,17.578
1576934717.454,76.660,33.203,33.203,28.320,26.855
1576934717.458,73.242,31.250,32.227,32.715,36.133
1576934717.461,36.133,30.762,36.621,51.758,13.184
1576934717.465,15.625,30.762,35.156,60.059,36.621
1576934717.469,32.715,32.227,32.227,39.062,40.039
1576934717.473,65.430,31.250,29.785,22.461,-3.906
1576934717.477,65.430,27.344,28.809,27.344,-14.648
1576934717.481,34.668,29.297,30.762,42.969,-35.645
1576934717.485,9.277,30.762,31.738,48.340,-28.320
1576934717.489,25.391,33.203,31.250,37.598,44.434
1576934717.493,66.895,33.203,31.738,26.367,54.199
1576934717.497,75.684,34.668,29.785,31.738,78.125
1576934717.501,43.945,37.598,26.855,48.340,22.949
1576934717.504,14.160,35.156,26.855,51.270,-5.371
1576934717.508,18.066,32.227,23.438,33.691,31.250
1576934717.512,49.316,32.715,23.438,15.137,40.527
1576934717.516,65.918,34.180,23.438,17.090,-19.043
1576934717.520,38.086,33.203,25.391,37.598,-28.320
1576934717.524,7.324,32.227,28.320,49.805,18.555
1576934717.528,14.160,32.227,29.297,41.992,12.207
1576934717.532,53.711,32.715,29.785,25.391,13.184
1576934717.536,74.219,33.691,26.367,22.461,21.973
1576934717.540,44.434,32.227,28.320,37.109,46.387
1576934717.544,11.230,28.809,28.320,47.852,80.078
1576934717.547,13.184,27.832,29.297,44.434,72.754
1576934717.551,46.875,29.785,28.320,26.855,30.273
1576934717.555,72.754,30.762,27.344,21.973,67.383
1576934717.559,55.176,28.320,29.785,35.156,72.754
1576934717.563,17.578,28.320,32.715,50.293,-20.996
1576934717.567,9.766,28.809,32.715,47.363,-36.133
1576934717.571,49.316,28.320,27.344,34.180,29.297
1576934717.575,79.590,29.785,28.809,26.367,26.367
