timestamps,TP9,AF7,AF8,TP10,Right AUX
1589136200.106,212.891,24.902,32.715,405.273,21.484
1589136200.110,84.473,35.156,38.086,100.098,75.195
1589136200.114,-106.934,41.016,41.504,-280.762,33.203
1589136200.117,-104.980,35.645,36.621,-233.887,-6.836
1589136200.121,85.938,25.879,28.809,172.363,30.273
1589136200.125,219.238,23.926,24.902,409.668,34.668
1589136200.129,115.234,34.668,32.227,149.902,45.410
1589136200.133,-83.984,41.016,43.457,-250.000,0.000
1589136200.137,-117.676,39.551,44.434,-270.020,9.277
1589136200.141,56.152,32.715,35.156,109.375,100.098
1589136200.145,208.008,26.367,28.320,401.367,136.230
1589136200.149,127.441,30.762,33.203,195.312,93.750
1589136200.153,-74.219,37.598,40.039,-225.098,18.066
1589136200.157,-130.371,38.574,38.574,-301.270,-26.367
1589136200.160,25.879,32.227,30.273,54.199,-1.465
1589136200.164,188.965,23.438,22.949,375.977,62.500
1589136200.168,138.184,26.855,28.809,229.492,61.523
1589136200.172,-66.406,36.621,37.109,-191.895,-11.230
1589136200.176,-155.273,38.574,39.062,-333.008,-39.062
1589136200.180,-7.324,29.785,32.227,-3.418,-12.207
1589136200.184,177.734,21.973,24.414,358.887,19.043
1589136200.188,155.273,25.391,26.367,269.531,72.266
1589136200.192,-41.016,33.203,37.598,-149.414,51.758
1589136200.196,-146.973,38.574,41.504,-341.309,-20.996
1589136200.200,-24.414,31.738,31.738,-52.734,5.371
1589136200.203,166.016,20.996,21.973,331.055,125.000
1589136200.207,180.664,23.438,29.297,306.641,121.582
1589136200.211,-4.395,35.156,39.551,-95.703,17.090
1589136200.215,-142.578,38.574,39.551,-343.262,-4.883
1589136200.219,-46.875,28.320,33.203,-102.051,-16.602
1589136200.223,153.320,19.531,26.855,307.129,2.930
1589136200.227,195.312,20.996,28.809,340.332,65.430
1589136200.231,20.508,31.738,36.621,-50.293,45.898
1589136200.235,-139.648,38.086,40.527,-342.773,27.832
1589136200.239,-74.707,32.227,36.621,-151.855,32.227
1589136200.242,125.977,24.902,30.273,267.090,34.180
1589136200.246,196.289,25.879,28.809,366.211,101.562
1589136200.250,37.109,33.203,35.156,9.277,97.656
1589136200.254,-134.277,41.016,41.504,-321.289,-6.836
1589136200.258,-99.121,34.668,36.133,-194.824,-23.438
1589136200.262,103.027,18.066,32.715,235.352,54.688
1589136200.266,224.609,14.160,34.668,417.969,84.961
1589136200.270,81.543,35.645,35.156,80.078,53.711
1589136200.274,-128.418,54.199,30.762,-317.383,-42.969
1589136200.278,-112.305,48.340,30.762,-244.141,-34.180
1589136200.282,79.590,36.621,25.391,164.551,15.137
1589136200.285,200.195,36.133,19.531,373.535,54.688
1589136200.289,83.008,47.363,27.832,94.238,45.898
1589136200.293,-116.211,57.617,26.367,-300.781,-3.906
1589136200.297,-126.465,57.617,16.602,-291.504,23.926
1589136200.301,43.945,43.945,11.719,92.285,18.555
1589136200.305,182.617,34.668,9.766,360.840,85.449
1589136200.309,102.051,40.527,18.555,145.996,124.023
1589136200.313,-90.332,49.316,31.250,-257.812,30.273
1589136200.317,-129.883,50.781,29.297,-311.035,-21.484
1589136200.321,40.527,41.992,21.484,64.941,-4.883
1589136200.325,202.637,36.133,19.043,369.141,23.926
1589136200.328,139.648,41.504,22.949,194.336,42.969
1589136200.332,-64.941,48.340,30.762,-214.355,33.691
1589136200.336,-139.648,47.363,30.273,-332.520,-15.625
1589136200.340,11.230,41.992,25.391,12.695,19.043
1589136200.344,189.453,36.133,20.020,363.770,93.262
1589136200.348,160.156,40.039,21.484,256.348,87.402
1589136200.352,-38.574,49.805,33.691,-160.645,58.594
1589136200.356,-138.672,47.852,38.086,-335.449,66.895
1589136200.360,-11.719,40.039,29.785,-32.227,79.590
1589136200.364,173.828,32.227,17.578,333.496,84.961
1589136200.367,175.293,31.250,18.066,290.527,78.613
1589136200.371,-11.719,41.504,32.715,-104.004,76.172
1589136200.375,-135.742,48.340,35.645,-338.867,24.902
1589136200.379,-26.855,41.992,28.320,-78.613,9.277
1589136200.383,171.875,34.668,24.414,325.195,79.102
1589136200.387,200.195,36.133,28.320,340.820,94.238
1589136200.391,22.461,44.434,36.133,-45.410,24.902
1589136200.395,-127.930,46.387,38.574,-323.730,-17.090
1589136200.399,-46.875,40.039,34.668,-115.234,62.500
1589136200.403,155.273,31.250,27.832,297.363,98.145
1589136200.407,212.891,31.250,27.344,374.512,76.172
1589136200.410,48.340,41.016,35.645,10.254,60.547
1589136200.414,-122.559,42.969,43.945,-314.453,-8.301
1589136200.418,-73.242,40.527,42.480,-169.922,-55.176
1589136200.422,125.488,32.227,33.203,243.652,-19.043
1589136200.426,208.984,23.926,27.344,385.742,86.914
1589136200.430,63.965,31.738,35.645,57.129,81.543
1589136200.434,-116.211,41.992,43.945,-301.758,-37.598
1589136200.438,-94.727,39.551,39.551,-213.867,-46.875
1589136200.442,95.703,29.785,28.320,196.777,70.801
1589136200.446,208.984,26.855,25.879,391.113,112.793
1589136200.450,88.379,33.203,37.598,104.492,13.184
1589136200.453,-106.445,41.992,46.875,-279.785,-14.160
1589136200.457,-117.188,41.504,40.527,-260.742,-8.301
1589136200.461,68.359,30.273,26.855,136.719,38.574
1589136200.465,207.031,24.414,23.926,393.555,126.465
1589136200.469,108.398,32.715,33.691,154.785,84.961
1589136200.473,-89.844,41.504,42.480,-254.395,5.859
1589136200.477,-127.441,42.480,42.480,-291.992,-38.086
1589136200.481,46.875,34.668,32.227,84.961,-17.578
1589136200.485,201.660,27.832,26.855,385.254,34.668
1589136200.489,127.930,34.180,33.691,203.125,40.527
1589136200.492,-74.219,41.504,38.574,-218.262,60.059
1589136200.496,-140.625,41.504,37.109,-312.012,39.062
1589136200.500,16.602,32.227,32.715,39.062,-10.254
1589136200.504,188.965,24.414,29.785,376.465,36.133
1589136200.508,145.020,25.879,34.180,254.883,96.191
1589136200.512,-45.410,26.367,47.363,-153.320,75.195
1589136200.516,-117.188,30.762,50.781,-293.945,-12.207
1589136200.520,13.184,38.574,32.715,10.254,8.789
1589136200.524,184.570,35.645,20.996,359.375,62.012
1589136200.528,178.223,36.621,25.879,294.434,56.641
1589136200.532,-7.324,47.363,33.203,-116.211,-7.812
1589136200.535,-126.953,51.758,35.645,-332.031,-24.414
1589136200.539,-11.719,44.922,26.855,-58.594,15.137
1589136200.543,189.453,36.133,17.578,337.402,60.547
1589136200.547,208.496,38.574,19.043,329.102,67.871
1589136200.551,28.809,52.734,25.391,-69.824,38.086
1589136200.555,-104.980,61.035,23.926,-330.078,80.566
1589136200.559,-15.625,54.688,15.625,-107.422,97.168
1589136200.563,183.105,44.434,9.277,307.129,96.191
1589136200.567,235.840,44.434,12.207,365.723,108.887
1589136200.571,67.383,55.664,22.461,-8.789,10.742
1589136200.575,-96.191,61.035,28.809,-312.988,-37.109
1589136200.578,-33.691,55.664,23.438,-148.926,-20.508
1589136200.582,170.410,46.875,12.695,270.020,-6.348
1589136200.586,247.070,47.852,11.230,390.137,65.430
1589136200.590,99.121,62.500,18.555,49.805,61.035
1589136200.594,-71.289,70.801,24.414,-289.551,-8.301
1589136200.598,-38.574,65.430,22.949,-184.570,4.883
1589136200.602,154.785,57.129,10.742,229.004,29.297
1589136200.606,258.301,56.152,6.348,402.344,62.988
1589136200.610,131.836,64.941,14.160,98.145,56.641
1589136200.614,-60.059,72.266,20.996,-272.949,-5.859
1589136200.617,-61.523,69.824,19.531,-226.074,10.742
1589136200.621,128.906,59.082,10.742,178.223,17.090
1589136200.625,257.812,54.688,1.465,409.180,22.949
1589136200.629,151.855,60.547,1.465,146.973,63.477
1589136200.633,-41.016,69.824,11.719,-254.883,74.707
1589136200.637,-68.848,70.801,11.719,-266.602,60.059
1589136200.641,102.051,63.477,3.906,118.164,41.504
1589136200.645,249.023,56.641,0.977,391.113,88.867
1589136200.649,166.504,62.988,8.789,181.641,77.637
1589136200.653,-39.062,71.289,19.531,-229.980,25.391
1589136200.657,-98.145,65.918,18.555,-304.199,18.066
1589136200.660,59.570,54.199,12.207,53.223,-10.742
1589136200.664,225.098,46.875,7.324,378.906,23.438
1589136200.668,173.340,49.805,11.719,232.910,63.477
1589136200.672,-28.809,57.617,20.996,-187.988,52.734
1589136200.676,-118.652,61.035,24.414,-325.195,22.949
1589136200.680,19.043,49.805,20.508,2.441,13.184
1589136200.684,200.195,38.574,14.160,364.258,88.867
1589136200.688,184.082,42.969,17.578,275.879,86.914
1589136200.692,-7.812,52.246,27.344,-141.113,41.504
1589136200.696,-120.117,53.223,31.250,-332.520,-3.418
1589136200.700,-2.441,43.457,26.367,-43.457,4.395
1589136200.703,184.570,34.180,19.531,338.867,65.430
1589136200.707,190.918,34.180,20.020,309.570,54.199
1589136200.711,3.418,42.480,28.320,-90.332,-23.438
1589136200.715,-131.836,46.875,33.203,-336.914,-23.926
1589136200.719,-36.133,41.992,26.855,-96.680,0.000
1589136200.723,162.109,34.668,15.137,308.105,18.066
1589136200.727,199.219,31.738,16.602,340.820,70.312
1589136200.731,24.902,38.086,25.879,-41.992,34.180
1589136200.735,-127.930,44.922,31.250,-338.379,-15.137
1589136200.739,-57.129,40.039,29.297,-152.344,-13.184
1589136200.742,143.066,30.762,20.996,269.531,1.465
1589136200.746,206.055,29.785,22.949,365.234,13.184
1589136200.750,48.340,38.086,32.715,12.695,1.465
1589136200.754,-120.117,48.340,33.691,-318.359,4.883
1589136200.758,-79.590,46.875,25.391,-190.430,-20.996
1589136200.762,118.164,34.180,19.531,232.910,9.766
1589136200.766,217.285,29.785,20.020,392.090,58.105
1589136200.770,81.543,38.086,31.250,74.219,57.129
1589136200.774,-105.957,45.410,40.527,-295.410,20.508
1589136200.778,-99.121,41.504,37.109,-225.098,-11.719
1589136200.782,88.867,32.715,29.297,187.500,-9.277
1589136200.785,205.078,27.344,23.926,396.973,41.992
1589136200.789,86.426,30.273,32.227,119.629,122.070
1589136200.793,-107.910,39.551,39.062,-280.762,41.504
1589136200.797,-124.512,41.016,36.133,-274.902,-22.949
1589136200.801,54.199,29.297,27.832,126.465,39.551
1589136200.805,199.219,20.508,22.949,393.066,129.395
1589136200.809,111.328,26.367,30.762,168.457,121.582
1589136200.813,-90.332,36.133,41.992,-242.676,50.293
1589136200.817,-132.324,40.527,41.016,-289.062,40.039
1589136200.821,38.574,33.203,32.227,84.473,30.762
1589136200.825,200.195,21.973,26.367,389.160,47.363
1589136200.828,137.695,26.367,33.203,219.727,64.941
1589136200.832,-63.477,40.039,44.434,-212.402,-8.789
1589136200.836,-133.789,41.504,42.480,-323.730,0.000
1589136200.840,12.695,27.832,31.738,27.344,42.969
1589136200.844,185.059,20.996,21.973,369.141,53.711
1589136200.848,151.855,26.855,27.344,254.883,35.156
1589136200.852,-43.945,35.645,38.086,-165.039,1.953
1589136200.856,-145.020,38.574,36.133,-334.961,2.930
1589136200.860,-14.648,32.227,28.320,-30.273,-0.488
1589136200.864,175.293,24.414,21.973,349.609,31.738
1589136200.867,172.852,27.832,26.367,300.781,102.539
1589136200.871,-17.090,38.574,37.109,-108.398,105.469
1589136200.875,-142.578,41.016,38.574,-333.496,3.906
1589136200.879,-38.574,34.180,32.715,-76.172,-19.531
1589136200.883,152.344,24.902,26.855,319.824,-14.160
1589136200.887,177.246,24.902,27.344,328.613,46.387
1589136200.891,1.465,34.180,36.621,-61.523,86.914
1589136200.895,-139.160,36.621,41.992,-330.078,-20.996
