timestamps,TP9,AF7,AF8,TP10,Right AUX
1589136709.918,7.812,15.137,66.895,25.879,70.312
1589136709.922,-145.020,18.066,41.504,-330.078,35.645
1589136709.926,-110.840,18.066,41.016,-256.348,-12.207
1589136709.930,57.617,9.277,64.453,147.949,-6.348
1589136709.934,153.320,11.719,77.637,350.098,46.387
1589136709.938,38.574,23.438,64.453,78.613,37.109
1589136709.942,-138.184,26.367,39.062,-305.176,-7.812
1589136709.946,-135.742,23.438,38.086,-287.598,12.695
1589136709.950,40.039,20.508,66.406,108.887,46.387
1589136709.953,161.133,18.555,81.055,361.328,64.941
1589136709.957,67.871,21.484,70.312,134.766,34.180
1589136709.961,-111.816,25.391,44.922,-265.625,-46.875
1589136709.965,-136.719,27.344,38.086,-306.152,-17.578
1589136709.969,31.250,26.367,60.547,70.801,31.738
1589136709.973,177.734,25.391,78.613,375.977,84.473
1589136709.977,103.516,26.855,68.359,198.242,93.262
1589136709.981,-83.008,25.879,45.898,-216.797,12.695
1589136709.985,-129.883,26.855,38.086,-315.918,-53.223
1589136709.989,18.066,21.484,58.594,29.785,-17.090
1589136709.992,178.711,19.531,82.031,366.211,60.059
1589136709.996,134.766,25.391,75.195,248.047,80.566
1589136710.000,-56.152,27.344,48.340,-166.016,-20.996
1589136710.004,-130.859,27.344,36.133,-326.660,-27.832
1589136710.008,5.371,25.879,53.711,-20.996,-12.695
1589136710.012,172.363,22.949,77.148,343.750,32.715
1589136710.016,147.461,21.973,73.730,286.133,95.215
1589136710.020,-30.762,25.879,52.246,-119.141,47.363
1589136710.024,-128.906,27.832,39.551,-332.520,17.578
1589136710.028,-22.461,25.391,50.293,-68.848,49.316
1589136710.032,152.832,22.461,72.754,319.336,124.023
1589136710.035,162.109,26.367,72.266,316.895,161.621
1589136710.039,-4.395,29.785,49.805,-75.195,91.309
1589136710.043,-126.465,30.762,32.715,-336.426,1.953
1589136710.047,-41.016,26.855,41.992,-117.676,-18.066
1589136710.051,145.508,25.391,69.336,288.086,45.410
1589136710.055,181.152,29.297,76.660,349.121,90.332
1589136710.059,23.438,31.738,55.176,-13.184,18.555
1589136710.063,-115.723,31.250,32.227,-322.754,-42.969
1589136710.067,-54.688,27.344,41.504,-160.645,-10.254
1589136710.071,127.441,28.320,68.359,251.953,18.066
1589136710.075,190.918,36.621,64.453,361.816,62.988
1589136710.078,68.359,51.270,30.762,35.645,41.504
1589136710.082,-61.035,48.828,24.414,-274.902,-37.598
1589136710.086,-45.898,26.367,55.664,-172.852,-32.715
1589136710.090,100.098,15.625,82.520,212.891,18.066
1589136710.094,185.059,19.531,89.844,381.836,26.855
1589136710.098,47.363,20.020,80.078,88.379,39.551
1589136710.102,-133.301,18.555,60.059,-278.320,3.418
1589136710.106,-123.535,16.602,62.500,-235.352,-3.906
1589136710.110,52.734,11.719,86.914,166.504,39.551
1589136710.114,158.203,10.742,105.469,401.855,62.988
1589136710.117,40.527,14.160,96.680,139.160,62.988
1589136710.121,-127.930,16.602,71.777,-250.000,-37.598
1589136710.125,-141.602,14.160,70.801,-257.812,-16.113
1589136710.129,20.508,8.789,91.797,117.676,44.434
1589136710.133,159.180,7.812,113.281,403.320,107.910
1589136710.137,70.801,8.789,105.469,199.707,131.836
1589136710.141,-107.422,13.672,78.613,-207.520,17.578
1589136710.145,-145.508,11.230,72.754,-283.203,28.809
1589136710.149,6.348,6.836,95.215,72.266,96.191
1589136710.153,158.691,7.812,119.141,402.832,104.980
1589136710.157,93.750,12.207,114.258,243.164,82.520
1589136710.160,-92.285,18.555,87.402,-172.852,16.602
1589136710.164,-161.133,15.137,76.172,-302.246,1.465
1589136710.168,-36.133,9.766,95.703,12.207,97.656
1589136710.172,125.000,8.301,118.164,362.793,57.617
1589136710.176,100.098,11.230,116.211,272.461,35.156
1589136710.180,-90.820,17.578,90.820,-151.855,16.113
1589136710.184,-185.547,23.438,76.172,-349.609,-38.574
1589136710.188,-68.848,20.508,94.238,-72.266,-1.953
1589136710.192,97.168,17.578,119.141,308.594,64.941
1589136710.196,88.379,20.508,116.699,280.762,70.801
1589136710.200,-88.379,20.996,89.844,-125.000,33.691
1589136710.203,-194.336,17.578,67.871,-363.281,27.832
1589136710.207,-83.984,14.648,78.125,-114.258,-12.695
1589136710.211,104.980,14.648,103.516,296.387,29.297
1589136710.215,129.395,17.090,104.980,328.125,99.609
1589136710.219,-31.738,18.555,76.660,-48.828,36.133
1589136710.223,-151.367,23.438,54.199,-330.078,-49.805
1589136710.227,-63.965,21.484,60.059,-137.207,-26.855
1589136710.231,119.629,14.648,83.496,286.133,38.574
1589136710.235,167.969,17.090,89.844,380.371,104.004
1589136710.239,20.508,23.438,69.336,32.715,85.449
1589136710.242,-122.070,23.438,47.363,-287.109,18.066
1589136710.246,-62.500,21.973,53.223,-148.926,4.883
1589136710.250,127.930,23.926,75.195,271.973,48.340
1589136710.254,205.078,24.414,83.496,419.434,92.773
1589136710.258,70.312,30.273,64.453,99.121,76.172
1589136710.262,-88.867,33.203,39.551,-257.812,33.203
1589136710.266,-55.664,29.785,44.434,-181.152,13.184
1589136710.270,126.953,27.344,67.383,227.051,43.945
1589136710.274,223.145,30.273,80.566,430.664,105.957
1589136710.278,100.098,32.715,63.477,150.391,75.195
1589136710.282,-68.848,31.250,34.180,-238.281,31.250
1589136710.285,-64.453,28.809,34.180,-220.703,36.133
1589136710.289,104.980,27.832,60.547,173.340,-50.293
1589136710.293,229.004,29.785,80.078,428.223,16.113
1589136710.297,128.418,27.344,66.406,197.266,83.008
1589136710.301,-57.129,26.855,41.504,-209.473,-4.395
1589136710.305,-79.102,29.785,36.133,-249.512,-41.992
1589136710.309,83.008,26.855,54.688,125.000,-11.230
1589136710.313,219.727,25.391,75.684,422.852,48.828
1589136710.317,147.461,30.273,67.383,241.699,32.227
1589136710.321,-38.086,32.227,42.969,-169.434,-22.461
1589136710.325,-93.750,29.297,37.109,-270.508,42.969
1589136710.328,51.270,28.320,55.664,67.383,38.086
1589136710.332,201.660,25.391,77.637,398.926,12.207
1589136710.336,152.832,26.367,71.777,271.973,29.785
1589136710.340,-28.809,29.785,48.828,-145.020,52.246
1589136710.344,-105.957,29.297,33.691,-301.270,3.906
1589136710.348,23.438,25.879,48.828,10.742,-32.715
1589136710.352,186.035,20.508,72.754,375.488,43.457
1589136710.356,162.598,20.508,72.266,312.012,40.527
1589136710.360,-14.648,25.879,49.805,-94.238,-20.508
1589136710.364,-116.699,24.902,32.715,-311.523,-21.484
1589136710.367,-10.254,20.996,44.922,-49.316,1.953
1589136710.371,162.598,20.508,67.871,341.309,13.672
1589136710.375,168.945,23.926,69.336,334.961,41.992
1589136710.379,-0.488,29.297,48.340,-56.641,34.668
1589136710.383,-123.535,29.785,32.715,-318.359,17.090
1589136710.387,-34.668,26.367,43.945,-104.492,-30.273
1589136710.391,145.508,23.438,69.336,299.316,-9.766
1589136710.395,179.199,23.438,76.172,356.934,43.945
1589136710.399,17.090,25.391,54.688,-9.766,29.297
1589136710.403,-122.559,27.832,33.691,-312.500,14.160
1589136710.407,-50.293,27.344,41.504,-144.531,-0.488
1589136710.410,135.254,24.414,65.918,268.066,23.926
1589136710.414,193.359,22.949,75.195,379.883,74.707
1589136710.418,43.457,25.879,57.617,43.457,140.625
1589136710.422,-115.234,24.902,34.668,-298.828,82.520
1589136710.426,-77.637,22.949,40.039,-190.918,-6.836
1589136710.430,104.492,20.508,66.406,223.145,49.805
1589136710.434,189.453,21.973,80.566,397.949,94.727
1589136710.438,58.594,29.297,65.430,93.750,68.359
1589136710.442,-109.863,34.180,41.992,-276.367,22.461
1589136710.446,-95.703,29.785,42.969,-225.098,17.090
1589136710.450,84.473,22.949,64.453,170.898,15.137
1589136710.453,197.266,25.879,75.684,400.391,59.570
1589136710.457,84.473,29.785,62.012,143.555,76.660
1589136710.461,-90.820,31.738,40.039,-258.301,36.133
1589136710.465,-96.680,31.738,34.180,-264.648,24.902
1589136710.469,66.406,27.832,54.688,120.605,58.105
1589136710.473,193.359,25.391,74.707,391.113,91.797
1589136710.477,107.422,28.320,66.895,182.129,74.219
1589136710.481,-80.078,31.738,43.945,-228.027,41.016
1589136710.485,-114.258,31.738,35.645,-300.781,-15.137
