timestamps,TP9,AF7,AF8,TP10,Right AUX
1585158537.851,10.254,28.320,37.598,36.621,68.359
1585158537.855,15.137,30.273,38.574,28.809,83.008
1585158537.859,29.297,34.668,43.457,12.207,36.621
1585158537.863,38.574,36.133,43.457,2.441,10.742
1585158537.867,33.691,30.273,33.203,20.508,-0.488
1585158537.870,23.926,22.949,24.414,45.410,47.852
1585158537.874,20.996,22.949,27.832,40.527,58.105
1585158537.878,26.855,27.832,32.715,21.973,11.230
1585158537.882,39.551,30.762,35.156,10.742,20.020
1585158537.886,39.062,30.273,31.738,18.555,58.594
1585158537.890,24.902,25.879,30.273,38.574,54.199
1585158537.894,19.043,25.879,36.133,40.039,23.926
1585158537.898,30.273,33.203,44.434,20.020,36.621
1585158537.902,46.875,39.062,48.828,10.254,58.105
1585158537.906,52.246,36.621,44.434,20.508,102.051
1585158537.909,38.086,25.391,40.527,35.645,44.922
1585158537.913,17.578,20.996,39.062,41.504,40.527
1585158537.917,18.066,26.367,43.457,31.738,73.730
1585158537.921,30.273,30.762,41.992,18.555,14.648
1585158537.925,36.133,27.832,30.273,22.949,-43.945
1585158537.929,27.832,22.949,21.973,45.898,-20.508
1585158537.933,17.090,20.508,18.555,49.805,12.695
1585158537.937,20.508,23.438,22.949,29.297,23.926
1585158537.941,32.715,24.902,32.227,16.113,13.184
1585158537.945,39.062,20.020,34.668,25.879,-4.883
1585158537.949,27.344,14.648,27.832,43.945,10.742
1585158537.952,14.648,12.695,26.367,50.293,23.926
1585158537.956,15.625,16.113,30.762,35.156,20.020
1585158537.960,35.156,18.555,34.180,18.555,9.766
1585158537.964,48.828,18.066,36.133,27.832,42.969
1585158537.968,37.109,16.602,33.691,51.270,48.340
1585158537.972,19.531,12.207,28.320,60.547,25.391
1585158537.976,18.555,12.695,33.203,40.039,3.906
1585158537.980,29.785,17.578,41.504,15.137,0.000
1585158537.984,35.156,15.137,41.992,20.996,12.695
1585158537.988,31.738,11.719,37.109,42.969,65.430
1585158537.992,20.996,15.137,35.156,53.711,118.164
1585158537.995,21.973,17.578,39.062,44.434,102.539
1585158537.999,41.504,23.438,44.922,30.762,45.898
1585158538.003,45.410,23.926,47.363,31.250,43.945
1585158538.007,43.945,20.020,42.969,45.898,38.574
1585158538.011,44.922,19.531,35.156,55.664,-41.504
1585158538.015,44.434,19.531,34.180,41.016,-47.363
1585158538.019,57.129,24.902,38.574,19.043,10.254
1585158538.023,65.430,26.855,42.480,15.137,29.297
1585158538.027,54.199,16.113,43.945,34.668,74.219
1585158538.031,35.645,12.695,44.922,55.664,63.477
1585158538.034,27.832,16.602,46.387,51.758,-29.785
1585158538.038,29.297,18.066,50.293,32.227,28.320
1585158538.042,34.180,21.973,49.316,21.973,62.988
1585158538.046,30.273,20.996,38.574,32.227,22.949
1585158538.050,18.066,15.137,34.180,49.805,50.781
1585158538.054,6.836,17.578,34.180,50.781,79.102
1585158538.058,7.812,23.926,38.086,33.691,51.270
1585158538.062,24.414,28.320,44.922,18.555,39.551
1585158538.066,25.879,25.879,43.457,30.762,68.359
1585158538.070,11.719,18.555,39.062,43.945,54.688
1585158538.074,11.230,23.438,36.133,37.598,13.184
1585158538.077,22.949,31.250,38.086,26.367,-31.250
1585158538.081,35.156,33.691,43.457,17.090,26.855
1585158538.085,38.574,31.738,40.039,30.762,70.801
1585158538.089,29.785,27.832,32.715,48.828,6.348
1585158538.093,19.531,27.344,31.738,48.340,4.883
1585158538.097,25.879,31.738,38.086,34.180,47.852
1585158538.101,42.480,38.086,44.922,20.508,4.883
1585158538.105,50.293,39.551,44.922,29.785,0.977
1585158538.109,35.645,34.668,39.551,42.969,63.965
1585158538.113,15.137,31.250,32.227,47.363,77.148
1585158538.117,18.066,35.645,32.715,38.086,65.918
1585158538.120,30.273,39.551,37.109,23.438,41.016
1585158538.124,41.016,39.551,38.574,32.227,64.941
1585158538.128,38.574,34.668,36.621,47.363,48.828
1585158538.132,16.602,30.273,34.180,51.270,26.855
1585158538.136,13.184,32.227,38.574,42.969,58.105
1585158538.140,26.855,35.156,47.363,31.738,24.902
1585158538.144,30.273,34.180,44.434,31.250,35.645
1585158538.148,24.414,31.738,35.156,46.875,16.602
1585158538.152,17.090,31.250,32.227,53.223,35.645
1585158538.156,19.531,32.715,37.109,40.527,60.059
1585158538.159,29.785,38.086,43.457,27.832,-6.836
1585158538.163,40.527,41.504,46.387,26.855,-23.926
1585158538.167,39.062,39.551,41.504,40.039,51.270
1585158538.171,30.762,38.086,33.691,55.664,95.703
1585158538.175,28.809,39.062,33.691,47.852,29.785
1585158538.179,39.062,45.898,39.062,28.320,60.547
1585158538.183,49.316,51.270,43.457,21.973,71.777
