timestamps,TP9,AF7,AF8,TP10,Right AUX
1581425729.715,16.113,42.969,38.574,23.926,45.410
1581425729.719,3.906,40.527,40.039,16.113,73.242
1581425729.723,5.859,41.504,38.574,18.555,71.777
1581425729.727,40.039,44.922,40.527,30.762,44.922
1581425729.731,39.062,49.316,35.156,30.762,19.531
1581425729.735,18.066,53.223,28.809,15.137,21.484
1581425729.739,18.066,52.246,30.762,16.602,51.270
1581425729.743,20.508,49.805,35.156,33.691,80.078
1581425729.747,30.273,45.410,39.551,26.367,75.684
1581425729.751,25.391,43.457,36.133,9.277,41.016
1581425729.754,16.602,45.898,30.762,19.043,49.805
1581425729.758,8.301,42.969,37.598,10.742,6.348
1581425729.762,33.203,41.016,40.039,21.973,-7.812
1581425729.766,32.227,42.480,37.598,31.250,9.277
1581425729.770,3.418,40.039,38.574,23.438,-11.719
1581425729.774,0.977,41.016,34.668,27.344,51.270
1581425729.778,5.859,46.387,32.227,3.906,47.363
1581425729.782,7.324,47.852,38.086,9.766,0.977
1581425729.786,23.438,50.293,41.504,40.039,65.918
1581425729.790,28.320,49.805,33.203,24.414,25.879
1581425729.793,22.949,44.922,34.180,20.508,-38.574
1581425729.797,31.250,44.434,39.551,36.621,-6.348
1581425729.801,-5.371,46.875,34.668,15.137,37.109
1581425729.805,1.465,47.363,33.691,-20.020,28.320
1581425729.809,47.852,48.828,33.691,-4.883,-25.391
1581425729.813,32.227,50.293,29.785,19.043,-11.230
1581425729.817,20.508,45.898,33.691,22.949,35.645
1581425729.821,12.207,41.992,39.062,30.273,-30.762
1581425729.825,-15.625,41.992,41.016,21.973,-54.199
1581425729.829,2.930,42.969,34.180,10.742,-8.301
1581425729.833,12.695,40.039,30.762,25.391,0.488
1581425729.836,15.137,37.109,41.504,32.227,33.203
1581425729.840,32.715,41.992,37.109,0.977,62.012
1581425729.844,33.203,46.387,25.879,-7.812,30.762
1581425729.848,1.953,43.457,30.762,32.227,-17.578
1581425729.852,29.785,40.039,32.227,24.902,-1.465
1581425729.856,45.410,42.480,32.227,7.324,31.250
1581425729.860,-20.020,39.062,33.691,1.465,88.379
1581425729.864,-28.809,36.621,29.297,-0.977,60.059
1581425729.868,3.418,37.109,29.297,36.621,48.340
1581425729.872,11.719,36.621,32.227,23.926,76.172
