timestamps,TP9,AF7,AF8,TP10,Right AUX
1581426008.293,30.273,27.832,26.367,35.156,29.785
1581426008.297,43.457,32.715,25.391,34.180,5.859
1581426008.301,25.879,34.668,26.367,26.367,2.441
1581426008.305,23.438,36.133,29.785,22.949,13.672
1581426008.309,28.809,39.551,27.832,48.340,39.551
1581426008.313,9.277,35.645,30.762,66.406,61.035
1581426008.317,20.996,35.156,30.273,17.090,89.844
1581426008.321,39.062,36.133,29.297,1.465,81.543
1581426008.325,1.953,33.691,30.273,20.996,64.941
1581426008.329,-6.348,30.762,32.715,21.973,39.062
1581426008.333,22.949,32.715,34.668,25.879,27.832
1581426008.336,25.879,37.109,32.227,30.273,59.570
1581426008.340,16.113,35.156,34.668,52.246,35.156
1581426008.344,7.812,36.621,37.598,30.762,21.973
1581426008.348,18.066,39.551,39.062,8.301,67.871
1581426008.352,21.484,41.016,38.574,30.762,57.617
1581426008.356,8.789,39.551,37.109,13.184,14.160
1581426008.360,9.277,39.062,34.180,5.371,-16.602
1581426008.364,7.812,40.527,32.715,15.137,11.230
1581426008.368,18.066,38.574,33.203,28.320,26.367
1581426008.372,43.945,37.109,33.691,56.152,58.594
1581426008.376,36.621,35.645,33.203,34.180,81.055
1581426008.379,28.809,34.668,27.832,19.043,9.766
1581426008.383,20.996,38.574,22.461,36.133,24.902
1581426008.387,13.184,41.504,24.414,31.250,42.969
1581426008.391,27.344,41.992,25.391,32.715,15.137
1581426008.395,14.160,38.574,25.879,17.090,46.387
1581426008.399,9.277,35.156,28.809,7.812,5.371
1581426008.403,22.461,37.598,30.273,10.254,-6.348
1581426008.407,24.902,42.480,26.855,20.020,47.363
1581426008.411,25.391,42.480,26.367,25.879,38.086
1581426008.415,21.484,40.039,29.297,11.230,65.430
1581426008.418,19.043,34.668,35.645,39.551,59.082
1581426008.422,19.531,33.203,39.062,45.410,32.227
1581426008.426,11.230,35.156,35.645,-9.277,47.363
1581426008.430,-4.883,35.645,29.785,-8.301,56.152
1581426008.434,-4.883,39.062,28.320,11.719,45.898
1581426008.438,14.648,41.504,27.832,15.137,20.508
1581426008.442,26.367,39.062,28.320,32.715,31.250
1581426008.446,12.207,39.551,28.320,32.715,53.711
1581426008.450,5.371,38.574,29.785,21.484,56.641
1581426008.454,3.906,37.109,31.250,26.855,51.758
1581426008.458,7.324,37.598,28.809,16.602,-25.391
1581426008.461,18.066,33.691,25.879,28.809,-9.766
1581426008.465,12.695,34.180,20.508,22.461,52.734
1581426008.469,18.555,38.574,22.949,6.836,24.902
1581426008.473,21.973,38.574,31.250,20.508,-8.301
1581426008.477,18.555,39.062,34.668,21.973,1.465
1581426008.481,18.066,39.062,31.250,20.996,54.688
1581426008.485,7.324,32.715,28.809,17.578,41.504
1581426008.489,5.859,34.668,27.832,32.227,2.930
1581426008.493,14.160,36.133,29.785,70.801,20.020
1581426008.497,11.230,29.297,34.668,40.527,25.391
1581426008.501,21.484,31.250,33.691,0.000,17.090
1581426008.504,35.645,35.645,29.785,19.043,18.555
1581426008.508,11.230,36.621,29.297,32.227,8.789
1581426008.512,-6.836,35.156,28.809,23.438,24.902
1581426008.516,11.230,33.203,31.738,15.137,94.727
1581426008.520,19.043,35.645,35.645,20.996,35.156
1581426008.524,8.789,39.551,33.691,13.672,-7.812
1581426008.528,20.508,38.086,32.715,8.789,45.898
1581426008.532,31.250,35.645,33.203,34.180,-10.742
1581426008.536,24.902,35.156,38.086,44.434,13.672
1581426008.540,32.227,37.598,36.621,6.348,54.199
1581426008.543,26.855,38.574,33.203,-1.465,21.484
1581426008.547,9.277,36.133,33.691,14.160,-22.461
1581426008.551,13.672,37.109,28.320,25.391,-44.922
1581426008.555,21.484,37.598,27.344,37.598,57.617
1581426008.559,23.438,35.156,37.598,38.574,84.473
1581426008.563,35.156,37.109,41.992,42.480,47.363
1581426008.567,23.926,41.504,39.551,45.898,57.617
1581426008.571,23.438,40.527,37.598,27.344,-9.277
1581426008.575,45.898,37.598,39.062,38.574,-93.262
1581426008.579,45.898,37.109,37.109,43.457,8.789
1581426008.583,21.973,40.527,36.133,18.066,31.738
1581426008.586,-0.977,37.598,36.621,16.113,15.625
1581426008.590,13.672,37.109,33.691,9.766,28.320
1581426008.594,34.180,40.039,33.203,14.160,15.625
1581426008.598,28.320,40.039,33.203,20.508,27.832
1581426008.602,16.113,40.527,32.227,17.090,12.695
1581426008.606,12.207,38.086,30.762,20.020,14.648
1581426008.610,32.227,40.039,25.391,26.367,44.434
1581426008.614,36.621,39.551,22.949,30.762,66.895
1581426008.618,14.160,37.598,24.902,20.020,62.012
1581426008.622,22.461,37.598,31.738,-2.441,42.969
1581426008.626,21.973,37.109,35.645,3.906,51.270
1581426008.629,13.184,37.109,34.180,43.945,58.594
1581426008.633,16.113,37.109,31.738,22.461,38.086
1581426008.637,23.926,36.621,30.273,-0.977,62.988
1581426008.641,24.414,36.621,33.203,34.668,70.801
1581426008.645,11.719,37.598,34.180,26.855,21.973
1581426008.649,20.020,36.133,27.832,13.672,-5.371
1581426008.653,29.785,33.691,31.250,27.344,36.621
1581426008.657,23.438,34.668,29.297,28.320,44.434
1581426008.661,11.719,36.133,20.996,40.039,14.160
1581426008.665,8.789,34.668,26.855,40.527,34.668
1581426008.668,20.020,32.227,34.180,5.859,39.062
1581426008.672,21.973,32.227,28.809,-2.441,4.395
1581426008.676,25.879,32.227,26.367,13.184,8.301
1581426008.680,24.902,30.762,34.668,15.625,-20.508
1581426008.684,0.977,30.273,33.203,14.160,9.766
1581426008.688,6.836,34.668,30.273,17.578,64.941
1581426008.692,14.648,33.203,31.738,20.996,60.547
1581426008.696,14.648,29.785,32.715,25.391,68.848
1581426008.700,22.949,33.203,34.668,27.344,-5.859
1581426008.704,14.648,33.203,34.668,29.297,-12.695
