timestamps,TP9,AF7,AF8,TP10,Right AUX
1585158609.898,-27.832,28.809,18.066,25.879,38.574
1585158609.902,-33.203,24.414,14.648,34.180,48.828
1585158609.906,-33.691,27.832,16.602,23.438,73.730
1585158609.910,-21.973,37.109,22.949,11.719,19.043
1585158609.913,-11.719,41.016,21.973,12.207,19.043
1585158609.917,-8.789,34.668,20.996,24.902,17.090
1585158609.921,-23.926,30.273,20.996,32.227,18.066
1585158609.925,-31.738,34.668,25.391,25.879,22.949
1585158609.929,-13.672,40.527,31.250,17.090,48.340
1585158609.933,-3.418,45.410,31.250,18.555,46.875
1585158609.937,-14.160,41.504,26.367,27.344,19.531
1585158609.941,-23.438,35.156,19.531,32.227,38.086
1585158609.945,-23.926,36.621,19.531,24.902,61.035
1585158609.949,-19.043,41.992,23.438,7.812,50.781
1585158609.952,-10.254,43.457,23.926,4.395,-3.418
1585158609.956,-15.137,41.016,19.531,14.160,35.156
1585158609.960,-27.832,35.156,11.230,26.855,29.785
1585158609.964,-31.250,30.762,8.789,22.461,4.883
1585158609.968,-22.461,32.715,16.602,10.254,0.488
1585158609.972,-8.789,36.133,17.578,10.254,-24.902
1585158609.976,-7.812,35.156,10.742,20.508,-0.488
1585158609.980,-21.484,31.250,7.324,37.598,57.617
1585158609.984,-25.879,31.250,7.324,34.180,27.344
1585158609.988,-16.113,34.180,7.812,18.555,-3.906
1585158609.992,-3.906,33.691,10.742,16.113,-2.441
1585158609.995,-8.301,32.715,9.277,24.902,29.785
1585158609.999,-19.531,32.227,4.395,33.203,39.551
1585158610.003,-22.461,30.273,3.906,31.250,72.266
1585158610.007,-18.066,30.273,7.324,23.926,48.340
1585158610.011,-3.418,33.203,11.719,19.043,-33.203
1585158610.015,5.371,37.109,10.254,23.438,-21.973
1585158610.019,-7.324,34.180,3.418,27.344,48.828
1585158610.023,-20.508,29.785,-1.953,20.996,39.551
1585158610.027,-20.996,33.691,-0.977,14.648,6.348
1585158610.031,-11.719,39.062,3.418,12.695,35.645
1585158610.035,-6.348,35.645,10.254,21.484,79.590
1585158610.038,-11.719,27.832,9.277,33.203,76.660
1585158610.042,-15.137,29.297,2.930,31.738,0.977
1585158610.046,-14.160,35.156,6.348,19.043,4.883
1585158610.050,-4.395,37.109,12.695,3.906,41.016
1585158610.054,5.371,38.574,11.230,5.371,41.992
1585158610.058,3.418,35.645,4.395,21.973,18.555
1585158610.062,-10.254,29.297,1.465,30.762,1.465
1585158610.066,-21.484,31.738,6.348,26.367,-4.395
1585158610.070,-9.766,40.039,14.648,15.625,23.926
1585158610.074,3.418,42.969,14.648,18.555,64.941
1585158610.077,1.465,38.086,8.301,32.715,72.266
1585158610.081,-8.789,29.785,2.441,37.598,-5.371
1585158610.085,-16.113,31.738,2.930,27.344,-71.777
1585158610.089,-5.371,38.086,7.324,12.207,27.832
1585158610.093,9.277,39.551,9.766,15.625,84.473
1585158610.097,2.441,33.691,6.836,26.367,73.730
1585158610.101,-13.672,25.879,1.465,34.180,73.730
1585158610.105,-11.230,24.414,1.953,34.668,50.293
1585158610.109,0.977,30.762,10.742,23.438,17.578
1585158610.113,10.742,35.156,13.184,17.090,69.336
1585158610.117,13.672,33.203,9.277,25.391,110.840
1585158610.120,9.277,27.832,5.859,39.551,52.246
1585158610.124,6.348,24.902,5.859,38.086,21.484
1585158610.128,15.137,28.809,12.695,27.344,69.824
1585158610.132,22.949,35.645,16.113,18.555,77.637
1585158610.136,15.137,36.133,14.648,23.926,56.641
1585158610.140,11.230,31.738,10.254,38.574,18.066
1585158610.144,11.230,27.832,5.859,37.109,-9.766
1585158610.148,17.578,30.762,10.742,16.602,24.414
1585158610.152,38.574,34.668,14.160,3.906,39.551
1585158610.156,42.969,31.738,12.695,15.137,11.230
1585158610.160,25.879,26.367,9.766,31.250,-16.113
1585158610.163,13.184,27.344,10.254,31.738,-12.207
1585158610.167,15.137,33.203,13.184,20.508,10.254
1585158610.171,20.020,35.156,18.066,12.695,49.805
1585158610.175,15.137,30.762,17.578,17.578,90.332
1585158610.179,1.953,28.320,10.742,30.762,107.910
1585158610.183,-1.953,28.320,9.766,34.668,33.691
1585158610.187,-1.465,30.273,14.160,22.461,21.973
1585158610.191,7.812,31.738,20.508,15.137,35.156
1585158610.195,12.207,32.715,22.461,22.949,-8.789
1585158610.199,-0.488,29.297,16.602,33.691,6.348
1585158610.202,-8.789,24.902,12.695,38.086,22.461
1585158610.206,-13.672,29.785,18.066,26.367,46.875
1585158610.210,-11.719,33.203,21.973,11.719,65.918
1585158610.214,-8.789,30.762,20.508,14.648,99.609
1585158610.218,-14.648,26.855,17.090,32.715,48.828
1585158610.222,-17.578,25.879,14.160,36.621,14.648
1585158610.226,-20.508,28.809,17.578,21.973,61.035
1585158610.230,-16.113,32.227,22.461,13.672,66.406
1585158610.234,-2.930,32.227,20.508,13.672,49.316
1585158610.238,-6.348,29.297,14.160,20.508,12.207
1585158610.242,-14.648,25.879,10.254,28.809,36.133
1585158610.245,-13.184,26.367,9.766,16.602,34.180
1585158610.249,-4.395,35.156,14.648,0.977,-1.953
1585158610.253,4.395,40.527,19.531,7.324,-10.254
1585158610.257,-3.906,36.133,15.625,23.926,-19.531
1585158610.261,-15.137,26.367,10.254,36.133,-46.875
1585158610.265,-14.648,26.367,13.672,26.855,-47.363
1585158610.269,-6.836,34.668,22.461,13.184,0.000
1585158610.273,7.324,37.109,24.414,15.625,40.527
1585158610.277,4.883,31.738,20.508,25.391,39.551
1585158610.281,-11.719,25.391,14.648,32.715,64.453
1585158610.285,-16.602,25.879,9.766,28.320,76.660
1585158610.288,-1.465,28.320,12.695,18.066,12.695
1585158610.292,15.137,33.203,17.090,12.695,15.625
1585158610.296,13.672,30.762,14.160,19.043,44.922
1585158610.300,3.906,26.855,8.301,31.250,28.809
1585158610.304,-5.859,24.902,8.301,28.809,66.895
1585158610.308,0.977,29.297,13.672,19.531,99.121
1585158610.312,18.066,37.109,20.996,18.066,62.988
1585158610.316,16.602,35.645,21.973,28.809,0.000
1585158610.320,3.418,31.250,18.066,40.039,19.531
1585158610.324,-3.906,30.273,16.113,34.180,75.684
1585158610.327,1.953,34.180,18.555,20.996,103.516
1585158610.331,13.184,37.598,24.414,13.672,83.008
1585158610.335,16.602,33.691,23.438,19.043,41.992
1585158610.339,6.836,29.297,15.625,33.203,27.344
1585158610.343,0.000,29.785,12.207,32.227,34.180
1585158610.347,4.395,33.203,18.066,17.578,56.641
1585158610.351,12.207,38.086,23.926,5.859,47.852
1585158610.355,22.949,40.527,23.926,16.602,-6.836
1585158610.359,24.902,36.621,20.508,28.320,-17.090
1585158610.363,18.066,34.180,18.555,31.250,22.949
1585158610.367,21.973,37.598,18.555,27.832,41.992
1585158610.370,38.086,45.898,19.531,17.090,76.172
1585158610.374,46.875,48.340,19.531,23.926,64.941
1585158610.378,33.203,42.480,13.184,38.086,-13.184
1585158610.382,16.602,41.504,11.230,41.016,-11.230
1585158610.386,25.879,44.922,19.043,32.715,31.250
1585158610.390,41.504,49.316,25.879,18.555,111.328
1585158610.394,42.480,49.316,28.809,14.648,104.980
1585158610.398,40.039,40.527,25.391,25.391,14.648
1585158610.402,29.785,37.598,18.555,35.156,-29.785
1585158610.406,27.344,41.016,22.461,31.738,-33.691
1585158610.410,47.363,46.875,29.785,19.531,-34.180
1585158610.413,62.012,53.223,30.273,19.531,11.230
1585158610.417,54.199,45.898,22.949,27.344,31.250
1585158610.421,45.410,38.574,19.043,31.738,20.996
1585158610.425,48.340,39.551,21.973,30.762,59.570
1585158610.429,55.176,40.527,25.879,20.020,96.191
1585158610.433,57.617,41.504,29.785,17.090,74.707
1585158610.437,47.363,38.574,29.297,30.273,62.500
1585158610.441,33.203,34.180,24.902,41.992,107.422
1585158610.445,29.785,39.062,21.484,38.086,87.402
1585158610.449,37.598,43.457,27.344,25.391,51.270
1585158610.452,62.500,45.410,30.762,16.602,41.016
1585158610.456,75.684,43.945,23.438,25.879,34.180
1585158610.460,69.336,40.039,20.508,40.039,29.297
1585158610.464,69.824,38.086,23.438,42.480,48.828
1585158610.468,77.148,39.062,26.855,34.668,56.641
1585158610.472,86.914,44.922,29.785,25.879,60.547
1585158610.476,86.426,42.969,25.879,35.156,36.621
1585158610.480,69.336,34.180,18.066,44.922,6.348
1585158610.484,58.594,32.227,17.578,42.480,8.301
1585158610.488,68.359,40.039,22.949,26.855,13.184
1585158610.492,82.031,45.410,26.855,13.672,-46.875
1585158610.495,77.637,44.434,21.484,21.484,-28.809
1585158610.499,69.336,41.016,16.602,35.645,36.621
1585158610.503,66.406,41.504,15.137,37.598,-9.766
1585158610.507,72.754,47.363,18.555,23.438,34.180
1585158610.511,83.496,49.805,24.902,15.625,1.953
1585158610.515,86.426,49.316,23.926,22.461,-27.832
1585158610.519,79.590,44.434,15.625,34.668,37.598
1585158610.523,67.383,38.574,13.672,39.062,39.062
1585158610.527,74.707,39.551,15.137,24.902,62.500
1585158610.531,90.820,48.828,18.555,15.137,70.801
1585158610.535,93.262,52.734,21.973,25.879,12.207
1585158610.538,81.055,49.316,19.043,40.039,20.996
1585158610.542,60.059,47.363,16.113,45.410,75.195
1585158610.546,56.641,48.828,21.973,34.668,49.316
1585158610.550,67.383,53.711,28.320,16.113,7.324
1585158610.554,64.941,52.246,29.297,21.484,44.922
1585158610.558,48.340,45.410,22.949,35.156,21.484
1585158610.562,27.832,42.480,18.066,39.062,0.977
1585158610.566,25.879,45.410,22.949,31.250,43.945
1585158610.570,40.527,51.270,29.297,19.531,52.246
1585158610.574,51.270,53.223,31.250,25.391,14.648
1585158610.577,45.898,46.875,25.391,39.551,44.434
1585158610.581,39.062,42.969,22.949,46.875,94.727
1585158610.585,36.621,45.410,28.320,35.645,113.770
1585158610.589,43.457,49.316,33.691,21.973,84.961
1585158610.593,53.223,50.293,38.086,24.902,84.961
1585158610.597,43.457,48.340,39.062,36.621,76.172
1585158610.601,28.809,43.457,35.156,46.387,19.043
1585158610.605,19.531,41.504,32.227,40.527,-36.133
1585158610.609,19.531,46.875,39.062,27.832,-30.762
1585158610.613,29.785,52.246,43.945,25.879,-5.859
1585158610.617,28.809,51.270,41.016,35.645,-27.344
1585158610.620,12.695,46.875,35.645,42.969,8.789
1585158610.624,10.254,46.875,34.668,36.621,68.848
1585158610.628,24.902,56.641,42.480,25.391,58.594
1585158610.632,38.574,62.988,45.898,24.414,29.785
