timestamps,TP9,AF7,AF8,TP10,Right AUX
1585158143.632,28.809,10.742,18.555,39.551,25.879
1585158143.636,33.203,12.207,11.719,39.062,19.043
1585158143.640,23.926,13.184,7.324,20.020,46.387
1585158143.644,12.695,13.184,15.625,2.441,43.457
1585158143.648,15.137,14.648,21.973,12.207,41.504
1585158143.652,32.227,16.602,17.090,33.691,29.297
1585158143.656,42.480,16.113,13.184,41.016,12.207
1585158143.660,38.086,14.648,13.184,29.785,59.082
1585158143.663,30.762,16.113,16.113,13.672,102.051
1585158143.667,25.879,18.555,10.254,18.066,68.848
1585158143.671,31.250,20.508,9.277,37.598,49.316
1585158143.675,43.457,19.531,16.602,46.387,45.410
1585158143.679,42.969,17.578,13.184,32.715,37.598
1585158143.683,28.320,19.043,9.277,13.184,46.387
1585158143.687,21.973,20.996,12.207,15.625,85.938
1585158143.691,35.156,23.438,9.766,35.156,68.848
1585158143.695,45.410,23.926,4.883,51.758,52.734
1585158143.699,43.945,22.949,11.719,41.992,4.395
1585158143.702,33.203,19.531,12.695,12.207,-37.109
1585158143.706,28.320,22.461,9.277,16.113,16.602
1585158143.710,36.621,26.367,15.625,35.156,-4.395
1585158143.714,45.410,22.461,11.719,44.922,25.391
1585158143.718,42.969,16.113,0.488,40.039,98.145
1585158143.722,26.855,12.695,6.348,18.066,-9.277
1585158143.726,19.531,14.160,13.672,15.137,-41.504
1585158143.730,30.273,16.113,9.277,30.273,11.230
1585158143.734,41.504,17.578,7.812,45.898,44.922
1585158143.738,41.992,13.672,11.230,42.969,44.922
1585158143.742,30.273,11.230,2.930,18.066,-30.273
1585158143.745,18.555,13.184,-0.977,7.324,-46.875
1585158143.749,18.555,14.160,14.648,14.648,15.625
1585158143.753,28.320,12.695,15.137,29.297,44.434
1585158143.757,32.715,11.230,5.859,28.809,33.691
1585158143.761,20.020,9.277,3.906,12.695,43.945
1585158143.765,9.277,9.766,18.555,10.742,55.664
1585158143.769,16.113,12.695,24.902,25.391,48.828
1585158143.773,28.320,15.625,17.090,48.828,55.176
1585158143.777,29.785,16.602,21.973,46.875,52.246
1585158143.781,22.461,15.625,24.414,24.414,21.973
1585158143.785,15.625,17.578,17.090,17.578,28.809
1585158143.788,18.066,19.043,20.508,31.738,81.055
1585158143.792,36.133,18.066,33.203,53.711,55.176
1585158143.796,45.410,20.996,30.762,51.758,25.391
1585158143.800,27.832,20.508,27.344,25.879,5.371
1585158143.804,10.742,21.973,27.344,8.301,17.578
1585158143.808,14.648,29.785,29.785,17.578,26.855
1585158143.812,31.250,42.969,25.391,40.039,-14.160
1585158143.816,40.039,57.617,21.973,44.434,4.395
1585158143.820,29.785,63.477,23.926,27.344,-7.324
1585158143.824,15.137,63.477,21.484,10.742,12.695
1585158143.827,14.648,65.430,21.973,15.137,0.977
1585158143.831,26.367,68.848,21.484,35.156,14.160
1585158143.835,34.180,68.359,22.461,41.016,72.754
1585158143.839,29.297,66.406,25.391,25.391,70.801
1585158143.843,22.461,66.406,20.996,7.812,20.020
1585158143.847,23.438,64.941,19.531,8.789,-7.324
1585158143.851,36.133,64.453,25.879,25.879,62.012
1585158143.855,46.875,61.523,20.020,39.551,65.918
1585158143.859,36.621,56.641,8.789,31.250,33.691
1585158143.863,21.973,58.105,16.113,11.230,38.086
1585158143.867,20.020,62.988,21.484,6.836,25.879
1585158143.870,29.297,62.988,21.484,20.020,3.906
1585158143.874,39.551,61.523,19.531,33.203,73.242
1585158143.878,39.062,59.082,9.277,25.879,64.941
1585158143.882,29.785,53.711,7.812,7.324,33.691
1585158143.886,26.855,53.223,17.090,1.465,63.477
1585158143.890,33.691,54.199,20.020,16.602,36.133
1585158143.894,41.992,51.270,17.578,34.180,17.090
1585158143.898,43.457,46.387,17.578,24.414,7.324
1585158143.902,29.297,40.527,18.555,-1.953,26.367
1585158143.906,18.555,38.574,19.043,-12.695,54.199
1585158143.910,23.926,40.039,20.508,5.371,55.176
1585158143.913,35.156,39.062,20.996,24.902,42.969
1585158143.917,40.527,37.109,13.672,22.461,39.551
1585158143.921,34.180,37.109,9.766,5.371,72.266
1585158143.925,28.320,36.133,11.719,-1.953,107.422
1585158143.929,34.180,37.109,16.113,18.555,60.547
1585158143.933,47.852,35.645,20.020,41.504,1.953
1585158143.937,48.340,28.320,19.043,35.156,-12.207
1585158143.941,31.250,21.973,17.578,8.301,12.207
1585158143.945,22.949,18.555,11.719,-9.277,-11.230
1585158143.949,28.809,17.578,7.324,2.441,-59.570
1585158143.952,37.598,15.625,16.113,23.926,25.879
1585158143.956,43.457,12.695,21.973,29.297,57.617
1585158143.960,34.668,12.207,23.438,14.648,37.598
1585158143.964,26.855,11.230,25.391,2.441,8.301
1585158143.968,33.691,13.184,28.320,16.602,-17.578
1585158143.972,45.898,15.625,30.762,40.527,25.391
1585158143.976,51.758,11.719,25.879,46.875,92.773
1585158143.980,44.434,9.766,26.855,31.738,48.828
1585158143.984,29.785,9.277,28.320,12.695,21.484
1585158143.988,28.809,7.812,24.902,24.414,45.410
1585158143.992,40.039,10.254,29.297,45.410,65.430
1585158143.995,44.922,11.230,29.297,48.828,83.496
1585158143.999,40.527,9.277,23.438,32.227,1.953
1585158144.003,29.785,10.742,22.461,11.719,-23.926
1585158144.007,27.344,15.625,25.879,21.973,11.719
1585158144.011,36.133,16.602,27.344,44.922,7.812
1585158144.015,41.992,17.578,20.996,50.293,71.289
1585158144.019,36.133,20.508,20.508,32.227,67.383
1585158144.023,23.926,20.996,31.738,13.184,-0.488
1585158144.027,21.973,22.949,35.156,18.066,48.340
1585158144.031,33.203,23.926,33.203,35.645,87.891
1585158144.035,43.945,22.949,35.645,50.293,48.828
1585158144.038,45.898,21.973,34.180,40.527,42.969
1585158144.042,31.250,21.484,31.250,19.531,81.055
1585158144.046,23.438,23.926,34.668,23.926,48.828
1585158144.050,34.668,27.344,32.227,42.969,-10.254
1585158144.054,45.898,29.297,30.273,55.176,19.043
1585158144.058,42.969,30.273,26.855,41.504,21.484
1585158144.062,29.297,29.785,23.438,15.625,-14.160
1585158144.066,23.438,30.762,29.297,13.184,-5.371
1585158144.070,29.297,33.691,30.273,29.297,0.488
1585158144.074,41.992,37.598,28.320,42.480,60.059
1585158144.077,44.922,39.062,23.438,33.203,102.539
