timestamps,TP9,AF7,AF8,TP10,Right AUX
1585158370.085,40.527,75.684,31.250,48.828,39.062
1585158370.089,30.273,75.684,31.738,25.879,44.922
1585158370.093,27.344,78.125,35.645,18.555,18.555
1585158370.097,34.180,76.660,36.621,27.344,35.645
1585158370.101,39.551,75.195,35.156,30.762,75.684
1585158370.105,31.250,76.660,32.227,16.602,62.500
1585158370.109,27.832,76.660,27.832,-1.953,12.207
1585158370.113,23.438,74.219,27.832,-5.859,36.133
1585158370.117,24.902,75.684,28.809,11.230,41.992
1585158370.120,35.645,73.730,26.367,22.461,48.340
1585158370.124,34.668,68.359,27.344,15.625,2.930
1585158370.128,28.320,67.871,32.227,5.859,19.531
1585158370.132,24.902,67.383,33.203,3.418,112.793
1585158370.136,33.691,68.359,29.785,15.137,38.086
1585158370.140,43.945,70.312,29.297,26.855,24.902
1585158370.144,41.992,70.312,29.785,22.461,27.344
1585158370.148,28.809,69.336,28.809,9.277,1.465
1585158370.152,20.020,68.359,27.344,6.348,58.594
1585158370.156,31.250,68.359,30.273,18.066,44.434
1585158370.159,41.504,68.359,31.250,32.227,37.109
1585158370.163,34.668,66.406,31.250,30.273,110.840
1585158370.167,31.250,64.941,34.668,11.719,34.180
1585158370.171,26.367,65.430,36.133,6.348,37.598
1585158370.175,32.715,66.406,37.598,20.996,42.480
1585158370.179,47.363,68.359,37.598,39.062,-15.137
1585158370.183,52.734,69.336,37.109,39.551,23.438
1585158370.187,43.945,66.406,35.645,23.926,20.996
1585158370.191,30.762,62.988,30.762,15.137,43.945
1585158370.195,39.551,62.988,30.762,23.438,73.730
1585158370.199,54.199,65.430,32.715,42.480,57.129
1585158370.202,46.875,65.430,32.715,43.457,19.043
1585158370.206,32.715,62.012,29.297,27.344,-28.320
1585158370.210,21.484,60.059,28.320,17.090,26.367
1585158370.214,22.461,61.523,35.156,22.949,76.172
1585158370.218,30.762,62.012,40.039,40.527,50.293
1585158370.222,32.715,59.082,40.039,43.457,51.758
1585158370.226,27.344,59.082,38.086,32.227,57.129
1585158370.230,18.555,60.059,36.133,19.531,39.062
1585158370.234,19.043,58.594,40.039,17.090,-33.203
1585158370.238,29.785,57.129,40.527,28.809,-47.852
1585158370.242,38.574,57.617,37.598,38.574,-17.578
1585158370.245,40.527,57.129,36.133,30.273,-20.020
1585158370.249,28.809,54.688,36.133,16.113,28.809
1585158370.253,25.391,55.664,38.574,21.484,86.914
1585158370.257,43.457,58.594,43.457,39.062,14.160
1585158370.261,54.199,59.082,45.410,44.922,13.184
1585158370.265,46.387,57.617,41.016,35.156,32.715
1585158370.269,29.785,54.199,38.086,18.555,35.645
1585158370.273,27.832,53.223,38.574,12.207,47.852
1585158370.277,38.086,56.152,41.504,24.414,9.277
1585158370.281,39.062,55.176,39.551,34.180,4.883
1585158370.284,36.133,51.270,36.133,30.273,14.160
1585158370.288,27.832,49.316,36.621,16.602,58.594
1585158370.292,21.973,48.340,38.086,12.207,19.531
1585158370.296,25.879,45.410,39.062,16.113,1.465
1585158370.300,36.133,43.945,40.039,23.926,49.316
1585158370.304,37.109,41.016,37.598,32.715,5.371
1585158370.308,23.438,35.645,35.645,21.484,-42.480
1585158370.312,14.160,34.180,37.109,15.137,-11.230
1585158370.316,21.973,38.574,38.086,25.391,68.848
1585158370.320,33.203,41.504,39.062,35.156,78.125
1585158370.324,26.855,38.086,37.598,33.203,48.340
1585158370.327,14.648,38.086,35.645,14.648,60.547
1585158370.331,11.719,41.016,37.109,8.789,87.402
1585158370.335,21.484,40.039,38.086,20.996,75.195
1585158370.339,37.109,41.016,40.039,35.156,36.621
1585158370.343,38.574,41.016,41.992,38.086,1.953
1585158370.347,28.809,38.574,39.062,29.297,-33.203
1585158370.351,23.926,39.062,37.109,20.996,-11.230
1585158370.355,27.832,40.039,36.621,20.996,48.828
1585158370.359,33.691,39.062,31.738,30.273,81.543
1585158370.363,34.668,40.039,33.203,33.691,28.809
1585158370.367,34.180,39.062,34.668,28.320,20.996
1585158370.370,24.414,38.574,34.180,20.020,-13.184
1585158370.374,19.531,37.598,35.156,24.414,-37.598
1585158370.378,30.273,39.062,35.645,37.598,22.949
1585158370.382,33.203,35.645,33.203,42.969,14.648
1585158370.386,25.879,34.180,31.250,39.062,0.000
1585158370.390,19.043,39.062,31.738,28.320,-7.324
1585158370.394,18.555,41.504,30.273,28.809,4.395
1585158370.398,24.414,40.039,27.832,45.410,94.238
1585158370.402,25.391,38.086,26.367,52.734,86.914
1585158370.406,11.719,38.574,22.461,39.062,6.836
1585158370.409,-0.977,40.039,21.973,20.996,-11.719
1585158370.413,7.324,40.527,22.949,20.996,-4.395
1585158370.417,15.625,41.016,26.367,40.039,5.859
1585158370.421,20.508,42.969,27.344,60.059,22.461
1585158370.425,22.461,42.480,23.926,62.500,48.828
1585158370.429,17.090,41.016,27.344,54.199,62.012
1585158370.433,20.508,42.969,31.250,58.105,104.004
1585158370.437,35.156,45.410,30.762,74.707,65.918
1585158370.441,44.434,44.922,31.250,91.309,11.230
1585158370.445,46.387,41.992,29.297,87.402,64.941
1585158370.449,36.133,42.969,30.273,65.918,63.965
1585158370.452,20.508,43.457,33.203,61.523,4.883
1585158370.456,27.344,42.480,31.738,74.707,-1.953
1585158370.460,37.598,42.480,29.785,84.961,9.277
1585158370.464,32.227,39.062,30.273,78.125,44.922
1585158370.468,20.508,37.598,29.785,61.523,86.426
1585158370.472,17.090,39.062,33.203,59.082,32.715
1585158370.476,24.902,39.062,37.109,73.242,52.246
1585158370.480,39.551,37.598,35.645,90.332,47.363
1585158370.484,41.016,39.062,34.668,85.449,-27.832
1585158370.488,30.762,37.598,33.203,61.035,-8.789
1585158370.492,19.531,35.645,30.273,54.199,33.203
1585158370.495,14.160,38.086,32.715,63.477,27.344
1585158370.499,22.949,40.527,33.203,76.660,11.230
1585158370.503,22.949,39.062,28.809,76.172,35.645
1585158370.507,8.301,37.598,25.879,56.152,41.016
1585158370.511,-0.488,36.621,26.367,43.945,30.273
1585158370.515,4.395,36.621,25.391,51.758,73.730
1585158370.519,15.137,37.109,25.879,65.918,38.574
1585158370.523,19.043,35.156,23.926,65.918,-38.086
1585158370.527,9.766,34.180,20.996,51.758,-11.230
1585158370.531,2.930,35.156,19.531,40.039,33.203
1585158370.534,8.301,39.062,20.020,41.992,17.090
1585158370.538,20.020,38.086,20.508,53.223,8.301
1585158370.542,30.762,39.551,18.555,54.688,64.941
1585158370.546,33.691,43.457,15.625,46.387,70.312
1585158370.550,20.508,41.992,14.648,37.109,13.184
1585158370.554,17.090,41.992,16.113,37.598,14.648
1585158370.558,28.320,42.480,15.625,49.316,71.289
1585158370.562,37.109,39.551,11.230,51.758,61.035
1585158370.566,37.109,41.016,10.254,37.598,44.922
1585158370.570,29.785,43.457,10.254,20.508,48.828
1585158370.574,31.250,41.016,11.230,16.113,-0.488
1585158370.577,41.992,40.039,16.602,20.996,38.574
1585158370.581,39.551,38.086,15.137,25.391,80.566
1585158370.585,27.344,35.156,10.742,27.344,57.617
1585158370.589,5.859,33.691,12.695,22.461,46.875
1585158370.593,-7.324,32.227,16.113,26.855,14.648
1585158370.597,4.395,31.250,18.066,42.969,10.742
1585158370.601,14.648,32.227,18.555,52.734,10.742
1585158370.605,14.648,30.273,17.578,46.875,-3.418
1585158370.609,6.836,28.320,16.113,34.668,54.688
1585158370.613,9.766,29.785,15.625,31.738,82.520
1585158370.617,18.066,29.785,19.043,43.457,59.570
1585158370.620,22.461,29.297,19.531,55.176,94.238
1585158370.624,19.043,28.809,18.066,47.852,91.797
1585158370.628,5.859,24.902,16.113,28.809,67.383
1585158370.632,1.465,26.855,17.090,19.531,41.504
1585158370.636,11.230,28.809,21.973,26.855,37.109
1585158370.640,24.902,26.855,23.926,41.504,79.590
1585158370.644,23.438,28.320,26.855,42.969,25.879
1585158370.648,14.160,29.297,30.273,27.344,1.465
1585158370.652,12.207,28.320,29.785,19.531,15.625
1585158370.656,22.949,30.762,31.250,33.203,36.133
1585158370.659,29.785,30.273,31.738,46.875,70.312
1585158370.663,26.367,27.344,29.785,39.551,36.621
1585158370.667,16.602,26.855,30.762,21.973,18.555
1585158370.671,5.859,28.320,31.738,9.766,-13.184
1585158370.675,16.113,29.785,33.203,15.625,-38.574
1585158370.679,27.832,29.297,35.645,37.598,14.160
1585158370.683,22.949,30.273,34.668,43.457,35.156
1585158370.687,15.625,26.855,30.273,28.320,23.926
1585158370.691,5.859,26.855,27.832,17.090,102.051
1585158370.695,6.348,27.832,28.809,21.484,82.520
1585158370.699,16.113,28.320,29.785,38.574,51.270
1585158370.702,25.879,30.273,29.785,46.387,93.750
1585158370.706,22.949,30.762,27.832,32.227,79.590
1585158370.710,15.137,28.320,27.344,17.578,73.242
1585158370.714,14.648,28.320,29.785,22.461,30.762
1585158370.718,30.273,30.762,30.762,39.062,-7.812
1585158370.722,36.133,27.832,27.344,43.457,-19.531
1585158370.726,18.555,25.391,24.414,30.273,26.855
1585158370.730,10.742,26.367,25.391,11.230,84.961
1585158370.734,14.648,27.344,24.902,14.648,58.594
1585158370.738,22.949,29.785,23.438,34.668,12.695
1585158370.742,29.297,30.273,20.020,42.969,26.855
1585158370.745,27.832,28.320,15.625,34.180,7.324
1585158370.749,22.949,28.320,16.602,16.602,-34.180
1585158370.753,21.973,30.762,16.602,15.137,13.672
1585158370.757,31.738,32.715,16.602,30.762,51.270
1585158370.761,41.016,32.715,18.555,42.480,26.855
1585158370.765,44.922,31.738,20.020,29.785,57.617
1585158370.769,31.738,30.273,20.996,7.324,71.289
1585158370.773,17.578,32.227,22.461,10.254,52.246
1585158370.777,26.855,37.109,24.414,28.320,41.992
1585158370.781,33.691,37.598,22.461,37.598,41.504
1585158370.784,26.855,36.621,21.484,28.809,29.785
1585158370.788,9.277,35.645,20.508,7.812,-19.043
1585158370.792,2.930,35.156,21.484,2.441,-7.812
1585158370.796,12.695,37.109,25.879,18.555,-6.836
1585158370.800,31.250,38.086,26.367,34.180,34.668
1585158370.804,29.785,38.574,24.902,30.762,68.848
1585158370.808,13.672,38.086,25.391,17.578,40.527
1585158370.812,8.301,36.133,23.438,13.184,-9.766
1585158370.816,17.578,35.156,20.508,23.438,42.969
1585158370.820,31.250,33.203,20.996,36.621,76.660
1585158370.824,27.832,32.715,23.438,30.273,21.973
1585158370.827,15.137,32.715,26.855,14.648,-13.184
1585158370.831,7.324,32.715,28.320,8.301,34.180
1585158370.835,9.766,33.203,26.367,11.719,59.570
1585158370.839,22.461,32.715,29.297,24.902,65.918
1585158370.843,27.344,34.180,29.785,26.367,42.480
1585158370.847,18.555,37.109,23.438,12.695,25.391
1585158370.851,15.625,38.574,22.949,3.418,46.387
1585158370.855,15.625,37.109,28.809,11.719,-23.926
1585158370.859,24.414,37.598,32.227,25.391,-2.441
1585158370.863,36.621,36.621,32.715,26.855,16.602
1585158370.867,30.762,36.133,30.273,17.090,-5.371
1585158370.870,21.973,34.180,30.762,6.348,20.020
1585158370.874,23.926,31.738,35.156,13.672,35.156
1585158370.878,31.738,26.855,37.109,30.273,58.105
1585158370.882,33.691,21.484,35.156,35.645,78.125
1585158370.886,25.391,21.484,34.668,26.855,104.492
1585158370.890,17.090,23.438,34.180,16.113,54.688
1585158370.894,18.555,30.273,33.691,18.066,-37.109
1585158370.898,22.461,34.668,36.621,32.227,-7.324
1585158370.902,28.320,34.668,34.180,37.109,-5.859
1585158370.906,21.973,31.738,30.762,25.391,13.672
1585158370.909,9.277,31.250,31.250,14.648,12.207
1585158370.913,15.625,32.227,30.762,18.555,-26.367
1585158370.917,27.344,33.203,33.691,29.297,-26.855
1585158370.921,32.715,33.203,34.180,35.645,24.902
1585158370.925,30.273,34.668,30.762,31.250,31.250
1585158370.929,22.461,36.621,31.250,18.066,9.766
1585158370.933,21.484,38.086,34.668,17.090,59.570
1585158370.937,33.203,41.016,36.133,31.250,63.965
1585158370.941,44.434,42.480,33.691,42.480,41.992
1585158370.945,45.410,42.480,30.273,38.086,85.449
1585158370.949,27.832,43.945,29.785,22.461,24.414
1585158370.952,20.508,42.969,32.715,12.207,25.879
1585158370.956,30.273,39.551,34.668,20.996,38.086
1585158370.960,38.086,37.109,34.180,36.133,-10.254
1585158370.964,33.691,35.156,30.273,34.180,105.469
1585158370.968,22.461,31.738,30.762,23.438,74.707
1585158370.972,19.043,34.180,34.668,18.555,-10.742
1585158370.976,20.020,36.621,34.180,24.414,0.000
1585158370.980,28.809,38.086,30.273,37.109,50.781
1585158370.984,30.273,39.062,27.344,36.621,92.773
1585158370.988,19.043,34.668,28.320,21.484,51.758
1585158370.992,15.137,34.180,33.691,10.254,42.480
1585158370.995,17.578,34.180,37.109,19.043,65.430
1585158370.999,26.855,31.738,40.039,37.109,31.738
1585158371.003,34.668,29.297,36.621,39.062,-14.648
1585158371.007,20.996,26.855,35.645,30.762,36.621
1585158371.011,13.672,26.855,42.480,18.066,25.879
1585158371.015,22.949,27.344,44.434,23.926,-62.988
1585158371.019,34.180,30.762,44.434,47.852,44.922
1585158371.023,39.551,32.715,43.457,52.246,97.656
1585158371.027,33.691,30.273,40.039,34.668,9.766
1585158371.031,21.973,27.344,40.527,18.555,4.883
1585158371.034,22.949,27.832,43.457,23.926,-3.418
1585158371.038,41.992,29.297,46.387,39.551,44.922
1585158371.042,43.945,28.320,43.945,43.945,101.074
1585158371.046,29.297,25.391,40.039,31.250,59.082
1585158371.050,25.391,24.414,37.598,17.578,29.297
1585158371.054,26.367,27.344,36.621,24.414,86.426
1585158371.058,33.691,30.762,38.086,41.016,115.234
1585158371.062,41.992,31.738,39.551,51.270,53.711
