timestamps,TP9,AF7,AF8,TP10,Right AUX
1585157667.965,84.961,-193.848,-129.883,13.184,15.137
1585157667.968,91.309,-145.996,-82.520,41.992,-1.465
1585157667.972,14.648,119.141,163.574,45.898,-3.418
1585157667.976,-44.922,252.930,277.344,15.137,7.812
1585157667.980,-7.812,86.914,119.141,-4.395,3.418
1585157667.984,78.125,-202.148,-142.578,11.719,-8.301
1585157667.988,99.609,-180.176,-121.094,44.922,3.906
1585157667.992,28.809,95.703,132.324,47.363,68.848
1585157667.996,-34.668,270.996,293.457,21.484,78.613
1585157668.000,-10.254,145.020,166.992,5.371,9.277
1585157668.004,73.242,-145.996,-94.727,14.648,11.230
1585157668.008,102.539,-166.016,-108.887,44.922,61.523
1585157668.011,38.574,32.227,72.266,55.664,38.574
1585157668.015,-30.762,218.262,244.141,25.391,43.945
1585157668.019,-22.949,188.477,202.148,0.977,25.879
1585157668.023,59.570,-95.703,-55.664,10.742,6.836
1585157668.027,103.516,-180.176,-125.488,32.227,30.762
1585157668.031,51.758,-20.996,23.438,50.293,10.254
1585157668.035,-22.949,215.820,239.746,39.062,-0.488
1585157668.039,-24.414,229.980,249.023,2.441,49.316
1585157668.043,51.758,-64.941,-20.020,8.789,87.891
1585157668.047,107.422,-219.238,-157.715,37.598,73.730
1585157668.051,65.918,-37.598,12.695,45.410,41.016
1585157668.054,-17.090,251.953,276.855,31.738,4.883
1585157668.058,-24.414,236.328,257.324,5.371,20.020
1585157668.062,50.293,-47.363,0.488,8.789,53.711
1585157668.066,110.352,-241.699,-155.273,38.086,35.645
1585157668.070,76.660,-70.801,7.324,58.105,21.973
1585157668.074,-5.859,237.793,280.273,44.434,33.203
1585157668.078,-25.391,213.867,246.582,20.020,79.102
1585157668.082,33.203,-44.434,0.488,7.324,26.855
1585157668.086,99.609,-240.723,-169.922,33.203,-2.930
1585157668.090,76.660,-124.023,-56.641,59.570,39.551
1585157668.093,-11.719,228.516,263.672,34.668,29.297
1585157668.097,-40.527,283.691,304.199,13.672,-1.465
1585157668.101,25.391,24.902,59.082,1.953,23.926
1585157668.105,102.539,-230.957,-170.410,23.438,23.926
1585157668.109,88.379,-123.047,-63.965,51.270,20.020
1585157668.113,-3.418,196.289,228.516,36.133,23.438
1585157668.117,-45.898,281.250,295.410,6.348,26.367
1585157668.121,11.719,49.316,86.914,0.488,18.555
1585157668.125,89.355,-249.512,-175.781,27.344,-10.254
1585157668.129,92.285,-155.762,-88.379,56.641,-3.906
1585157668.133,16.602,189.453,218.750,54.199,10.254
1585157668.136,-36.621,311.523,319.824,25.391,25.879
1585157668.140,2.930,86.914,121.094,14.160,44.434
1585157668.144,88.379,-223.633,-165.039,33.203,42.480
1585157668.148,103.027,-160.156,-103.516,61.523,61.523
1585157668.152,28.809,152.832,190.918,65.918,80.566
1585157668.156,-36.133,302.246,318.848,38.086,52.734
1585157668.160,-6.348,119.141,144.043,9.766,52.246
1585157668.164,76.172,-193.359,-143.555,19.043,72.266
