timestamps,TP9,AF7,AF8,TP10,Right AUX
1585156577.605,-20.508,8.301,7.324,-3.418,36.621
1585156577.609,43.945,49.316,64.941,76.172,52.246
1585156577.613,74.707,62.500,73.242,105.957,-24.902
1585156577.617,27.344,40.039,25.391,42.969,-34.668
1585156577.621,-31.738,4.395,-24.902,-30.762,46.875
1585156577.625,-22.461,-5.371,-12.695,-20.020,66.406
1585156577.629,37.598,24.414,47.363,56.641,-3.906
1585156577.633,72.754,49.805,68.359,100.586,21.484
1585156577.636,41.992,40.527,39.062,50.293,33.691
1585156577.640,-18.066,4.883,-12.695,-33.691,-10.254
1585156577.644,-25.879,-5.859,-11.230,-33.203,-21.973
1585156577.648,29.297,33.203,44.922,47.363,5.371
1585156577.652,72.266,64.941,79.590,92.285,41.016
1585156577.656,41.016,44.922,44.434,49.316,45.898
1585156577.660,-18.555,7.324,-21.484,-37.598,44.922
1585156577.664,-31.738,0.488,-21.484,-49.805,35.156
1585156577.668,18.066,23.438,32.227,26.367,20.508
1585156577.672,68.848,48.340,68.359,79.102,32.715
1585156577.676,47.852,45.410,41.016,50.781,39.062
1585156577.679,-7.812,3.906,-20.508,-33.691,44.922
1585156577.683,-30.762,-17.090,-27.344,-57.129,22.949
1585156577.687,9.277,9.766,19.531,10.742,-20.508
1585156577.691,58.105,51.758,68.359,69.824,-7.324
1585156577.695,50.781,58.105,58.105,53.711,35.156
1585156577.699,-5.859,19.043,-11.230,-26.855,32.227
1585156577.703,-36.621,-6.348,-32.227,-60.059,19.043
1585156577.707,9.277,0.977,14.160,5.371,3.906
1585156577.711,64.453,42.969,73.730,80.078,-10.254
1585156577.715,63.477,62.500,70.801,71.289,59.082
1585156577.718,9.766,17.090,4.395,-6.836,88.379
1585156577.722,-40.527,-15.625,-36.133,-46.387,44.922
1585156577.726,-7.324,14.648,5.371,-0.488,28.320
1585156577.730,54.199,61.523,81.055,68.359,26.367
1585156577.734,60.547,67.383,81.055,75.684,33.691
1585156577.738,10.742,34.668,16.113,4.883,14.648
1585156577.742,-30.762,4.395,-25.879,-50.781,9.277
1585156577.746,-14.160,4.883,7.324,-18.555,-4.883
1585156577.750,39.551,40.039,74.707,57.617,9.277
1585156577.754,70.801,61.523,85.938,81.543,38.086
1585156577.758,21.484,20.996,24.414,15.625,53.223
1585156577.761,-30.762,-20.508,-32.227,-54.688,47.852
1585156577.765,-5.859,2.441,-5.371,-27.832,28.320
1585156577.769,45.410,49.316,67.383,55.664,71.289
1585156577.773,69.824,68.848,85.938,89.844,61.523
1585156577.777,25.879,44.434,33.203,27.832,33.203
1585156577.781,-24.902,-11.719,-39.551,-54.199,-3.906
1585156577.785,-16.602,-8.301,-19.043,-47.363,-2.930
1585156577.789,37.598,52.246,71.289,30.273,68.848
1585156577.793,80.078,69.336,95.215,74.707,62.012
1585156577.797,44.434,40.039,39.551,22.461,-11.719
1585156577.801,-26.855,-2.441,-21.973,-56.641,-11.230
1585156577.804,-26.367,-0.488,-1.953,-46.387,36.621
1585156577.808,34.668,39.062,62.988,42.969,29.785
1585156577.812,73.242,59.570,83.008,83.496,34.180
1585156577.816,49.805,41.016,38.086,37.109,42.480
1585156577.820,-3.906,2.441,-25.879,-39.551,38.086
1585156577.824,-21.484,3.418,-13.184,-53.711,60.547
1585156577.828,30.273,47.363,57.617,23.438,85.449
1585156577.832,74.707,75.195,97.656,88.867,113.281
1585156577.836,56.152,51.758,57.129,59.570,82.031
1585156577.840,3.906,12.695,-7.812,-20.508,-15.625
1585156577.843,-28.320,7.324,-10.742,-46.387,0.488
1585156577.847,10.254,31.250,40.039,17.578,44.922
1585156577.851,66.406,70.801,89.355,89.844,19.531
1585156577.855,56.152,61.523,56.641,66.406,23.438
1585156577.859,-0.977,10.254,-11.719,-24.414,23.438
1585156577.863,-24.414,-9.766,-26.367,-52.246,-7.324
1585156577.867,11.719,23.438,30.762,5.371,28.809
1585156577.871,61.523,66.895,93.262,70.801,44.922
1585156577.875,58.105,60.547,63.965,65.918,46.875
1585156577.879,12.695,15.625,0.977,-11.719,51.758
1585156577.883,-29.297,-3.906,-12.695,-65.918,-35.156
1585156577.886,-8.789,22.949,25.391,-17.090,-41.504
1585156577.890,57.617,64.453,75.195,64.453,-3.906
1585156577.894,69.336,72.754,69.336,72.266,14.648
1585156577.898,13.672,36.621,12.207,-2.930,6.836
