timestamps,TP9,AF7,AF8,TP10,Right AUX
1585157105.043,-24.414,46.387,21.484,-37.109,-30.273
1585157105.047,41.016,47.852,21.484,40.039,47.852
1585157105.051,96.680,44.922,17.090,110.352,50.293
1585157105.054,74.219,41.992,17.090,81.055,19.531
1585157105.058,7.812,41.504,20.508,-8.301,21.973
1585157105.062,-24.902,40.527,22.461,-42.480,22.461
1585157105.066,25.391,36.133,20.020,24.414,41.504
1585157105.070,91.309,29.297,18.066,118.164,15.137
1585157105.074,91.797,31.250,22.461,110.352,16.602
1585157105.078,23.438,37.109,26.855,7.324,-27.832
1585157105.082,-26.855,37.598,27.832,-48.340,-9.277
1585157105.086,14.648,33.203,24.902,6.836,53.711
1585157105.090,77.637,30.273,19.531,93.262,34.668
1585157105.093,84.473,32.715,17.578,98.633,12.695
1585157105.097,22.949,33.691,20.996,18.555,66.895
1585157105.101,-19.043,33.691,22.949,-49.805,32.715
1585157105.105,12.207,37.109,20.508,0.000,-11.230
1585157105.109,74.707,35.645,16.602,107.422,24.902
1585157105.113,96.191,32.227,18.555,117.188,71.777
1585157105.117,34.668,36.133,26.367,23.926,89.355
1585157105.121,-27.344,40.527,29.297,-58.594,64.941
1585157105.125,-6.836,33.203,26.367,-27.832,26.367
1585157105.129,63.477,25.879,21.973,71.289,10.742
1585157105.133,85.938,25.391,16.602,99.121,48.340
1585157105.136,29.297,29.297,17.090,26.855,12.207
1585157105.140,-32.715,33.203,20.020,-58.105,-21.973
1585157105.144,-18.066,32.227,19.043,-39.551,28.320
1585157105.148,52.734,29.785,12.695,58.594,74.219
1585157105.152,93.262,31.250,11.230,101.074,56.152
1585157105.156,41.504,36.621,16.602,47.852,31.250
1585157105.160,-36.133,36.621,20.020,-42.480,-0.488
1585157105.164,-33.203,35.156,19.531,-44.922,1.953
1585157105.168,37.598,34.180,15.137,50.781,61.035
1585157105.172,86.914,32.227,14.160,104.004,20.508
1585157105.176,46.387,30.273,18.555,51.270,-17.090
1585157105.179,-27.344,33.203,18.066,-43.945,26.367
1585157105.183,-38.574,35.156,14.648,-56.152,26.367
1585157105.187,29.297,30.762,14.648,34.180,6.348
1585157105.191,85.938,29.785,15.625,107.422,54.199
1585157105.195,57.617,32.227,18.066,66.406,24.902
1585157105.199,-14.160,33.203,22.949,-24.414,-24.902
1585157105.203,-39.551,31.738,23.926,-46.875,50.781
1585157105.207,19.043,26.855,18.555,27.344,37.109
1585157105.211,81.543,26.855,14.648,112.793,0.488
1585157105.215,74.219,34.180,19.043,88.379,64.453
1585157105.218,0.977,39.062,22.949,-16.113,20.020
1585157105.222,-29.297,39.551,21.973,-51.758,19.043
1585157105.226,22.949,35.645,19.531,25.879,45.898
1585157105.230,78.125,34.180,18.555,111.816,8.301
1585157105.234,70.801,34.668,23.926,98.633,-11.230
1585157105.238,2.441,34.668,29.785,-3.418,24.902
1585157105.242,-38.574,37.598,30.762,-62.988,45.898
1585157105.246,0.488,32.227,29.297,0.977,30.762
