timestamps,TP9,AF7,AF8,TP10,Right AUX
1581426721.972,37.109,39.551,33.203,42.480,89.844
1581426721.976,64.941,39.062,33.691,51.758,36.133
1581426721.980,73.242,40.039,35.156,46.387,20.508
1581426721.984,48.828,37.598,36.621,39.551,-6.348
1581426721.987,36.133,38.574,33.203,32.227,-5.859
1581426721.991,40.527,43.945,32.715,29.297,-5.371
1581426721.995,47.363,46.387,34.180,33.691,4.395
1581426721.999,51.270,44.922,33.203,38.086,20.996
1581426722.003,46.387,39.551,31.250,47.363,11.719
1581426722.007,38.574,35.645,34.668,33.691,22.949
1581426722.011,29.785,33.203,37.598,23.438,5.371
1581426722.015,34.668,32.715,37.598,38.574,2.441
1581426722.019,45.898,36.133,39.551,45.898,24.414
1581426722.023,41.504,34.180,40.527,40.527,58.105
1581426722.026,35.645,32.227,38.574,28.320,54.199
1581426722.030,38.086,35.156,34.180,17.578,16.602
1581426722.034,45.898,34.668,33.691,31.250,24.902
1581426722.038,44.434,34.668,34.668,47.363,-21.484
1581426722.042,30.273,33.203,36.133,32.227,-41.992
1581426722.046,29.297,28.809,34.668,21.484,16.602
1581426722.050,25.879,27.832,35.645,28.809,23.926
1581426722.054,21.973,30.762,39.551,39.062,-9.277
1581426722.058,34.668,31.738,35.645,32.715,-19.043
1581426722.062,38.574,32.715,35.156,31.738,-15.625
1581426722.066,23.926,35.645,38.574,32.715,7.812
1581426722.069,15.137,34.668,36.621,22.461,25.391
1581426722.073,31.738,31.738,34.180,28.320,8.301
1581426722.077,44.434,35.645,33.691,38.086,30.762
1581426722.081,31.250,37.598,33.691,40.527,47.852
1581426722.085,15.137,38.574,33.691,26.367,36.133
1581426722.089,21.484,36.133,32.227,21.973,56.641
1581426722.093,38.086,33.203,31.738,34.668,26.367
1581426722.097,38.086,33.203,31.738,35.156,25.391
1581426722.101,46.875,30.273,31.250,26.855,-6.348
1581426722.105,31.738,26.367,31.738,17.090,25.391
1581426722.109,0.000,30.273,34.668,20.508,66.406
1581426722.112,29.785,36.621,37.109,33.203,-2.930
1581426722.116,46.387,33.691,33.691,31.250,22.461
1581426722.120,33.203,29.785,31.738,30.762,46.875
1581426722.124,25.391,30.273,33.691,32.715,20.508
1581426722.128,19.043,30.273,33.691,20.996,-7.324
1581426722.132,14.648,26.855,35.645,17.578,-10.742
1581426722.136,19.043,23.926,33.203,26.855,41.016
1581426722.140,27.344,21.484,28.809,23.926,62.500
1581426722.144,27.832,17.578,30.273,23.926,66.895
1581426722.148,22.461,20.020,35.645,30.273,66.895
1581426722.151,20.020,27.344,32.227,22.461,-9.277
1581426722.155,21.973,30.762,28.320,13.184,-26.855
1581426722.159,29.785,32.715,27.832,16.113,42.480
1581426722.163,34.668,31.250,27.344,20.508,10.254
1581426722.167,26.367,31.738,28.809,30.762,-0.977
1581426722.171,33.203,35.645,26.367,36.621,3.418
1581426722.175,38.574,38.086,23.438,24.902,-8.301
1581426722.179,30.273,37.109,24.414,27.832,64.453
1581426722.183,26.367,34.668,27.832,41.504,80.566
1581426722.187,25.391,37.109,27.832,26.367,63.965
1581426722.191,25.391,37.598,25.391,15.625,15.625
1581426722.194,32.715,32.715,22.461,28.809,26.855
1581426722.198,37.109,33.203,23.438,29.785,65.918
1581426722.202,32.227,35.156,26.855,19.043,16.602
1581426722.206,34.180,36.621,30.273,17.578,-1.953
1581426722.210,27.344,38.086,30.273,20.020,31.738
1581426722.214,34.180,36.621,25.879,28.809,74.219
1581426722.218,40.039,40.527,26.855,38.574,78.125
1581426722.222,35.645,40.527,30.273,38.574,63.965
1581426722.226,32.715,40.039,32.227,40.527,62.500
1581426722.230,28.320,36.621,30.273,48.828,48.340
1581426722.234,35.156,36.133,31.738,43.945,-11.719
1581426722.237,37.109,43.457,32.715,47.852,-18.555
