timestamps,TP9,AF7,AF8,TP10,Right AUX
1581426950.909,3.906,40.039,22.949,3.906,72.266
1581426950.913,19.043,43.457,26.855,8.301,73.730
1581426950.917,24.414,43.945,29.785,14.160,63.965
1581426950.921,21.973,41.504,32.227,17.090,29.785
1581426950.925,10.254,42.480,32.715,20.020,11.719
1581426950.929,10.254,37.109,31.250,15.137,62.500
1581426950.933,20.020,35.156,29.785,8.301,57.129
1581426950.937,23.438,37.109,30.273,16.602,13.184
1581426950.941,26.367,37.598,35.156,32.715,55.664
1581426950.944,26.367,45.410,31.738,34.180,26.367
1581426950.948,20.020,48.340,25.879,20.508,-8.789
1581426950.952,28.320,47.852,23.438,14.160,-25.879
1581426950.956,39.062,54.688,23.926,20.508,56.641
1581426950.960,29.297,57.129,22.949,23.926,56.641
1581426950.964,17.090,55.176,20.996,13.672,-8.789
1581426950.968,10.254,55.664,17.090,4.883,45.898
1581426950.972,17.578,54.199,13.184,7.812,38.086
1581426950.976,32.715,52.246,14.160,7.324,11.719
1581426950.980,26.855,54.688,11.719,8.301,-1.465
1581426950.983,20.996,51.270,16.602,12.207,4.395
1581426950.987,25.391,48.340,20.020,9.766,74.707
1581426950.991,30.762,47.852,18.555,11.719,65.430
1581426950.995,35.156,47.363,21.484,22.461,32.227
1581426950.999,34.180,48.340,21.484,31.738,29.297
1581426951.003,28.320,44.922,20.508,23.926,19.531
1581426951.007,28.809,43.945,18.555,20.020,37.109
1581426951.011,35.645,47.363,16.602,26.367,38.574
1581426951.015,47.363,45.898,5.859,30.273,-3.906
1581426951.019,49.316,46.387,-23.438,25.879,5.371
1581426951.023,30.762,48.340,-35.645,18.555,28.809
1581426951.026,19.043,46.875,-26.367,16.113,42.969
1581426951.030,25.391,48.340,-30.762,11.719,34.668
1581426951.034,32.227,48.340,-49.805,16.113,15.137
1581426951.038,33.203,48.340,-71.777,20.996,68.848
1581426951.042,28.320,50.781,-84.961,20.020,14.648
1581426951.046,19.043,47.852,-89.355,13.672,24.902
1581426951.050,24.902,44.922,-96.680,7.812,89.355
1581426951.054,35.645,46.387,-106.934,13.672,49.316
1581426951.058,35.645,43.945,-109.863,12.207,-7.812
1581426951.062,27.832,35.156,-99.609,5.859,-9.766
1581426951.066,17.090,37.598,-83.008,13.672,35.645
1581426951.069,21.484,41.016,-65.430,20.996,16.602
1581426951.073,26.855,32.715,-59.082,14.160,43.457
1581426951.077,36.621,28.809,-69.336,14.160,41.992
1581426951.081,33.203,29.297,-86.426,14.160,53.711
1581426951.085,13.184,30.273,-99.121,14.160,76.172
1581426951.089,7.324,33.203,-111.816,16.602,21.973
1581426951.093,17.578,36.133,-128.418,12.207,9.766
1581426951.097,22.949,36.621,-137.207,13.184,-29.785
1581426951.101,15.137,37.598,-143.066,12.207,-21.973
1581426951.105,2.930,39.551,-149.902,8.789,59.082
1581426951.108,9.766,39.551,-152.832,14.648,85.449
1581426951.112,24.414,39.062,-153.809,24.414,49.316
1581426951.116,24.414,41.504,-156.738,23.438,-11.230
1581426951.120,20.020,38.574,-158.691,20.996,16.113
1581426951.124,11.719,38.574,-154.785,19.043,86.914
1581426951.128,12.695,42.969,-155.273,20.020,65.430
1581426951.132,24.902,34.180,-156.738,23.438,-3.418
1581426951.136,32.227,26.855,-155.762,24.902,-11.719
1581426951.140,35.156,27.832,-150.391,26.855,50.781
1581426951.144,26.855,28.320,-143.066,29.297,48.340
1581426951.148,19.531,27.344,-140.137,21.484,40.039
1581426951.151,32.227,31.738,-137.695,20.508,5.371
1581426951.155,45.898,38.086,-133.301,33.691,-20.508
1581426951.159,44.434,40.527,-126.953,38.574,-15.137
1581426951.163,32.227,42.969,-119.141,31.738,-17.090
1581426951.167,26.855,43.457,-115.234,30.273,-1.953
1581426951.171,29.297,45.898,-109.863,39.062,-16.602
1581426951.175,32.227,45.898,-87.891,35.156,27.832
1581426951.179,34.180,44.434,-57.617,25.879,29.297
1581426951.183,28.809,46.387,-33.203,25.879,42.969
1581426951.187,27.832,46.875,-15.625,27.832,74.707
1581426951.191,31.250,45.898,-3.906,27.344,34.668
1581426951.194,36.133,47.852,8.789,35.645,46.875
1581426951.198,37.109,47.363,19.043,37.598,46.387
1581426951.202,31.738,42.969,25.391,25.391,61.523
1581426951.206,20.996,45.410,32.715,23.438,60.547
1581426951.210,24.414,48.340,38.086,28.809,47.852
1581426951.214,38.086,44.434,45.898,23.438,40.527
1581426951.218,37.598,38.086,52.734,22.461,9.766
1581426951.222,30.273,37.109,54.688,20.020,-24.902
1581426951.226,20.508,39.062,58.594,15.625,20.996
1581426951.230,22.949,37.109,63.477,16.113,22.949
1581426951.233,33.203,38.086,64.941,21.973,-53.711
1581426951.237,37.598,38.574,67.871,25.391,11.230
1581426951.241,29.785,35.645,69.336,19.043,31.738
1581426951.245,18.555,38.086,70.312,19.531,-3.418
1581426951.249,23.926,41.016,77.148,22.949,-49.316
1581426951.253,35.645,40.527,83.008,23.926,-48.340
1581426951.257,36.621,39.062,80.566,25.391,16.602
1581426951.261,33.203,38.086,78.613,23.438,52.734
1581426951.265,26.367,38.086,83.496,19.043,32.715
1581426951.269,24.414,37.598,84.473,20.996,27.344
1581426951.273,30.762,37.109,84.473,20.020,13.184
1581426951.276,29.297,40.039,85.938,20.996,4.395
1581426951.280,28.809,40.039,86.426,20.996,58.594
1581426951.284,23.438,38.574,85.449,18.555,68.848
1581426951.288,16.113,40.039,85.449,20.020,24.902
1581426951.292,27.344,43.457,88.867,22.461,24.414
1581426951.296,34.668,43.945,88.379,22.949,71.289
1581426951.300,32.227,42.480,85.449,20.996,39.551
1581426951.304,26.855,43.945,85.938,28.320,32.227
1581426951.308,22.949,44.434,85.449,26.855,17.090
1581426951.312,27.344,44.434,83.008,18.066,-10.254
1581426951.316,26.855,42.969,83.008,19.043,6.836
1581426951.319,34.668,41.504,82.520,20.508,75.684
1581426951.323,28.809,42.969,82.031,16.113,101.562
1581426951.327,14.160,43.945,81.543,19.043,32.227
1581426951.331,21.973,40.039,77.148,13.672,47.852
1581426951.335,25.879,36.621,73.730,14.160,46.387
1581426951.339,32.227,38.574,74.707,21.484,62.012
1581426951.343,27.344,41.992,79.102,20.508,77.637
1581426951.347,16.602,42.969,78.613,19.531,54.199
1581426951.351,26.367,41.504,71.777,15.137,31.738
1581426951.355,37.109,42.480,68.848,16.602,65.918
1581426951.358,38.086,41.504,69.824,18.555,100.586
1581426951.362,30.762,41.016,70.312,15.625,93.750
1581426951.366,19.531,39.551,71.777,12.207,52.734
1581426951.370,24.414,37.598,70.801,14.160,-7.812
1581426951.374,31.738,39.062,67.871,18.555,14.648
1581426951.378,30.762,38.574,66.406,20.508,42.480
1581426951.382,31.738,40.039,68.848,20.508,68.848
1581426951.386,19.043,39.551,69.824,18.066,75.684
1581426951.390,17.578,33.691,63.965,20.508,26.855
1581426951.394,26.855,32.227,60.547,20.508,3.418
1581426951.398,39.062,37.109,59.570,20.020,66.406
1581426951.401,43.457,40.039,61.035,26.855,67.871
1581426951.405,18.555,36.621,65.918,23.438,12.695
1581426951.409,1.953,31.738,67.383,14.160,8.301
1581426951.413,16.113,30.273,68.359,20.020,31.738
1581426951.417,22.461,33.203,66.895,21.484,56.152
1581426951.421,17.578,34.668,63.965,25.879,57.617
1581426951.425,10.742,32.715,63.477,23.438,38.574
1581426951.429,16.113,32.227,62.012,20.020,19.531
1581426951.433,23.926,35.156,62.012,24.414,15.625
1581426951.437,27.832,35.156,63.477,23.438,-4.883
1581426951.441,28.809,33.203,63.965,25.879,27.344
1581426951.444,21.484,34.668,62.012,21.484,30.273
1581426951.448,24.414,37.598,58.105,19.043,83.008
1581426951.452,42.969,36.133,55.664,25.879,98.145
1581426951.456,51.758,37.109,58.594,31.738,-12.695
1581426951.460,42.480,35.156,59.570,31.738,-36.621
1581426951.464,28.320,32.227,57.129,21.484,2.930
1581426951.468,23.926,32.227,59.570,29.297,62.012
1581426951.472,32.715,31.738,58.594,38.574,29.297
1581426951.476,41.504,35.156,55.664,32.227,46.875
1581426951.480,37.598,32.715,59.082,35.645,18.066
1581426951.483,29.785,27.832,57.129,33.691,-33.691
1581426951.487,26.855,29.785,55.664,24.414,-3.906
1581426951.491,32.227,26.855,58.105,28.320,53.711
1581426951.495,37.109,24.902,58.105,36.133,-10.254
1581426951.499,38.086,29.297,57.129,33.203,-98.145
1581426951.503,27.832,30.273,55.176,23.926,-18.066
1581426951.507,25.391,29.785,52.734,25.391,23.926
1581426951.511,31.738,25.879,49.805,32.227,28.809
1581426951.515,37.109,24.414,48.340,38.086,91.797
1581426951.519,38.086,25.391,48.828,38.574,89.844
1581426951.523,24.414,22.949,47.852,25.391,52.246
1581426951.526,21.973,23.926,50.293,26.367,62.988
1581426951.530,36.133,22.461,51.758,34.668,15.625
1581426951.534,41.504,19.043,47.852,33.203,-21.484
1581426951.538,39.551,20.508,47.852,35.645,21.973
1581426951.542,29.297,24.414,49.805,36.621,31.250
1581426951.546,19.531,28.320,50.293,24.902,-7.324
1581426951.550,25.879,28.809,44.922,24.414,5.859
1581426951.554,31.738,29.297,41.992,27.832,21.973
1581426951.558,27.832,29.785,42.969,23.438,55.664
1581426951.562,21.973,29.297,42.969,20.996,44.434
1581426951.566,18.066,26.855,42.480,25.391,22.949
1581426951.569,15.625,24.902,42.969,20.996,-17.578
1581426951.573,26.367,28.320,45.410,19.043,-26.367
1581426951.577,31.738,29.297,45.410,26.855,17.578
1581426951.581,20.508,27.832,45.410,23.438,71.777
1581426951.585,11.230,26.367,40.527,15.625,83.008
1581426951.589,17.090,23.438,35.645,20.020,65.918
1581426951.593,23.438,21.484,36.621,23.926,33.691
1581426951.597,22.461,22.949,37.109,20.020,4.883
1581426951.601,21.973,23.926,36.621,20.020,-30.273
1581426951.605,14.160,18.555,38.086,19.531,-53.711
1581426951.608,7.812,16.113,36.621,17.090,16.602
1581426951.612,21.484,15.625,37.109,16.602,49.316
1581426951.616,29.297,16.602,41.016,22.949,16.113
1581426951.620,30.273,25.391,41.504,22.461,-11.230
1581426951.624,23.926,31.250,42.480,18.066,8.789
1581426951.628,15.137,33.203,42.969,17.090,5.371
1581426951.632,26.855,34.668,41.016,22.949,31.250
1581426951.636,35.645,36.133,41.992,26.367,62.500
1581426951.640,31.738,34.668,43.457,20.508,19.531
1581426951.644,17.090,31.738,44.434,21.973,-13.184
1581426951.648,12.695,32.715,43.457,23.926,-6.348
1581426951.651,21.973,32.715,42.480,27.344,17.578
1581426951.655,30.762,31.738,42.480,28.809,25.391
1581426951.659,31.250,33.203,41.992,24.902,26.855
1581426951.663,24.902,35.156,44.922,26.367,49.805
1581426951.667,24.414,34.180,48.828,25.391,44.922
1581426951.671,33.203,33.691,48.828,20.996,46.387
1581426951.675,44.434,33.691,46.387,19.531,28.809
1581426951.679,51.758,38.574,46.387,20.020,-3.418
1581426951.683,46.387,42.480,50.293,24.414,60.059
1581426951.687,25.391,40.527,49.316,17.578,75.684
1581426951.691,22.461,35.645,47.363,13.672,65.430
1581426951.694,35.156,33.691,45.898,20.508,35.645
1581426951.698,29.297,38.086,41.992,23.438,32.715
1581426951.702,15.625,38.086,41.992,19.043,111.816
1581426951.706,7.812,35.645,41.992,14.160,103.027
1581426951.710,21.973,36.621,43.457,29.785,10.254
1581426951.714,34.668,39.062,46.387,38.574,18.066
1581426951.718,34.180,39.062,45.898,27.832,32.227
1581426951.722,27.344,35.156,45.410,24.414,25.879
1581426951.726,14.160,35.645,43.945,19.531,38.086
1581426951.730,16.602,34.668,41.504,16.113,26.855
1581426951.733,25.391,33.691,41.992,21.484,16.113
1581426951.737,34.180,38.574,43.945,22.461,31.250
1581426951.741,35.156,36.621,44.922,21.484,32.715
1581426951.745,20.996,34.180,43.945,18.555,35.645
1581426951.749,19.043,33.691,42.480,13.672,13.672
1581426951.753,30.762,33.691,45.410,25.391,-15.625
1581426951.757,31.738,34.668,46.387,28.809,46.875
1581426951.761,23.926,33.691,42.969,16.113,107.422
1581426951.765,17.578,37.109,40.527,12.695,106.445
1581426951.769,22.461,39.551,42.480,13.672,93.262
1581426951.773,33.203,38.574,42.969,16.113,61.523
1581426951.776,31.250,39.062,40.527,17.578,-18.066
1581426951.780,26.855,40.527,40.527,23.438,-74.219
1581426951.784,22.949,36.133,41.992,25.391,-30.762
1581426951.788,24.414,39.062,44.922,21.973,2.441
1581426951.792,29.297,43.457,39.062,13.184,1.953
1581426951.796,35.645,42.969,37.598,13.672,10.742
1581426951.800,34.180,41.992,41.016,23.438,13.672
1581426951.804,22.461,39.062,41.504,20.996,44.922
1581426951.808,18.555,38.086,41.504,19.043,48.340
1581426951.812,27.832,38.574,38.086,25.391,69.336
1581426951.816,35.156,39.062,38.086,25.391,48.828
1581426951.819,33.203,40.039,37.109,24.414,50.781
1581426951.823,24.414,39.062,38.086,23.438,52.734
1581426951.827,18.555,39.062,38.574,18.066,36.133
1581426951.831,25.879,37.598,37.109,17.578,60.547
1581426951.835,33.691,35.645,36.133,20.508,-5.859
1581426951.839,36.621,38.574,34.180,27.344,-22.949
1581426951.843,29.297,39.062,32.227,29.297,29.297
1581426951.847,18.555,38.574,32.227,17.578,23.926
1581426951.851,28.320,38.574,35.156,18.066,46.387
1581426951.855,37.598,32.715,35.156,25.391,27.832
1581426951.858,34.668,30.762,32.227,21.973,-12.695
1581426951.862,35.645,34.180,36.621,21.484,3.906
1581426951.866,31.738,35.156,38.086,24.902,1.465
1581426951.870,32.227,39.551,36.621,28.320,-9.766
1581426951.874,43.945,42.969,35.156,30.762,10.742
1581426951.878,48.340,40.527,34.180,31.250,16.113
1581426951.882,39.062,38.574,34.668,23.438,-17.578
1581426951.886,30.762,40.039,35.156,24.414,-15.625
1581426951.890,40.039,41.992,36.133,31.738,6.348
1581426951.894,51.270,41.992,32.715,28.320,-8.789
1581426951.898,49.316,42.969,30.762,28.320,59.082
1581426951.901,37.598,43.945,30.273,28.809,109.863
1581426951.905,26.367,42.480,29.297,27.344,46.387
1581426951.909,29.785,42.480,28.809,28.320,17.090
1581426951.913,44.434,43.945,29.297,25.391,49.805
1581426951.917,46.875,42.969,27.344,20.508,20.996
1581426951.921,38.574,42.480,28.809,20.996,-45.410
1581426951.925,23.926,37.598,30.762,21.484,55.176
1581426951.929,19.043,36.133,29.785,14.160,77.148
1581426951.933,28.320,37.598,29.785,8.789,5.859
1581426951.937,34.180,37.598,30.273,13.672,31.738
1581426951.941,32.227,36.621,31.250,13.184,61.523
1581426951.944,23.926,37.598,32.715,10.254,41.504
1581426951.948,22.461,40.527,32.715,11.719,51.758
1581426951.952,27.344,39.551,32.715,14.648,1.953
1581426951.956,29.297,38.086,33.691,14.160,-55.664
1581426951.960,21.973,39.062,33.203,14.160,26.855
1581426951.964,10.742,39.551,29.785,8.301,52.734
1581426951.968,14.160,41.016,28.809,6.348,-1.465
1581426951.972,22.949,42.480,29.785,19.043,10.254
1581426951.976,22.949,39.062,28.809,18.066,1.465
1581426951.980,23.926,39.062,28.809,9.766,37.598
1581426951.983,18.066,39.551,27.344,7.812,76.660
1581426951.987,15.625,38.574,25.391,7.324,-15.625
1581426951.991,27.832,39.551,25.391,14.160,-58.105
1581426951.995,32.715,38.574,26.367,15.137,-8.301
1581426951.999,31.738,38.086,28.809,14.648,-17.090
1581426952.003,24.902,38.086,31.250,20.508,6.836
1581426952.007,18.555,36.621,31.250,24.414,61.035
1581426952.011,31.738,37.598,31.250,17.578,87.891
1581426952.015,40.527,41.016,29.297,16.602,22.949
1581426952.019,39.062,43.457,27.832,18.066,-25.391
1581426952.023,28.809,41.016,28.809,12.695,29.297
1581426952.026,19.043,37.598,31.250,15.137,71.777
1581426952.030,19.531,39.551,33.203,19.531,64.453
1581426952.034,29.785,42.969,28.809,21.973,9.766
1581426952.038,40.527,42.480,29.297,22.949,64.941
1581426952.042,31.250,42.969,34.180,18.555,69.336
1581426952.046,21.973,42.480,33.691,16.113,52.734
1581426952.050,23.926,38.574,32.715,17.578,36.621
1581426952.054,28.320,25.879,31.738,18.555,40.527
1581426952.058,35.645,18.066,31.738,30.273,80.078
1581426952.062,28.809,22.461,29.785,27.832,16.602
1581426952.066,20.020,27.344,24.902,16.113,-48.828
1581426952.069,19.043,32.227,24.414,17.578,12.695
1581426952.073,31.250,33.691,27.344,21.484,43.945
1581426952.077,40.039,30.273,29.785,23.926,37.598
1581426952.081,34.180,31.738,29.785,22.949,39.062
1581426952.085,22.949,33.691,31.250,20.020,-10.742
1581426952.089,12.695,32.227,31.250,18.066,-22.949
1581426952.093,20.020,34.668,31.738,21.484,-0.488
1581426952.097,27.344,35.156,33.691,25.879,6.348
1581426952.101,27.344,31.250,33.203,28.320,-14.648
1581426952.105,19.043,34.180,29.297,20.020,8.789
1581426952.108,17.090,39.551,27.832,12.207,62.500
1581426952.112,32.227,38.574,32.227,17.578,98.633
1581426952.116,33.203,36.133,34.668,20.996,56.641
1581426952.120,27.344,33.691,34.180,19.043,43.945
1581426952.124,20.020,32.715,33.691,21.484,62.500
1581426952.128,16.602,30.273,33.203,19.531,44.434
1581426952.132,22.461,24.414,31.250,14.160,49.805
1581426952.136,29.785,21.484,29.297,12.695,57.129
1581426952.140,34.180,19.043,31.738,14.648,52.734
1581426952.144,28.809,18.066,36.621,17.090,25.879
1581426952.148,20.020,19.043,36.133,15.625,-36.133
1581426952.151,15.137,19.531,33.203,16.602,-21.484
1581426952.155,22.949,21.973,34.180,18.066,58.594
1581426952.159,32.715,23.926,33.691,23.438,70.312
1581426952.163,22.949,25.879,34.180,20.020,33.691
1581426952.167,14.160,24.902,35.645,11.719,56.641
1581426952.171,22.461,22.949,40.527,23.438,101.074
1581426952.175,28.320,26.367,41.992,24.902,55.664
1581426952.179,28.809,30.273,41.016,11.230,34.668
1581426952.183,17.578,29.297,42.480,10.254,60.059
1581426952.187,8.301,28.320,38.086,13.184,49.316
1581426952.191,15.137,30.273,37.598,13.672,27.832
1581426952.194,21.973,28.809,39.062,16.113,31.738
1581426952.198,28.809,27.344,38.086,20.996,98.145
1581426952.202,24.902,30.273,41.504,24.414,45.410
1581426952.206,7.812,31.250,38.574,20.020,-50.293
1581426952.210,1.953,27.832,31.250,7.324,-10.254
1581426952.214,10.254,28.809,31.738,2.930,15.137
1581426952.218,8.301,31.738,30.762,-3.906,-7.812
1581426952.222,-7.812,33.691,30.762,-12.207,6.348
1581426952.226,-24.414,30.273,35.156,-23.926,16.113
1581426952.230,-33.203,25.391,34.668,-40.039,10.254
1581426952.233,-35.645,25.391,31.250,-45.898,66.406
1581426952.237,-38.086,30.273,32.227,-53.223,53.711
1581426952.241,-52.246,31.738,30.762,-62.988,-19.531
1581426952.245,-70.312,28.320,28.809,-70.801,33.691
1581426952.249,-75.684,31.250,30.273,-72.754,30.762
1581426952.253,-70.312,29.785,31.250,-71.289,-7.812
1581426952.257,-62.500,31.738,31.250,-73.242,28.809
1581426952.261,-64.453,37.109,31.250,-73.242,37.109
1581426952.265,-76.660,36.621,32.715,-75.195,-11.230
1581426952.269,-72.266,37.598,32.715,-66.895,-20.508
1581426952.273,-55.176,40.039,32.715,-54.688,-39.062
1581426952.276,-50.293,35.645,33.691,-54.688,-36.133
1581426952.280,-49.316,34.180,34.668,-47.852,25.391
1581426952.284,-48.340,36.621,36.133,-37.109,62.500
1581426952.288,-43.457,35.156,32.227,-34.668,39.062
1581426952.292,-28.320,33.691,30.762,-22.949,21.484
1581426952.296,-12.695,36.133,35.645,-9.277,17.578
1581426952.300,-7.324,40.039,36.621,-1.953,19.043
1581426952.304,-12.207,39.062,34.668,-2.930,-9.277
1581426952.308,-5.371,37.109,35.645,2.441,6.348
1581426952.312,10.254,37.598,33.691,16.113,46.875
1581426952.316,21.973,38.086,30.762,15.137,42.969
1581426952.319,24.902,40.039,35.156,20.996,13.672
1581426952.323,16.602,40.527,40.039,26.855,9.766
