timestamps,TP9,AF7,AF8,TP10,Right AUX
1576933419.734,-230.957,-50.781,59.570,-313.965,24.414
1576933419.738,-191.895,-49.805,53.223,-196.777,-1.953
1576933419.742,-188.965,-47.852,62.500,-170.898,16.113
1576933419.746,-244.141,-57.617,68.359,-289.551,17.578
1576933419.749,-292.969,-52.246,62.988,-400.879,-18.555
1576933419.753,-296.387,-50.781,62.012,-371.094,30.273
1576933419.757,-276.855,-53.711,60.059,-272.461,43.945
1576933419.761,-273.438,-56.152,56.641,-242.676,21.484
1576933419.765,-327.637,-64.453,60.547,-353.516,-0.488
1576933419.769,-364.258,-66.406,61.523,-475.586,-42.480
1576933419.773,-369.141,-65.918,59.082,-460.938,-15.137
1576933419.777,-339.844,-66.895,62.500,-335.449,52.246
1576933419.781,-313.477,-64.453,66.406,-271.973,57.617
1576933419.785,-344.238,-69.824,62.500,-360.840,15.625
1576933419.788,-377.930,-72.266,63.477,-465.820,46.387
1576933419.792,-372.070,-70.801,67.383,-452.637,9.766
1576933419.796,-316.895,-64.453,65.918,-320.312,73.730
1576933419.800,-278.809,-55.176,66.895,-226.074,90.820
1576933419.804,-291.504,-52.734,68.359,-285.645,7.324
1576933419.808,-303.711,-51.270,64.453,-386.230,9.277
1576933419.812,-297.363,-47.363,62.500,-387.695,-22.461
1576933419.816,-252.441,-47.852,57.617,-266.602,33.691
1576933419.820,-206.055,-46.387,53.223,-157.715,76.172
1576933419.824,-207.520,-42.969,55.664,-193.848,74.219
1576933419.828,-233.398,-41.504,56.641,-300.781,42.480
1576933419.831,-233.887,-37.109,58.594,-317.871,-18.555
1576933419.835,-191.406,-31.250,63.477,-210.938,-0.488
1576933419.839,-149.902,-33.203,62.500,-102.051,81.543
1576933419.843,-157.715,-32.715,56.152,-128.906,70.801
1576933419.847,-189.453,-29.297,56.641,-242.188,23.926
1576933419.851,-187.988,-26.367,60.547,-273.438,-19.531
1576933419.855,-145.508,-18.066,60.547,-172.852,-57.129
1576933419.859,-102.051,-16.602,58.105,-57.617,-20.996
1576933419.863,-100.098,-16.602,57.129,-68.848,53.223
1576933419.867,-137.207,-10.742,60.059,-181.641,20.508
1576933419.871,-146.484,-6.348,61.035,-237.305,-19.531
1576933419.874,-113.770,-3.418,58.594,-151.855,51.270
1576933419.878,-72.754,-5.371,60.547,-31.250,50.781
1576933419.882,-65.430,-4.395,63.477,-28.320,12.695
1576933419.886,-98.633,1.465,67.871,-133.789,-11.230
1576933419.890,-115.234,0.000,68.848,-206.055,-5.859
1576933419.894,-94.727,0.000,64.941,-143.066,2.930
1576933419.898,-48.340,1.953,60.059,-17.578,55.664
1576933419.902,-37.598,1.953,61.523,9.766,110.840
1576933419.906,-69.824,5.371,68.359,-91.797,31.250
1576933419.910,-93.262,9.766,71.289,-182.129,-18.555
1576933419.913,-80.078,10.254,65.918,-131.836,41.016
1576933419.917,-40.039,11.719,60.547,-6.836,59.570
1576933419.921,-22.949,12.207,60.547,35.156,37.598
1576933419.925,-51.270,11.719,59.570,-57.617,30.273
1576933419.929,-83.984,12.695,60.547,-156.738,62.012
1576933419.933,-74.219,7.812,60.059,-120.117,39.551
1576933419.937,-41.016,2.930,57.129,-0.488,-5.859
1576933419.941,-22.949,4.395,60.547,58.105,57.129
1576933419.945,-40.527,8.301,61.035,-18.555,59.082
1576933419.949,-74.219,11.230,59.082,-129.395,38.574
1576933419.953,-68.848,10.742,58.594,-115.723,23.926
1576933419.956,-27.344,8.789,55.664,0.000,36.133
1576933419.960,-6.348,8.789,56.152,66.895,54.199
1576933419.964,-34.180,8.301,53.711,-3.418,34.668
1576933419.968,-70.312,10.254,52.734,-121.582,13.184
1576933419.972,-70.801,8.789,52.246,-130.859,49.805
1576933419.976,-40.039,3.418,47.363,-22.461,63.965
1576933419.980,-15.137,-0.488,43.457,57.129,-7.812
1576933419.984,-36.621,0.488,40.527,3.418,10.254
1576933419.988,-76.172,4.883,47.363,-107.910,87.891
1576933419.992,-76.172,5.371,50.781,-122.070,48.828
1576933419.996,-40.527,3.418,48.828,-16.113,19.043
1576933419.999,-7.324,2.930,52.246,79.102,41.504
1576933420.003,-13.184,2.930,48.340,42.480,50.781
1576933420.007,-51.758,2.441,46.875,-76.172,20.996
1576933420.011,-61.035,-2.441,45.410,-118.164,-30.273
1576933420.015,-26.855,-5.859,44.922,-20.996,-37.598
1576933420.019,6.836,-12.695,48.828,85.449,25.879
1576933420.023,-1.953,-15.625,50.781,65.430,111.816
1576933420.027,-39.551,-9.766,49.805,-52.246,85.938
1576933420.031,-62.500,-5.371,48.828,-113.281,13.184
1576933420.035,-37.109,-13.184,47.363,-24.414,-0.977
1576933420.038,-1.953,-23.438,44.434,85.938,41.992
1576933420.042,-5.859,-25.391,42.969,78.125,16.602
1576933420.046,-46.875,-22.949,46.875,-36.621,40.527
1576933420.050,-79.590,-25.391,50.293,-112.793,45.898
1576933420.054,-56.152,-27.832,47.852,-49.805,-20.020
1576933420.058,-13.672,-21.973,48.828,67.871,0.977
1576933420.062,-9.766,-16.602,45.898,81.055,63.477
1576933420.066,-44.922,-10.254,35.645,-27.832,33.203
1576933420.070,-58.594,-2.441,35.645,-95.215,33.691
1576933420.074,-54.688,-3.906,48.340,-50.781,52.246
1576933420.078,-38.086,-5.371,51.270,52.246,4.883
1576933420.081,-31.250,-7.812,44.434,82.520,20.020
1576933420.085,-67.871,-7.812,39.551,-23.926,30.762
1576933420.089,-104.492,-4.395,39.062,-136.719,9.766
1576933420.093,-89.844,-1.953,37.598,-110.352,26.367
1576933420.097,-44.434,0.977,31.738,8.301,52.246
1576933420.101,-24.414,4.395,31.738,63.477,91.309
1576933420.105,-47.363,6.836,38.086,-16.602,55.176
1576933420.109,-83.984,6.348,38.574,-126.953,6.348
1576933420.113,-79.102,9.277,35.156,-112.305,-16.602
1576933420.117,-30.762,11.719,35.645,13.184,-13.672
1576933420.121,-4.395,13.184,36.621,84.961,57.617
1576933420.124,-28.320,16.602,36.621,8.301,44.434
1576933420.128,-60.547,19.043,36.621,-106.934,34.668
1576933420.132,-61.523,18.066,39.062,-109.375,58.594
1576933420.136,-24.414,14.160,36.621,6.348,33.203
1576933420.140,7.324,17.578,31.738,92.285,19.043
1576933420.144,-11.230,21.973,32.227,29.785,8.301
1576933420.148,-49.805,26.855,36.133,-89.355,46.387
1576933420.152,-55.664,28.809,38.086,-108.398,59.570
1576933420.156,-20.020,24.902,34.180,-1.953,34.668
1576933420.160,15.625,27.344,29.297,91.797,44.434
1576933420.163,3.906,31.250,28.809,46.875,24.902
1576933420.167,-34.180,36.621,29.297,-77.637,26.855
1576933420.171,-39.551,37.598,32.227,-116.699,7.812
1576933420.175,-5.371,38.086,37.598,-16.113,-20.020
1576933420.179,30.273,39.062,40.039,96.191,60.547
1576933420.183,25.879,44.434,45.898,71.289,64.941
1576933420.187,-10.254,49.805,50.781,-50.293,10.254
1576933420.191,-29.785,44.434,50.293,-112.305,29.297
1576933420.195,-6.836,38.574,47.363,-28.809,63.965
1576933420.199,26.855,37.109,44.922,83.984,51.270
1576933420.203,20.508,33.691,45.898,77.148,62.988
1576933420.206,-21.484,33.203,47.852,-35.156,54.199
1576933420.210,-41.016,31.738,46.387,-114.258,4.883
1576933420.214,-11.719,26.367,44.434,-43.457,3.906
1576933420.218,22.949,28.320,50.781,79.590,50.781
1576933420.222,26.855,32.227,53.711,91.309,48.340
1576933420.226,-1.465,35.156,50.293,-17.090,29.297
1576933420.230,-26.367,37.598,49.805,-106.445,-4.883
1576933420.234,-7.812,38.086,47.363,-48.828,-46.387
1576933420.238,35.156,37.598,41.016,80.566,39.551
1576933420.242,49.805,41.992,41.504,107.422,109.863
1576933420.246,20.508,45.410,42.480,4.883,59.082
1576933420.249,-8.789,50.781,46.875,-83.496,55.664
1576933420.253,2.441,55.664,48.828,-41.504,50.293
1576933420.257,45.898,53.711,41.992,84.961,21.484
1576933420.261,62.500,51.758,42.969,130.859,-18.066
1576933420.265,34.668,52.246,45.898,38.086,-22.461
1576933420.269,3.418,52.246,46.387,-64.941,25.879
