timestamps,TP9,AF7,AF8,TP10,Right AUX
1579164598.863,38.574,36.133,37.109,56.641,51.270
1579164598.867,45.410,33.691,38.086,45.410,35.645
1579164598.871,35.156,32.715,35.645,40.039,45.410
1579164598.874,19.531,30.762,32.715,34.668,37.598
1579164598.878,33.203,31.738,32.227,51.758,31.738
1579164598.882,35.156,32.227,30.273,68.359,17.090
1579164598.886,41.992,32.715,30.273,63.477,1.465
1579164598.890,50.781,34.180,28.809,45.898,35.156
1579164598.894,19.531,33.203,27.344,35.645,50.293
1579164598.898,24.414,34.668,29.297,40.039,18.555
1579164598.902,46.387,36.133,28.320,52.246,-8.789
1579164598.906,34.668,35.645,26.367,55.176,-3.418
1579164598.910,33.691,36.133,26.855,46.875,13.184
1579164598.914,25.879,37.109,28.320,38.086,33.691
1579164598.917,16.113,36.621,30.273,31.250,74.219
1579164598.921,42.969,36.621,33.203,45.410,67.871
1579164598.925,57.617,36.133,32.715,64.453,74.707
1579164598.929,37.109,31.250,34.180,52.734,62.500
1579164598.933,34.668,30.273,36.621,51.270,33.691
1579164598.937,35.645,34.180,35.156,45.898,34.668
1579164598.941,31.250,36.621,31.738,37.598,26.855
1579164598.945,43.457,36.133,30.273,53.223,25.879
1579164598.949,47.852,35.156,31.250,48.340,41.016
1579164598.953,37.598,34.180,31.250,27.832,46.387
1579164598.956,28.809,34.180,28.809,36.621,64.941
1579164598.960,31.250,31.738,32.227,61.035,47.852
1579164598.964,37.598,28.320,34.668,55.176,21.973
1579164598.968,46.387,29.297,28.809,32.227,22.461
1579164598.972,36.621,31.738,27.832,34.180,2.930
1579164598.976,20.508,31.738,27.832,40.039,58.594
1579164598.980,30.273,31.250,25.391,34.180,75.195
1579164598.984,26.855,30.762,26.367,42.480,49.316
1579164598.988,28.809,29.785,28.809,49.316,112.305
1579164598.992,33.691,30.762,25.879,42.969,114.746
1579164598.996,28.320,35.156,25.879,35.156,55.176
1579164598.999,37.598,34.668,26.367,42.480,10.254
1579164599.003,38.086,31.250,24.414,46.387,30.273
1579164599.007,41.992,30.273,25.391,40.527,45.410
1579164599.011,28.320,28.809,25.879,31.738,-2.930
1579164599.015,13.184,28.809,27.832,15.137,10.742
1579164599.019,34.180,30.762,25.391,16.602,25.879
1579164599.023,41.504,34.668,23.926,27.344,48.828
1579164599.027,38.574,37.598,25.879,33.691,69.336
1579164599.031,41.016,37.598,23.438,31.738,37.598
1579164599.035,34.180,38.086,24.414,19.531,19.531
1579164599.039,36.133,36.621,24.414,42.480,-15.137
1579164599.042,46.387,34.180,24.414,64.453,27.344
1579164599.046,50.781,36.621,29.297,60.059,64.453
1579164599.050,48.340,37.109,30.762,45.410,41.016
1579164599.054,43.945,35.156,28.320,34.180,-13.184
1579164599.058,29.785,33.203,25.391,28.320,-41.504
1579164599.062,20.996,31.250,29.785,25.879,15.137
