timestamps,TP9,AF7,AF8,TP10,Right AUX
1576933565.187,39.551,38.086,14.160,-25.879,37.109
1576933565.191,39.551,44.434,16.113,-91.309,-14.648
1576933565.195,46.875,44.922,16.602,-167.480,5.371
1576933565.199,54.199,41.992,12.207,-152.344,-20.996
1576933565.203,49.805,40.527,12.695,-64.941,-11.719
1576933565.206,35.645,38.574,15.625,-27.344,41.016
1576933565.210,36.133,36.621,16.113,-89.355,44.434
1576933565.214,50.293,37.598,18.555,-164.062,6.348
1576933565.218,58.594,37.109,14.648,-158.691,2.441
1576933565.222,52.734,34.180,8.789,-78.125,78.613
1576933565.226,45.410,34.180,11.230,-25.879,95.703
1576933565.230,41.992,36.621,14.648,-75.195,72.266
1576933565.234,51.270,38.574,14.160,-162.109,54.199
1576933565.238,62.012,39.062,10.742,-169.434,71.777
1576933565.242,54.688,36.133,5.859,-93.750,62.012
1576933565.245,40.527,35.156,5.859,-41.016,61.523
1576933565.249,39.551,36.621,4.883,-83.008,49.805
1576933565.253,52.734,38.574,4.883,-166.504,-13.672
1576933565.257,58.105,36.621,6.348,-184.082,-1.953
1576933565.261,52.734,32.227,2.441,-113.770,26.367
1576933565.265,43.457,32.227,1.465,-46.387,51.758
1576933565.269,42.480,34.180,4.395,-71.777,79.102
1576933565.273,52.734,37.598,3.906,-160.645,79.590
1576933565.277,62.988,36.621,1.953,-190.918,91.309
1576933565.281,60.059,34.180,-5.371,-126.953,73.242
1576933565.285,53.223,36.621,-9.766,-54.688,56.152
1576933565.288,50.293,39.062,-6.348,-69.824,75.195
1576933565.292,57.617,40.039,-4.395,-154.785,67.383
1576933565.296,71.289,42.969,-4.395,-195.801,71.777
1576933565.300,68.359,43.945,-5.859,-141.113,64.453
1576933565.304,56.641,38.574,-8.789,-68.359,40.039
1576933565.308,52.246,37.109,-7.812,-70.801,73.730
1576933565.312,55.176,38.574,-8.301,-149.414,55.176
1576933565.316,63.965,40.039,-10.742,-204.102,-1.953
1576933565.320,64.941,41.992,-11.719,-159.180,23.438
1576933565.324,55.664,41.992,-11.230,-76.172,68.848
1576933565.328,51.270,43.945,-3.906,-62.012,60.547
1576933565.331,57.617,48.828,0.000,-137.207,25.391
1576933565.335,68.848,50.781,-0.977,-200.195,26.855
1576933565.339,71.289,50.293,1.465,-166.504,19.043
1576933565.343,58.594,49.805,-0.977,-84.473,31.738
1576933565.347,49.805,51.758,-5.371,-64.453,27.344
1576933565.351,55.176,55.176,-5.371,-132.324,22.949
1576933565.355,68.359,57.129,-4.395,-198.730,1.465
1576933565.359,73.730,55.176,-2.930,-180.176,-3.418
1576933565.363,64.453,51.270,-3.906,-100.586,21.973
1576933565.367,53.711,52.734,-4.395,-63.965,38.574
1576933565.370,61.035,57.129,-1.953,-121.094,61.523
1576933565.374,77.148,61.035,0.000,-193.848,-13.184
1576933565.378,81.543,61.035,-0.977,-184.082,-62.988
1576933565.382,73.242,56.641,-4.883,-106.445,-1.953
1576933565.386,65.918,57.129,-6.348,-60.547,43.945
1576933565.390,66.895,62.500,-2.930,-110.840,60.059
1576933565.394,75.684,62.988,-5.859,-192.383,36.133
1576933565.398,79.102,58.105,-11.230,-196.777,13.184
1576933565.402,75.684,54.688,-12.695,-122.559,-8.789
1576933565.406,65.918,53.711,-14.648,-69.336,34.668
1576933565.410,64.453,57.129,-12.207,-105.957,44.434
1576933565.413,76.172,60.059,-7.812,-185.059,-14.648
1576933565.417,82.031,58.594,-7.324,-197.754,0.977
1576933565.421,75.684,56.152,-8.789,-124.512,17.578
1576933565.425,69.824,58.594,-6.348,-56.152,73.242
1576933565.429,71.289,62.500,-0.977,-84.473,76.660
1576933565.433,86.426,65.918,2.930,-168.457,-33.203
1576933565.437,104.492,71.289,0.977,-189.453,-1.953
1576933565.441,103.027,70.312,-1.465,-123.047,14.648
1576933565.445,92.285,67.383,-2.930,-50.293,23.438
1576933565.449,90.332,68.848,-0.488,-64.941,28.320
1576933565.453,98.145,71.777,2.441,-146.484,1.465
1576933565.456,105.469,70.801,-2.930,-186.523,23.438
1576933565.460,99.609,66.406,-8.301,-136.230,51.758
1576933565.464,88.379,66.406,-6.348,-60.059,20.508
1576933565.468,85.449,67.871,-8.789,-60.547,8.789
1576933565.472,93.750,67.871,-9.277,-139.160,44.434
1576933565.476,104.980,69.336,-6.348,-189.941,38.086
1576933565.480,102.051,66.895,-7.324,-145.508,20.508
1576933565.484,88.379,62.988,-7.324,-71.289,39.062
1576933565.488,83.008,63.477,-6.836,-67.871,46.875
1576933565.492,90.332,67.383,-4.395,-138.672,21.973
1576933565.495,99.121,69.336,-6.348,-198.242,16.113
1576933565.499,98.145,68.359,-9.766,-166.016,45.898
1576933565.503,85.449,64.453,-8.789,-83.496,28.809
1576933565.507,82.031,63.477,-9.277,-62.988,49.316
1576933565.511,91.309,66.895,-5.371,-128.906,103.027
1576933565.515,104.004,69.336,-0.977,-193.848,17.578
1576933565.519,109.863,68.359,-3.418,-167.480,-29.785
1576933565.523,99.609,67.871,-7.812,-84.473,5.371
1576933565.527,88.867,68.848,-5.859,-51.758,-12.695
