timestamps,TP9,AF7,AF8,TP10,Right AUX
1576934305.163,78.125,45.898,29.785,123.535,75.684
1576934305.167,49.805,51.270,27.832,64.453,43.945
1576934305.171,25.879,47.852,27.832,-5.859,42.969
1576934305.175,36.133,43.945,28.320,3.906,-3.418
1576934305.179,63.477,40.039,24.414,78.613,-24.902
1576934305.183,73.242,35.156,27.344,124.023,17.090
1576934305.187,47.363,37.109,32.715,77.637,50.781
1576934305.190,21.484,41.016,31.738,-1.465,38.574
1576934305.194,30.762,44.434,29.297,-3.906,-35.645
1576934305.198,52.246,45.898,30.762,65.918,-16.602
1576934305.202,61.035,45.898,33.203,112.793,34.180
1576934305.206,40.527,46.387,31.738,75.684,41.992
1576934305.210,13.184,42.480,31.738,1.953,11.230
1576934305.214,20.020,41.504,32.227,-11.230,31.738
1576934305.218,45.898,42.480,27.344,54.199,60.059
1576934305.222,61.035,39.062,24.902,113.770,57.617
1576934305.226,44.922,40.527,28.320,88.379,46.875
1576934305.230,14.160,44.434,27.832,10.742,54.199
1576934305.233,18.555,46.875,28.320,-14.160,79.102
1576934305.237,45.410,37.109,26.855,46.387,6.836
1576934305.241,65.430,35.645,23.438,115.234,28.320
1576934305.245,54.199,49.805,23.438,100.098,75.684
1576934305.249,21.484,49.805,27.832,20.020,50.293
1576934305.253,13.184,48.340,34.668,-21.484,66.895
1576934305.257,39.062,47.363,36.621,32.227,23.926
1576934305.261,64.453,41.504,32.227,104.980,-34.180
1576934305.265,60.059,43.457,22.949,94.727,-11.719
1576934305.269,47.363,46.875,23.926,37.109,36.621
1576934305.272,13.672,38.574,33.203,-21.484,26.855
1576934305.276,13.184,31.738,37.598,1.953,47.363
1576934305.280,40.527,35.156,37.598,76.660,57.617
1576934305.284,38.086,38.086,36.133,87.891,33.203
1576934305.288,-2.441,33.203,44.434,12.695,4.883
1576934305.292,-28.320,32.715,51.758,-52.246,-8.301
1576934305.296,2.930,34.180,41.992,-5.859,-7.812
1576934305.300,26.855,31.738,38.086,65.918,-7.324
1576934305.304,27.832,31.250,41.016,85.449,61.035
1576934305.308,3.906,30.273,39.062,26.855,63.965
1576934305.312,-14.160,33.691,35.645,-40.039,-23.438
1576934305.315,8.789,31.738,32.715,-12.695,-62.988
1576934305.319,43.457,31.738,35.156,74.219,22.461
1576934305.323,47.852,36.133,41.992,104.004,66.406
1576934305.327,20.508,28.320,47.852,45.410,55.664
1576934305.331,-1.465,27.832,46.387,-21.973,24.902
1576934305.335,17.578,41.016,41.504,-11.230,-41.992
1576934305.339,46.875,38.086,40.527,62.012,20.996
1576934305.343,50.781,32.715,36.133,103.027,44.922
1576934305.347,25.879,36.133,32.715,54.199,-26.367
1576934305.351,0.977,37.109,37.109,-22.949,39.551
1576934305.355,7.812,32.227,34.180,-21.973,60.547
1576934305.358,33.691,28.809,28.809,51.270,27.832
1576934305.362,45.410,31.738,31.738,99.609,46.875
1576934305.366,22.949,32.715,34.668,58.105,-3.418
1576934305.370,-5.371,35.156,33.203,-17.578,-34.180
1576934305.374,-0.488,35.156,32.715,-25.879,-18.555
1576934305.378,30.273,32.715,34.180,44.434,-36.621
1576934305.382,48.340,33.691,32.715,102.051,13.184
1576934305.386,26.855,34.668,34.668,68.848,58.594
1576934305.390,0.488,37.109,34.180,-10.254,7.812
1576934305.394,6.348,33.203,32.715,-27.344,45.898
