timestamps,TP9,AF7,AF8,TP10,Right AUX
1576934512.981,27.344,44.922,19.531,46.387,20.996
1576934512.985,66.406,41.016,32.227,41.016,9.277
1576934512.989,61.523,40.039,38.086,16.113,62.988
1576934512.993,16.602,37.109,37.109,13.184,110.352
1576934512.997,-44.922,29.297,41.504,0.977,78.125
1576934513.001,-68.359,28.809,44.434,-28.320,27.832
1576934513.004,-57.129,27.344,46.387,-61.523,33.691
1576934513.008,-39.062,25.391,51.270,-72.754,22.949
1576934513.012,-60.059,31.738,53.223,-60.547,-8.301
1576934513.016,-117.188,28.809,49.316,-68.848,6.348
1576934513.020,-127.441,24.902,45.898,-82.520,34.668
1576934513.024,-101.074,27.832,44.922,-98.145,53.711
1576934513.028,-79.102,27.344,45.898,-104.980,49.805
1576934513.032,-83.496,25.879,47.363,-84.961,26.855
1576934513.036,-114.746,28.320,48.340,-66.406,-1.953
1576934513.040,-124.512,30.273,47.363,-68.359,-2.930
1576934513.044,-82.520,31.738,44.434,-70.801,-4.395
1576934513.047,-32.227,31.250,41.016,-61.523,40.527
1576934513.051,-30.273,32.227,38.574,-45.410,62.500
1576934513.055,-66.406,35.645,36.621,-30.273,24.414
1576934513.059,-74.219,40.039,36.133,-23.438,16.113
1576934513.063,-38.574,41.016,35.645,-32.715,7.812
1576934513.067,4.883,37.598,36.133,-34.180,-15.137
1576934513.071,14.648,34.668,35.156,-13.672,-48.828
1576934513.075,-18.066,36.621,34.668,5.371,-3.418
1576934513.079,-37.598,40.527,35.156,6.348,9.766
1576934513.083,-9.766,40.527,33.203,-3.906,-7.324
1576934513.086,37.109,41.504,31.738,-2.930,-2.930
1576934513.090,52.246,42.480,31.738,12.207,21.484
1576934513.094,17.578,39.551,27.832,25.879,15.625
1576934513.098,-9.766,41.016,26.367,27.832,26.855
1576934513.102,15.137,41.504,28.809,19.531,78.613
1576934513.106,58.105,40.039,32.227,13.672,68.359
1576934513.110,69.824,39.062,32.715,19.531,47.852
1576934513.114,40.527,37.109,30.762,39.551,62.988
1576934513.118,7.324,39.062,33.203,47.852,60.059
1576934513.122,15.137,37.598,29.785,30.762,57.617
1576934513.126,58.105,39.062,22.949,22.461,20.508
1576934513.129,79.590,40.527,24.902,34.180,21.973
1576934513.133,48.340,37.109,25.391,47.363,59.082
1576934513.137,11.230,37.109,24.902,51.270,56.641
1576934513.141,14.648,35.645,25.391,40.527,41.992
1576934513.145,55.176,35.645,23.438,29.297,69.336
1576934513.149,85.449,39.551,25.391,40.039,31.738
1576934513.153,60.547,40.039,29.785,60.547,-20.996
1576934513.157,18.555,37.109,28.320,63.477,-0.977
1576934513.161,15.625,38.086,26.855,52.734,46.875
1576934513.165,52.246,40.039,27.344,41.016,58.105
1576934513.169,81.543,38.086,25.391,42.480,28.809
1576934513.172,58.105,33.691,23.926,54.199,91.797
1576934513.176,14.160,31.738,21.973,58.105,131.348
1576934513.180,6.836,32.227,25.391,47.363,56.152
1576934513.184,40.039,34.668,30.273,31.738,-19.043
1576934513.188,75.195,38.086,29.785,36.133,5.859
1576934513.192,62.988,40.039,28.320,49.316,51.758
1576934513.196,21.973,40.527,29.297,57.129,6.348
1576934513.200,7.812,38.086,29.297,52.246,-27.832
1576934513.204,38.574,37.109,26.855,36.133,-17.090
1576934513.208,78.125,38.086,26.855,38.086,-0.488
1576934513.211,70.312,38.574,29.785,55.664,18.555
1576934513.215,29.297,40.039,28.809,65.918,38.574
1576934513.219,10.254,37.598,25.391,58.105,73.242
1576934513.223,40.039,35.645,29.297,44.922,45.410
1576934513.227,80.078,38.086,34.668,44.434,12.695
1576934513.231,83.984,41.504,27.832,54.688,0.000
1576934513.235,54.688,41.992,19.531,75.195,-4.883
1576934513.239,21.484,37.598,26.367,67.383,27.832
1576934513.243,20.020,33.203,32.715,31.250,20.996
1576934513.247,61.035,30.273,31.738,29.785,39.062
1576934513.251,74.219,28.320,30.762,47.363,44.922
1576934513.254,34.180,30.273,33.203,57.617,53.223
1576934513.258,7.324,31.738,32.227,55.176,11.230
1576934513.262,27.344,35.156,31.250,41.016,20.996
1576934513.266,68.359,36.133,33.203,33.691,65.430
1576934513.270,74.707,35.156,29.297,39.062,35.156
1576934513.274,38.086,34.180,26.855,52.734,-0.488
1576934513.278,7.324,32.715,28.809,52.246,12.207
1576934513.282,18.555,33.691,31.250,39.551,8.301
1576934513.286,62.500,32.715,30.273,34.180,20.020
1576934513.290,85.449,32.227,30.273,45.410,78.125
1576934513.294,54.199,34.668,31.250,61.035,54.199
1576934513.297,12.207,36.133,33.691,61.035,21.973
1576934513.301,18.555,33.691,35.156,45.410,64.941
1576934513.305,60.547,37.598,32.715,34.668,40.527
